batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.85,1.0
0,auc,0,0.075,0.85,1.0
0,auc,0,0.1,0.766667,1.0
0,auc,0,0.15,0.533333,1.0
0,accuracy,0,0.05,0.9375,1.0
0,accuracy,0,0.075,0.9375,1.0
0,accuracy,0,0.1,0.9375,1.0
0,accuracy,0,0.15,0.9375,1.0
0,cross_entropy,0,0.05,0.314366,0.259731
0,cross_entropy,0,0.075,0.319407,0.257373
0,cross_entropy,0,0.1,0.327639,0.250933
0,cross_entropy,0,0.15,0.347954,0.233964
0,auc,1,0.05,0.933333,1.0
0,auc,1,0.075,0.716667,1.0
0,auc,1,0.1,0.85,1.0
0,auc,1,0.15,0.616667,1.0
0,accuracy,1,0.05,0.9375,1.0
0,accuracy,1,0.075,0.9375,1.0
0,accuracy,1,0.1,0.9375,1.0
0,accuracy,1,0.15,0.9375,1.0
0,cross_entropy,1,0.05,0.314776,0.254515
0,cross_entropy,1,0.075,0.317878,0.261896
0,cross_entropy,1,0.1,0.318982,0.257271
0,cross_entropy,1,0.15,0.336176,0.245415
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.234631,0.281447
1,cross_entropy,0,0.075,0.239867,0.274759
1,cross_entropy,0,0.1,0.251034,0.259952
1,cross_entropy,0,0.15,0.267546,0.24258
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.236921,0.275071
1,cross_entropy,1,0.075,0.246852,0.265814
1,cross_entropy,1,0.1,0.250627,0.259239
1,cross_entropy,1,0.15,0.258606,0.250963
2,auc,0,0.05,0.776786,0.973214
2,auc,0,0.075,0.669643,0.964286
2,auc,0,0.1,0.669643,0.973214
2,auc,0,0.15,0.580357,0.991071
2,accuracy,0,0.05,0.875,0.9375
2,accuracy,0,0.075,0.875,0.90625
2,accuracy,0,0.1,0.875,0.9375
2,accuracy,0,0.15,0.875,0.9375
2,cross_entropy,0,0.05,0.383014,0.326718
2,cross_entropy,0,0.075,0.393538,0.318622
2,cross_entropy,0,0.1,0.40618,0.307952
2,cross_entropy,0,0.15,0.413475,0.302675
2,auc,1,0.05,0.8125,0.973214
2,auc,1,0.075,0.732143,0.973214
2,auc,1,0.1,0.741071,0.973214
2,auc,1,0.15,0.589286,0.982143
2,accuracy,1,0.05,0.875,0.90625
2,accuracy,1,0.075,0.875,0.9375
2,accuracy,1,0.1,0.875,0.90625
2,accuracy,1,0.15,0.875,0.9375
2,cross_entropy,1,0.05,0.379473,0.330033
2,cross_entropy,1,0.075,0.391119,0.320559
2,cross_entropy,1,0.1,0.387043,0.322191
2,cross_entropy,1,0.15,0.412246,0.302492
3,auc,0,0.05,0.712644,0.873563
3,auc,0,0.075,0.528736,0.873563
3,auc,0,0.1,0.517241,0.908046
3,auc,0,0.15,0.448276,0.942529
3,accuracy,0,0.05,0.90625,0.90625
3,accuracy,0,0.075,0.90625,0.90625
3,accuracy,0,0.1,0.90625,0.90625
3,accuracy,0,0.15,0.90625,0.90625
3,cross_entropy,0,0.05,0.369096,0.636026
3,cross_entropy,0,0.075,0.389237,0.585916
3,cross_entropy,0,0.1,0.398884,0.5584
3,cross_entropy,0,0.15,0.414923,0.482708
3,auc,1,0.05,0.701149,0.873563
3,auc,1,0.075,0.632184,0.873563
3,auc,1,0.1,0.54023,0.908046
3,auc,1,0.15,0.425287,0.954023
3,accuracy,1,0.05,0.90625,0.90625
3,accuracy,1,0.075,0.90625,0.90625
3,accuracy,1,0.1,0.90625,0.90625
3,accuracy,1,0.15,0.90625,0.90625
3,cross_entropy,1,0.05,0.367241,0.578602
3,cross_entropy,1,0.075,0.379341,0.529343
3,cross_entropy,1,0.1,0.396134,0.465857
3,cross_entropy,1,0.15,0.414212,0.394524
4,auc,0,0.05,0.723214,1.0
4,auc,0,0.075,0.651786,1.0
4,auc,0,0.1,0.651786,1.0
4,auc,0,0.15,0.6875,1.0
4,accuracy,0,0.05,0.875,0.96875
4,accuracy,0,0.075,0.875,0.9375
4,accuracy,0,0.1,0.875,0.96875
4,accuracy,0,0.15,0.875,0.9375
4,cross_entropy,0,0.05,0.389953,0.310823
4,cross_entropy,0,0.075,0.402431,0.302953
4,cross_entropy,0,0.1,0.408779,0.293336
4,cross_entropy,0,0.15,0.410586,0.291967
