batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.966667,0.316667
0,auc,0,0.075,0.933333,0.333333
0,auc,0,0.1,0.933333,0.366667
0,auc,0,0.15,0.933333,0.4
0,accuracy,0,0.05,0.0625,0.9375
0,accuracy,0,0.075,0.0625,0.9375
0,accuracy,0,0.1,0.0625,0.9375
0,accuracy,0,0.15,0.0625,0.9375
0,cross_entropy,0,0.05,1.368866,0.261797
0,cross_entropy,0,0.075,1.866373,0.270473
0,cross_entropy,0,0.1,2.296539,0.281178
0,cross_entropy,0,0.15,2.977417,0.302808
0,auc,1,0.05,0.633333,0.933333
0,auc,1,0.075,0.616667,0.933333
0,auc,1,0.1,0.6,0.933333
0,auc,1,0.15,0.583333,0.933333
0,accuracy,1,0.05,0.9375,0.0625
0,accuracy,1,0.075,0.9375,0.0625
0,accuracy,1,0.1,0.9375,0.0625
0,accuracy,1,0.15,0.9375,0.0625
0,cross_entropy,1,0.05,0.206814,1.79779
0,cross_entropy,1,0.075,0.223691,2.270722
0,cross_entropy,1,0.1,0.241164,2.652957
0,cross_entropy,1,0.15,0.272693,3.253232
1,auc,0,0.05,0.988506,0.724138
1,auc,0,0.075,0.988506,0.712644
1,auc,0,0.1,0.977012,0.701149
1,auc,0,0.15,0.977012,0.712644
1,accuracy,0,0.05,0.125,0.90625
1,accuracy,0,0.075,0.09375,0.90625
1,accuracy,0,0.1,0.09375,0.90625
1,accuracy,0,0.15,0.09375,0.90625
1,cross_entropy,0,0.05,1.129009,0.308334
1,cross_entropy,0,0.075,1.458102,0.337735
1,cross_entropy,0,0.1,1.736497,0.365495
1,cross_entropy,0,0.15,2.187197,0.408527
1,auc,1,0.05,0.942529,0.954023
1,auc,1,0.075,0.758621,0.954023
1,auc,1,0.1,0.724138,0.954023
1,auc,1,0.15,0.724138,0.954023
1,accuracy,1,0.05,0.90625,0.09375
1,accuracy,1,0.075,0.90625,0.09375
1,accuracy,1,0.1,0.90625,0.09375
1,accuracy,1,0.15,0.90625,0.09375
1,cross_entropy,1,0.05,0.279502,1.1317
1,cross_entropy,1,0.075,0.313952,1.453501
1,cross_entropy,1,0.1,0.34403,1.728627
1,cross_entropy,1,0.15,0.397195,2.17166
2,auc,0,0.05,1.0,0.483333
2,auc,0,0.075,1.0,0.466667
2,auc,0,0.1,1.0,0.466667
2,auc,0,0.15,1.0,0.533333
2,accuracy,0,0.05,0.09375,0.9375
2,accuracy,0,0.075,0.09375,0.9375
2,accuracy,0,0.1,0.0625,0.9375
2,accuracy,0,0.15,0.0625,0.9375
2,cross_entropy,0,0.05,1.177663,0.236445
2,cross_entropy,0,0.075,1.507323,0.24611
2,cross_entropy,0,0.1,1.790746,0.258702
2,cross_entropy,0,0.15,2.245403,0.282173
2,auc,1,0.05,0.816667,0.9
2,auc,1,0.075,0.75,0.933333
2,auc,1,0.1,0.733333,0.95
2,auc,1,0.15,0.7,0.983333
2,accuracy,1,0.05,0.9375,0.0625
2,accuracy,1,0.075,0.9375,0.0625
2,accuracy,1,0.1,0.9375,0.0625
2,accuracy,1,0.15,0.9375,0.0625
2,cross_entropy,1,0.05,0.208159,1.148191
2,cross_entropy,1,0.075,0.22223,1.475771
2,cross_entropy,1,0.1,0.238734,1.756209
2,cross_entropy,1,0.15,0.268509,2.21318
3,auc,0,0.05,1.0,0.5
3,auc,0,0.075,1.0,0.49359
3,auc,0,0.1,1.0,0.49359
3,auc,0,0.15,1.0,0.525641
3,accuracy,0,0.05,0.1875,0.8125
3,accuracy,0,0.075,0.1875,0.8125
3,accuracy,0,0.1,0.1875,0.8125
3,accuracy,0,0.15,0.1875,0.8125
3,cross_entropy,0,0.05,0.965603,0.587607
3,cross_entropy,0,0.075,1.245779,0.654608
3,cross_entropy,0,0.1,1.487057,0.712638
3,cross_entropy,0,0.15,1.882266,0.802192
3,auc,1,0.05,0.801282,1.0
3,auc,1,0.075,0.769231,1.0
3,auc,1,0.1,0.705128,1.0
3,auc,1,0.15,0.647436,1.0
3,accuracy,1,0.05,0.8125,0.1875
3,accuracy,1,0.075,0.8125,0.1875
3,accuracy,1,0.1,0.8125,0.1875
3,accuracy,1,0.15,0.8125,0.1875
3,cross_entropy,1,0.05,0.518228,0.999113
3,cross_entropy,1,0.075,0.599029,1.265728
3,cross_entropy,1,0.1,0.665494,1.498935
3,cross_entropy,1,0.15,0.769637,1.875062
4,auc,0,0.05,1.0,0.15
4,auc,0,0.075,1.0,0.15
4,auc,0,0.1,0.983333,0.2
4,auc,0,0.15,0.983333,0.233333
4,accuracy,0,0.05,0.0625,0.9375
4,accuracy,0,0.075,0.0625,0.9375
4,accuracy,0,0.1,0.0625,0.9375
4,accuracy,0,0.15,0.0625,0.9375
4,cross_entropy,0,0.05,1.171118,0.255602
4,cross_entropy,0,0.075,1.503497,0.263207
4,cross_entropy,0,0.1,1.793193,0.275065
4,cross_entropy,0,0.15,2.253942,0.297747
