batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.709677,1.0
0,auc,0,0.075,0.83871,1.0
0,auc,0,0.1,0.967742,1.0
0,auc,0,0.15,0.903226,1.0
0,accuracy,0,0.05,0.96875,1.0
0,accuracy,0,0.075,0.96875,1.0
0,accuracy,0,0.1,0.96875,1.0
0,accuracy,0,0.15,0.96875,1.0
0,cross_entropy,0,0.05,0.348722,0.307898
0,cross_entropy,0,0.075,0.346568,0.309378
0,cross_entropy,0,0.1,0.343389,0.312657
0,cross_entropy,0,0.15,0.342921,0.314647
0,auc,1,0.05,0.903226,1.0
0,auc,1,0.075,0.580645,1.0
0,auc,1,0.1,0.645161,1.0
0,auc,1,0.15,0.548387,1.0
0,accuracy,1,0.05,0.96875,1.0
0,accuracy,1,0.075,0.96875,1.0
0,accuracy,1,0.1,0.96875,1.0
0,accuracy,1,0.15,0.96875,1.0
0,cross_entropy,1,0.05,0.342744,0.311963
0,cross_entropy,1,0.075,0.344153,0.314107
0,cross_entropy,1,0.1,0.340858,0.317927
0,cross_entropy,1,0.15,0.344032,0.315824
1,auc,0,0.05,0.851852,0.962963
1,auc,0,0.075,0.785185,0.962963
1,auc,0,0.1,0.718518,0.962963
1,auc,0,0.15,0.614815,0.962963
1,accuracy,0,0.05,0.84375,0.90625
1,accuracy,0,0.075,0.84375,0.90625
1,accuracy,0,0.1,0.84375,0.90625
1,accuracy,0,0.15,0.84375,0.9375
1,cross_entropy,0,0.05,0.435624,0.446964
1,cross_entropy,0,0.075,0.443118,0.426152
1,cross_entropy,0,0.1,0.450752,0.403539
1,cross_entropy,0,0.15,0.459174,0.376289
1,auc,1,0.05,0.911111,0.962963
1,auc,1,0.075,0.777778,0.962963
1,auc,1,0.1,0.718519,0.97037
1,auc,1,0.15,0.62963,1.0
1,accuracy,1,0.05,0.84375,0.90625
1,accuracy,1,0.075,0.84375,0.9375
1,accuracy,1,0.1,0.84375,0.96875
1,accuracy,1,0.15,0.84375,1.0
1,cross_entropy,1,0.05,0.429672,0.407433
1,cross_entropy,1,0.075,0.439202,0.415277
1,cross_entropy,1,0.1,0.445623,0.3797
1,cross_entropy,1,0.15,0.448208,0.369918
2,auc,0,0.05,0.517857,1.0
2,auc,0,0.075,0.3125,1.0
2,auc,0,0.1,0.339286,1.0
2,auc,0,0.15,0.303571,1.0
2,accuracy,0,0.05,0.875,1.0
2,accuracy,0,0.075,0.875,1.0
2,accuracy,0,0.1,0.875,1.0
2,accuracy,0,0.15,0.875,1.0
2,cross_entropy,0,0.05,0.444089,0.346923
2,cross_entropy,0,0.075,0.457266,0.341703
2,cross_entropy,0,0.1,0.457648,0.341115
2,cross_entropy,0,0.15,0.464307,0.337196
2,auc,1,0.05,0.607143,1.0
2,auc,1,0.075,0.366071,1.0
2,auc,1,0.1,0.276786,1.0
2,auc,1,0.15,0.258929,1.0
2,accuracy,1,0.05,0.875,1.0
2,accuracy,1,0.075,0.875,1.0
2,accuracy,1,0.1,0.875,1.0
2,accuracy,1,0.15,0.875,1.0
2,cross_entropy,1,0.05,0.439861,0.347453
2,cross_entropy,1,0.075,0.448061,0.345229
2,cross_entropy,1,0.1,0.454862,0.341172
2,cross_entropy,1,0.15,0.459699,0.338092
3,auc,0,0.05,0.9,0.983333
3,auc,0,0.075,0.85,0.983333
3,auc,0,0.1,0.716667,1.0
3,auc,0,0.15,0.683333,1.0
3,accuracy,0,0.05,0.9375,0.96875
3,accuracy,0,0.075,0.9375,0.96875
3,accuracy,0,0.1,0.9375,0.96875
3,accuracy,0,0.15,0.9375,0.96875
3,cross_entropy,0,0.05,0.352663,0.328806
3,cross_entropy,0,0.075,0.354398,0.327399
3,cross_entropy,0,0.1,0.353599,0.328582
3,cross_entropy,0,0.15,0.351844,0.328744
3,auc,1,0.05,0.783333,1.0
3,auc,1,0.075,0.666667,1.0
3,auc,1,0.1,0.683333,1.0
3,auc,1,0.15,0.65,1.0
3,accuracy,1,0.05,0.9375,0.96875
3,accuracy,1,0.075,0.9375,0.9375
3,accuracy,1,0.1,0.9375,0.96875
3,accuracy,1,0.15,0.9375,1.0
3,cross_entropy,1,0.05,0.34748,0.331198
3,cross_entropy,1,0.075,0.349142,0.33096
3,cross_entropy,1,0.1,0.351285,0.329476
3,cross_entropy,1,0.15,0.351646,0.329169
4,auc,0,0.05,0.816092,1.0
4,auc,0,0.075,0.758621,1.0
4,auc,0,0.1,0.724138,1.0
4,auc,0,0.15,0.758621,1.0
4,accuracy,0,0.05,0.90625,0.96875
4,accuracy,0,0.075,0.90625,1.0
4,accuracy,0,0.1,0.90625,1.0
4,accuracy,0,0.15,0.90625,1.0
4,cross_entropy,0,0.05,0.398239,0.344154
4,cross_entropy,0,0.075,0.403864,0.340938
4,cross_entropy,0,0.1,0.40802,0.338487
4,cross_entropy,0,0.15,0.408241,0.340415
4,auc,1,0.05,0.942529,0.988506
4,auc,1,0.075,0.91954,1.0
4,auc,1,0.1,0.908046,1.0
4,auc,1,0.15,0.862069,0.988506
4,accuracy,1,0.05,0.90625,0.96875
4,accuracy,1,0.075,0.90625,0.96875
4,accuracy,1,0.1,0.90625,0.96875
4,accuracy,1,0.15,0.90625,0.9375
4,cross_entropy,1,0.05,0.38498,0.356163
4,cross_entropy,1,0.075,0.392804,0.350809
4,cross_entropy,1,0.1,0.398403,0.348313
4,cross_entropy,1,0.15,0.399798,0.348558
5,auc,0,0.05,0.903226,1.0
5,auc,0,0.075,0.645161,1.0
5,auc,0,0.1,0.419355,1.0
5,auc,0,0.15,0.322581,1.0
5,accuracy,0,0.05,0.96875,0.96875
5,accuracy,0,0.075,0.96875,1.0
5,accuracy,0,0.1,0.96875,1.0
5,accuracy,0,0.15,0.96875,1.0
5,cross_entropy,0,0.05,0.327766,0.306268
5,cross_entropy,0,0.075,0.335252,0.30174
5,cross_entropy,0,0.1,0.340563,0.299659
5,cross_entropy,0,0.15,0.339021,0.302507
5,auc,1,0.05,0.903226,1.0
5,auc,1,0.075,0.709677,1.0
5,auc,1,0.1,0.709677,1.0
5,auc,1,0.15,0.548387,1.0
5,accuracy,1,0.05,0.96875,0.96875
5,accuracy,1,0.075,0.96875,0.96875
5,accuracy,1,0.1,0.96875,0.96875
5,accuracy,1,0.15,0.96875,1.0
5,cross_entropy,1,0.05,0.32868,0.304674
5,cross_entropy,1,0.075,0.326905,0.309452
5,cross_entropy,1,0.1,0.329281,0.307033
5,cross_entropy,1,0.15,0.336445,0.301922
6,auc,0,0.05,0.916667,1.0
6,auc,0,0.075,1.0,1.0
6,auc,0,0.1,1.0,1.0
6,auc,0,0.15,1.0,1.0
6,accuracy,0,0.05,0.923077,1.0
6,accuracy,0,0.075,0.923077,0.923077
6,accuracy,0,0.1,0.923077,1.0
6,accuracy,0,0.15,0.923077,1.0
6,cross_entropy,0,0.05,0.373184,0.331132
6,cross_entropy,0,0.075,0.372081,0.331486
6,cross_entropy,0,0.1,0.37598,0.329407
6,cross_entropy,0,0.15,0.373222,0.333358
6,auc,1,0.05,1.0,1.0
6,auc,1,0.075,1.0,1.0
6,auc,1,0.1,1.0,1.0
6,auc,1,0.15,1.0,1.0
6,accuracy,1,0.05,0.923077,0.923077
6,accuracy,1,0.075,0.923077,0.923077
6,accuracy,1,0.1,0.923077,1.0
6,accuracy,1,0.15,0.923077,1.0
6,cross_entropy,1,0.05,0.360078,0.341137
6,cross_entropy,1,0.075,0.369508,0.333306
6,cross_entropy,1,0.1,0.373841,0.329406
6,cross_entropy,1,0.15,0.371495,0.333978
