batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.816092,1.0
0,auc,0,0.075,0.83908,1.0
0,auc,0,0.1,0.804598,1.0
0,auc,0,0.15,0.781609,1.0
0,accuracy,0,0.05,0.90625,1.0
0,accuracy,0,0.075,0.90625,1.0
0,accuracy,0,0.1,0.90625,1.0
0,accuracy,0,0.15,0.90625,1.0
0,cross_entropy,0,0.05,0.388143,0.33896
0,cross_entropy,0,0.075,0.391913,0.339112
0,cross_entropy,0,0.1,0.391824,0.340597
0,cross_entropy,0,0.15,0.393858,0.341601
0,auc,1,0.05,0.850575,1.0
0,auc,1,0.075,0.816092,1.0
0,auc,1,0.1,0.735632,1.0
0,auc,1,0.15,0.701149,1.0
0,accuracy,1,0.05,0.90625,1.0
0,accuracy,1,0.075,0.90625,1.0
0,accuracy,1,0.1,0.90625,1.0
0,accuracy,1,0.15,0.90625,1.0
0,cross_entropy,1,0.05,0.385879,0.340198
0,cross_entropy,1,0.075,0.387799,0.341212
0,cross_entropy,1,0.1,0.393101,0.339759
0,cross_entropy,1,0.15,0.394747,0.341436
1,auc,0,0.05,0.873563,0.965517
1,auc,0,0.075,0.804598,0.965517
1,auc,0,0.1,0.62069,0.977012
1,auc,0,0.15,0.574713,1.0
1,accuracy,0,0.05,0.90625,0.90625
1,accuracy,0,0.075,0.90625,0.90625
1,accuracy,0,0.1,0.90625,0.90625
1,accuracy,0,0.15,0.90625,0.9375
1,cross_entropy,0,0.05,0.369199,0.352012
1,cross_entropy,0,0.075,0.375538,0.358129
1,cross_entropy,0,0.1,0.384209,0.336433
1,cross_entropy,0,0.15,0.392095,0.321658
1,auc,1,0.05,0.896552,1.0
1,auc,1,0.075,0.850575,1.0
1,auc,1,0.1,0.816092,1.0
1,auc,1,0.15,0.735632,1.0
1,accuracy,1,0.05,0.90625,0.9375
1,accuracy,1,0.075,0.90625,0.9375
1,accuracy,1,0.1,0.90625,0.9375
1,accuracy,1,0.15,0.90625,0.96875
1,cross_entropy,1,0.05,0.359498,0.341291
1,cross_entropy,1,0.075,0.363107,0.339446
1,cross_entropy,1,0.1,0.371786,0.330117
1,cross_entropy,1,0.15,0.37807,0.323386
2,auc,0,0.05,0.064516,1.0
2,auc,0,0.075,0.032258,1.0
2,auc,0,0.1,0.032258,1.0
2,auc,0,0.15,0.032258,1.0
2,accuracy,0,0.05,0.96875,1.0
2,accuracy,0,0.075,0.96875,1.0
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.96875
2,cross_entropy,0,0.05,0.374195,0.338104
2,cross_entropy,0,0.075,0.372141,0.341598
2,cross_entropy,0,0.1,0.369793,0.345616
2,cross_entropy,0,0.15,0.363645,0.350699
2,auc,1,0.05,0.064516,1.0
2,auc,1,0.075,0.064516,1.0
2,auc,1,0.1,0.064516,1.0
2,auc,1,0.15,0.096774,1.0
2,accuracy,1,0.05,0.96875,1.0
2,accuracy,1,0.075,0.96875,1.0
2,accuracy,1,0.1,0.96875,1.0
2,accuracy,1,0.15,0.96875,1.0
2,cross_entropy,1,0.05,0.365383,0.345755
2,cross_entropy,1,0.075,0.365746,0.347149
2,cross_entropy,1,0.1,0.361672,0.350614
2,cross_entropy,1,0.15,0.36117,0.352118
3,auc,0,0.05,0.678161,0.988506
3,auc,0,0.075,0.643678,1.0
3,auc,0,0.1,0.609195,1.0
3,auc,0,0.15,0.632184,1.0
3,accuracy,0,0.05,0.90625,0.96875
3,accuracy,0,0.075,0.90625,0.96875
3,accuracy,0,0.1,0.90625,0.96875
3,accuracy,0,0.15,0.90625,0.96875
3,cross_entropy,0,0.05,0.391799,0.339119
3,cross_entropy,0,0.075,0.392203,0.342293
3,cross_entropy,0,0.1,0.396235,0.341209
3,cross_entropy,0,0.15,0.39598,0.341858
3,auc,1,0.05,0.758621,1.0
3,auc,1,0.075,0.689655,1.0
3,auc,1,0.1,0.632184,1.0
3,auc,1,0.15,0.655172,1.0
3,accuracy,1,0.05,0.90625,0.96875
3,accuracy,1,0.075,0.90625,0.96875
3,accuracy,1,0.1,0.90625,1.0
3,accuracy,1,0.15,0.90625,1.0
3,cross_entropy,1,0.05,0.378017,0.351716
3,cross_entropy,1,0.075,0.384237,0.350451
3,cross_entropy,1,0.1,0.386538,0.352142
3,cross_entropy,1,0.15,0.383785,0.355355
4,auc,0,0.05,0.2,1.0
4,auc,0,0.075,0.1,1.0
4,auc,0,0.1,0.0,1.0
4,auc,0,0.15,0.05,1.0
4,accuracy,0,0.05,0.9375,1.0
4,accuracy,0,0.075,0.9375,1.0
4,accuracy,0,0.1,0.9375,1.0
4,accuracy,0,0.15,0.9375,1.0
4,cross_entropy,0,0.05,0.404215,0.305614
4,cross_entropy,0,0.075,0.404117,0.305612
4,cross_entropy,0,0.1,0.404372,0.305458
4,cross_entropy,0,0.15,0.400628,0.309068
4,auc,1,0.05,0.483333,1.0
4,auc,1,0.075,0.45,1.0
4,auc,1,0.1,0.433333,1.0
4,auc,1,0.15,0.516667,1.0
4,accuracy,1,0.05,0.9375,1.0
4,accuracy,1,0.075,0.9375,1.0
4,accuracy,1,0.1,0.9375,0.96875
4,accuracy,1,0.15,0.9375,0.96875
4,cross_entropy,1,0.05,0.383437,0.323805
4,cross_entropy,1,0.075,0.381919,0.32511
4,cross_entropy,1,0.1,0.381435,0.326061
4,cross_entropy,1,0.15,0.378725,0.327784
5,auc,0,0.05,0.850575,1.0
5,auc,0,0.075,0.666667,1.0
5,auc,0,0.1,0.517241,1.0
5,auc,0,0.15,0.574713,1.0
5,accuracy,0,0.05,0.90625,0.96875
5,accuracy,0,0.075,0.90625,0.96875
5,accuracy,0,0.1,0.90625,0.96875
5,accuracy,0,0.15,0.90625,0.96875
5,cross_entropy,0,0.05,0.38719,0.34064
5,cross_entropy,0,0.075,0.400922,0.329716
5,cross_entropy,0,0.1,0.405279,0.327607
5,cross_entropy,0,0.15,0.402473,0.329281
5,auc,1,0.05,0.977012,1.0
5,auc,1,0.075,0.873563,1.0
5,auc,1,0.1,0.758621,1.0
5,auc,1,0.15,0.724138,1.0
5,accuracy,1,0.05,0.90625,0.9375
5,accuracy,1,0.075,0.90625,0.9375
5,accuracy,1,0.1,0.90625,0.9375
5,accuracy,1,0.15,0.90625,0.9375
5,cross_entropy,1,0.05,0.369879,0.355072
5,cross_entropy,1,0.075,0.377638,0.34983
5,cross_entropy,1,0.1,0.384274,0.343796
5,cross_entropy,1,0.15,0.386574,0.342004
6,auc,0,0.05,0.909091,1.0
6,auc,0,0.075,0.863636,1.0
6,auc,0,0.1,0.772727,1.0
6,auc,0,0.15,0.681818,1.0
6,accuracy,0,0.05,0.846154,0.923077
6,accuracy,0,0.075,0.846154,0.923077
6,accuracy,0,0.1,0.846154,0.923077
6,accuracy,0,0.15,0.846154,0.923077
6,cross_entropy,0,0.05,0.446911,0.324431
6,cross_entropy,0,0.075,0.454139,0.31821
6,cross_entropy,0,0.1,0.456393,0.317481
6,cross_entropy,0,0.15,0.475342,0.30426
