batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.266667,1.0
0,auc,0,0.075,0.166667,1.0
0,auc,0,0.1,0.216667,1.0
0,auc,0,0.15,0.266667,1.0
0,accuracy,0,0.05,0.9375,1.0
0,accuracy,0,0.075,0.9375,1.0
0,accuracy,0,0.1,0.9375,1.0
0,accuracy,0,0.15,0.9375,1.0
0,cross_entropy,0,0.05,0.314913,0.169295
0,cross_entropy,0,0.075,0.327386,0.162896
0,cross_entropy,0,0.1,0.327352,0.163169
0,cross_entropy,0,0.15,0.322728,0.164903
0,auc,1,0.05,0.2,1.0
0,auc,1,0.075,0.116667,1.0
0,auc,1,0.1,0.066667,1.0
0,auc,1,0.15,0.133333,1.0
0,accuracy,1,0.05,0.9375,1.0
0,accuracy,1,0.075,0.9375,1.0
0,accuracy,1,0.1,0.9375,1.0
0,accuracy,1,0.15,0.9375,1.0
0,cross_entropy,1,0.05,0.317304,0.16889
0,cross_entropy,1,0.075,0.338397,0.157362
0,cross_entropy,1,0.1,0.347647,0.153522
0,cross_entropy,1,0.15,0.336503,0.157563
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,0.96875
1,accuracy,0,0.075,1.0,0.96875
1,accuracy,0,0.1,1.0,0.96875
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.217332,0.199616
1,cross_entropy,0,0.075,0.225915,0.19705
1,cross_entropy,0,0.1,0.229978,0.186065
1,cross_entropy,0,0.15,0.22829,0.163107
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.96875
1,accuracy,1,0.075,1.0,0.96875
1,accuracy,1,0.1,1.0,0.96875
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.212541,0.186793
1,cross_entropy,1,0.075,0.230999,0.171491
1,cross_entropy,1,0.1,0.240564,0.166552
1,cross_entropy,1,0.15,0.240831,0.152431
2,auc,0,0.05,0.935484,1.0
2,auc,0,0.075,0.903226,1.0
2,auc,0,0.1,0.903226,1.0
2,auc,0,0.15,0.741935,1.0
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,1.0
2,accuracy,0,0.15,0.96875,1.0
2,cross_entropy,0,0.05,0.261867,0.1829
2,cross_entropy,0,0.075,0.264555,0.182189
2,cross_entropy,0,0.1,0.264039,0.183609
2,cross_entropy,0,0.15,0.263664,0.185351
2,auc,1,0.05,0.935484,1.0
2,auc,1,0.075,0.870968,1.0
2,auc,1,0.1,0.774194,1.0
2,auc,1,0.15,0.612903,1.0
2,accuracy,1,0.05,0.96875,1.0
2,accuracy,1,0.075,0.96875,1.0
2,accuracy,1,0.1,0.96875,1.0
2,accuracy,1,0.15,0.96875,1.0
2,cross_entropy,1,0.05,0.257957,0.187796
2,cross_entropy,1,0.075,0.266849,0.18054
2,cross_entropy,1,0.1,0.276042,0.174855
2,cross_entropy,1,0.15,0.280384,0.173611
3,auc,0,0.05,0.129032,1.0
3,auc,0,0.075,0.129032,1.0
3,auc,0,0.1,0.129032,1.0
3,auc,0,0.15,0.129032,1.0
3,accuracy,0,0.05,0.96875,1.0
3,accuracy,0,0.075,0.96875,1.0
3,accuracy,0,0.1,0.96875,1.0
3,accuracy,0,0.15,0.96875,1.0
3,cross_entropy,0,0.05,0.259751,0.196166
3,cross_entropy,0,0.075,0.269912,0.189922
3,cross_entropy,0,0.1,0.269075,0.189168
3,cross_entropy,0,0.15,0.265206,0.19333
3,auc,1,0.05,0.16129,1.0
3,auc,1,0.075,0.16129,1.0
3,auc,1,0.1,0.129032,1.0
3,auc,1,0.15,0.129032,1.0
3,accuracy,1,0.05,0.96875,1.0
3,accuracy,1,0.075,0.96875,1.0
3,accuracy,1,0.1,0.96875,1.0
3,accuracy,1,0.15,0.96875,1.0
3,cross_entropy,1,0.05,0.258433,0.203546
3,cross_entropy,1,0.075,0.268411,0.194091
3,cross_entropy,1,0.1,0.275794,0.187973
3,cross_entropy,1,0.15,0.276157,0.185988
4,auc,0,0.05,0.0,0.0
4,auc,0,0.075,0.0,0.0
4,auc,0,0.1,0.0,0.0
4,auc,0,0.15,0.0,0.0
4,accuracy,0,0.05,1.0,1.0
4,accuracy,0,0.075,1.0,1.0
4,accuracy,0,0.1,1.0,1.0
4,accuracy,0,0.15,1.0,1.0
4,cross_entropy,0,0.05,0.217157,0.139514
4,cross_entropy,0,0.075,0.223938,0.136425
4,cross_entropy,0,0.1,0.226027,0.135472
4,cross_entropy,0,0.15,0.22267,0.13757
4,auc,1,0.05,0.0,0.0
4,auc,1,0.075,0.0,0.0
4,auc,1,0.1,0.0,0.0
4,auc,1,0.15,0.0,0.0
4,accuracy,1,0.05,1.0,1.0
4,accuracy,1,0.075,1.0,1.0
4,accuracy,1,0.1,1.0,1.0
4,accuracy,1,0.15,1.0,1.0
4,cross_entropy,1,0.05,0.214182,0.141984
4,cross_entropy,1,0.075,0.226291,0.135909
4,cross_entropy,1,0.1,0.233971,0.133215
4,cross_entropy,1,0.15,0.238593,0.130037
5,auc,0,0.05,0.233333,1.0
5,auc,0,0.075,0.2,1.0
5,auc,0,0.1,0.35,1.0
5,auc,0,0.15,0.416667,1.0
5,accuracy,0,0.05,0.9375,1.0
5,accuracy,0,0.075,0.9375,1.0
5,accuracy,0,0.1,0.9375,1.0
5,accuracy,0,0.15,0.9375,1.0
5,cross_entropy,0,0.05,0.311926,0.19206
5,cross_entropy,0,0.075,0.317752,0.185452
5,cross_entropy,0,0.1,0.31401,0.186093
5,cross_entropy,0,0.15,0.311721,0.187325
5,auc,1,0.05,0.266667,1.0
5,auc,1,0.075,0.233333,1.0
5,auc,1,0.1,0.216667,1.0
5,auc,1,0.15,0.316667,1.0
5,accuracy,1,0.05,0.9375,1.0
5,accuracy,1,0.075,0.9375,1.0
5,accuracy,1,0.1,0.9375,1.0
5,accuracy,1,0.15,0.9375,1.0
5,cross_entropy,1,0.05,0.306403,0.198227
5,cross_entropy,1,0.075,0.320355,0.187397
5,cross_entropy,1,0.1,0.326426,0.180139
5,cross_entropy,1,0.15,0.322361,0.180054
6,auc,0,0.05,0.181818,1.0
6,auc,0,0.075,0.181818,1.0
6,auc,0,0.1,0.272727,1.0
6,auc,0,0.15,0.318182,1.0
6,accuracy,0,0.05,0.846154,0.923077
6,accuracy,0,0.075,0.846154,0.846154
6,accuracy,0,0.1,0.846154,0.846154
6,accuracy,0,0.15,0.846154,0.846154
6,cross_entropy,0,0.05,0.486438,0.284778
6,cross_entropy,0,0.075,0.483197,0.287092
