batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.1
0,auc,0,0.075,1.0,0.1
0,auc,0,0.1,1.0,0.116667
0,auc,0,0.15,0.966667,0.133333
0,accuracy,0,0.05,1.0,0.9375
0,accuracy,0,0.075,1.0,0.9375
0,accuracy,0,0.1,0.96875,0.9375
0,accuracy,0,0.15,0.96875,0.9375
0,cross_entropy,0,0.05,0.276941,0.271364
0,cross_entropy,0,0.075,0.298845,0.270441
0,cross_entropy,0,0.1,0.339192,0.269242
0,cross_entropy,0,0.15,0.463058,0.26363
0,auc,1,0.05,0.216667,0.966667
0,auc,1,0.075,0.166667,0.966667
0,auc,1,0.1,0.166667,0.966667
0,auc,1,0.15,0.133333,0.966667
0,accuracy,1,0.05,0.9375,0.96875
0,accuracy,1,0.075,0.9375,0.96875
0,accuracy,1,0.1,0.9375,0.96875
0,accuracy,1,0.15,0.9375,0.96875
0,cross_entropy,1,0.05,0.273406,0.565321
0,cross_entropy,1,0.075,0.280907,0.654509
0,cross_entropy,1,0.1,0.281822,0.719071
0,cross_entropy,1,0.15,0.282941,0.801463
1,auc,0,0.05,1.0,0.266667
1,auc,0,0.075,1.0,0.166667
1,auc,0,0.1,1.0,0.2
1,auc,0,0.15,1.0,0.166667
1,accuracy,0,0.05,0.96875,0.9375
1,accuracy,0,0.075,0.96875,0.9375
1,accuracy,0,0.1,0.96875,0.9375
1,accuracy,0,0.15,0.96875,0.9375
1,cross_entropy,0,0.05,0.323087,0.289472
1,cross_entropy,0,0.075,0.335718,0.294565
1,cross_entropy,0,0.1,0.346508,0.297258
1,cross_entropy,0,0.15,0.356016,0.305075
1,auc,1,0.05,0.166667,1.0
1,auc,1,0.075,0.116667,1.0
1,auc,1,0.1,0.116667,1.0
1,auc,1,0.15,0.083333,1.0
1,accuracy,1,0.05,0.9375,1.0
1,accuracy,1,0.075,0.9375,1.0
1,accuracy,1,0.1,0.9375,0.96875
1,accuracy,1,0.15,0.9375,0.96875
1,cross_entropy,1,0.05,0.303041,0.282024
1,cross_entropy,1,0.075,0.315611,0.287436
1,cross_entropy,1,0.1,0.322874,0.294894
1,cross_entropy,1,0.15,0.320349,0.304904
2,auc,0,0.05,1.0,1.0
2,auc,0,0.075,1.0,1.0
2,auc,0,0.1,1.0,1.0
2,auc,0,0.15,1.0,1.0
2,accuracy,0,0.05,1.0,0.96875
2,accuracy,0,0.075,1.0,0.96875
2,accuracy,0,0.1,1.0,0.96875
2,accuracy,0,0.15,1.0,0.96875
