batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,0.90625,1.0
0,accuracy,0,0.1,0.90625,1.0
0,accuracy,0,0.15,0.875,1.0
0,cross_entropy,0,0.05,0.335863,0.123336
0,cross_entropy,0,0.075,0.362342,0.117022
0,cross_entropy,0,0.1,0.375076,0.115083
0,cross_entropy,0,0.15,0.402176,0.111231
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.96875
0,accuracy,1,0.075,1.0,0.96875
0,accuracy,1,0.1,1.0,0.90625
0,accuracy,1,0.15,1.0,0.90625
0,cross_entropy,1,0.05,0.153053,0.27673
0,cross_entropy,1,0.075,0.143142,0.304304
0,cross_entropy,1,0.1,0.135386,0.327906
0,cross_entropy,1,0.15,0.123812,0.369961
1,auc,0,0.05,1.0,0.616667
1,auc,0,0.075,1.0,0.55
1,auc,0,0.1,0.966667,0.55
1,auc,0,0.15,0.966667,0.516667
1,accuracy,0,0.05,0.9375,0.9375
1,accuracy,0,0.075,0.9375,0.9375
1,accuracy,0,0.1,0.9375,0.9375
1,accuracy,0,0.15,0.90625,0.9375
1,cross_entropy,0,0.05,0.325211,0.236914
1,cross_entropy,0,0.075,0.345848,0.234423
1,cross_entropy,0,0.1,0.362144,0.232579
1,cross_entropy,0,0.15,0.390652,0.232517
1,auc,1,0.05,0.2,0.966667
1,auc,1,0.075,0.183333,0.966667
1,auc,1,0.1,0.183333,0.966667
1,auc,1,0.15,0.2,0.966667
1,accuracy,1,0.05,0.9375,0.9375
1,accuracy,1,0.075,0.9375,0.9375
1,accuracy,1,0.1,0.9375,0.90625
1,accuracy,1,0.15,0.9375,0.90625
1,cross_entropy,1,0.05,0.28685,0.479898
1,cross_entropy,1,0.075,0.288026,0.538255
1,cross_entropy,1,0.1,0.291516,0.584213
1,cross_entropy,1,0.15,0.292711,0.651705
2,auc,0,0.05,0.983333,0.616667
2,auc,0,0.075,0.966667,0.616667
2,auc,0,0.1,0.966667,0.616667
2,auc,0,0.15,0.966667,0.633333
2,accuracy,0,0.05,0.96875,0.9375
2,accuracy,0,0.075,0.96875,0.9375
2,accuracy,0,0.1,0.9375,0.9375
2,accuracy,0,0.15,0.90625,0.9375
