batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,1.0
0,auc,0,0.075,1.0,1.0
0,auc,0,0.1,0.95,1.0
0,auc,0,0.15,0.766667,1.0
0,accuracy,0,0.05,1.0,0.9375
0,accuracy,0,0.075,0.9375,0.9375
0,accuracy,0,0.1,0.9375,1.0
0,accuracy,0,0.15,0.9375,1.0
0,cross_entropy,0,0.05,0.251665,0.240913
0,cross_entropy,0,0.075,0.268801,0.224732
0,cross_entropy,0,0.1,0.279052,0.216482
0,cross_entropy,0,0.15,0.296,0.207867
0,auc,1,0.05,1.0,1.0
0,auc,1,0.075,0.983333,1.0
0,auc,1,0.1,0.883333,1.0
0,auc,1,0.15,0.75,1.0
0,accuracy,1,0.05,0.96875,0.9375
0,accuracy,1,0.075,0.9375,0.9375
0,accuracy,1,0.1,0.9375,0.96875
0,accuracy,1,0.15,0.9375,1.0
0,cross_entropy,1,0.05,0.25938,0.235508
0,cross_entropy,1,0.075,0.269415,0.221665
0,cross_entropy,1,0.1,0.28613,0.216291
0,cross_entropy,1,0.15,0.293798,0.206792
1,auc,0,0.05,0.983333,1.0
1,auc,0,0.075,0.916667,1.0
1,auc,0,0.1,0.866667,1.0
1,auc,0,0.15,0.8,1.0
1,accuracy,0,0.05,0.9375,0.9375
1,accuracy,0,0.075,0.9375,0.9375
1,accuracy,0,0.1,0.9375,0.9375
1,accuracy,0,0.15,0.9375,0.9375
1,cross_entropy,0,0.05,0.254284,0.246969
1,cross_entropy,0,0.075,0.263062,0.239997
1,cross_entropy,0,0.1,0.266669,0.23321
1,cross_entropy,0,0.15,0.267666,0.22879
1,auc,1,0.05,0.983333,0.983333
1,auc,1,0.075,0.883333,1.0
1,auc,1,0.1,0.866667,1.0
1,auc,1,0.15,0.816667,1.0
1,accuracy,1,0.05,0.9375,0.9375
1,accuracy,1,0.075,0.9375,0.9375
1,accuracy,1,0.1,0.9375,0.9375
1,accuracy,1,0.15,0.9375,0.9375
1,cross_entropy,1,0.05,0.254374,0.241705
1,cross_entropy,1,0.075,0.266323,0.238974
1,cross_entropy,1,0.1,0.264343,0.23588
1,cross_entropy,1,0.15,0.26424,0.231861
2,auc,0,0.05,1.0,1.0
2,auc,0,0.075,1.0,1.0
2,auc,0,0.1,0.95,1.0
2,auc,0,0.15,0.933333,1.0
2,accuracy,0,0.05,0.96875,0.9375
2,accuracy,0,0.075,0.9375,0.9375
2,accuracy,0,0.1,0.9375,0.9375
2,accuracy,0,0.15,0.9375,0.9375
2,cross_entropy,0,0.05,0.256287,0.243338
2,cross_entropy,0,0.075,0.26409,0.23419
2,cross_entropy,0,0.1,0.269808,0.226769
2,cross_entropy,0,0.15,0.275302,0.215828
2,auc,1,0.05,1.0,1.0
2,auc,1,0.075,1.0,1.0
2,auc,1,0.1,0.95,1.0
2,auc,1,0.15,0.916667,1.0
2,accuracy,1,0.05,0.9375,0.9375
2,accuracy,1,0.075,0.9375,0.9375
2,accuracy,1,0.1,0.9375,0.9375
2,accuracy,1,0.15,0.9375,0.96875
2,cross_entropy,1,0.05,0.262049,0.236487
2,cross_entropy,1,0.075,0.270599,0.225647
2,cross_entropy,1,0.1,0.278047,0.220243
2,cross_entropy,1,0.15,0.281286,0.214261
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,1.0,1.0
3,accuracy,0,0.075,1.0,1.0
3,accuracy,0,0.1,1.0,1.0
3,accuracy,0,0.15,1.0,1.0
3,cross_entropy,0,0.05,0.202252,0.164339
3,cross_entropy,0,0.075,0.201003,0.16951
3,cross_entropy,0,0.1,0.197582,0.171634
3,cross_entropy,0,0.15,0.197962,0.179203
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,1.0
3,accuracy,1,0.075,1.0,1.0
3,accuracy,1,0.1,1.0,1.0
3,accuracy,1,0.15,1.0,1.0
3,cross_entropy,1,0.05,0.206547,0.161894
