batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.419355,0.83871
0,auc,0,0.075,0.419355,0.806452
0,auc,0,0.1,0.451613,0.806452
0,auc,0,0.15,0.451613,0.806452
0,accuracy,0,0.05,0.3125,0.625
0,accuracy,0,0.075,0.28125,0.65625
0,accuracy,0,0.1,0.28125,0.65625
0,accuracy,0,0.15,0.28125,0.65625
0,cross_entropy,0,0.05,4.646252,1.3475
0,cross_entropy,0,0.075,4.797076,1.341204
0,cross_entropy,0,0.1,4.927011,1.264012
0,cross_entropy,0,0.15,5.129068,1.167126
0,auc,1,0.05,0.967742,0.419355
0,auc,1,0.075,0.967742,0.354839
0,auc,1,0.1,0.935484,0.419355
0,auc,1,0.15,0.935484,0.354839
0,accuracy,1,0.05,0.75,0.1875
0,accuracy,1,0.075,0.6875,0.15625
0,accuracy,1,0.1,0.6875,0.15625
0,accuracy,1,0.15,0.71875,0.15625
0,cross_entropy,1,0.05,0.615234,6.131565
0,cross_entropy,1,0.075,0.659064,6.057126
0,cross_entropy,1,0.1,0.714893,5.975697
0,cross_entropy,1,0.15,0.71898,6.064625
1,auc,0,0.05,0.546875,0.421875
1,auc,0,0.075,0.552083,0.411458
1,auc,0,0.1,0.541667,0.411458
1,auc,0,0.15,0.520833,0.416667
1,accuracy,0,0.05,0.46875,0.46875
1,accuracy,0,0.075,0.46875,0.46875
1,accuracy,0,0.1,0.40625,0.46875
1,accuracy,0,0.15,0.3125,0.4375
1,cross_entropy,0,0.05,3.013629,3.134822
1,cross_entropy,0,0.075,3.134393,3.016561
1,cross_entropy,0,0.1,3.189637,3.029003
1,cross_entropy,0,0.15,3.415732,2.914881
1,auc,1,0.05,0.411458,0.471354
1,auc,1,0.075,0.395833,0.476562
1,auc,1,0.1,0.385417,0.476562
1,auc,1,0.15,0.385417,0.476562
1,accuracy,1,0.05,0.4375,0.28125
1,accuracy,1,0.075,0.40625,0.28125
1,accuracy,1,0.1,0.40625,0.28125
1,accuracy,1,0.15,0.40625,0.28125
1,cross_entropy,1,0.05,2.505729,4.099009
1,cross_entropy,1,0.075,2.6219,4.044282
1,cross_entropy,1,0.1,2.647255,4.050702
1,cross_entropy,1,0.15,2.697345,4.065845
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,0.59375,0.6875
2,accuracy,0,0.075,0.59375,0.6875
2,accuracy,0,0.1,0.59375,0.6875
2,accuracy,0,0.15,0.5,0.71875
2,cross_entropy,0,0.05,2.303688,1.168744
2,cross_entropy,0,0.075,2.400635,1.094982
2,cross_entropy,0,0.1,2.510926,1.049199
2,cross_entropy,0,0.15,2.668236,0.969384
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,0.78125,0.5
2,accuracy,1,0.075,0.8125,0.53125
2,accuracy,1,0.1,0.78125,0.46875
2,accuracy,1,0.15,0.75,0.5
2,cross_entropy,1,0.05,0.710442,2.962355
2,cross_entropy,1,0.075,0.746379,2.891086
2,cross_entropy,1,0.1,0.833386,2.879608
2,cross_entropy,1,0.15,0.834683,2.81586
3,auc,0,0.05,0.845714,0.28
3,auc,0,0.075,0.828571,0.274286
3,auc,0,0.1,0.822857,0.28
3,auc,0,0.15,0.834286,0.262857
3,accuracy,0,0.05,0.53125,0.5625
3,accuracy,0,0.075,0.5,0.5625
3,accuracy,0,0.1,0.5,0.59375
3,accuracy,0,0.15,0.53125,0.65625
3,cross_entropy,0,0.05,1.577662,2.657542
3,cross_entropy,0,0.075,1.702268,2.681179
3,cross_entropy,0,0.1,1.865922,2.607522
3,cross_entropy,0,0.15,2.028742,2.609219
3,auc,1,0.05,0.24,0.845714
3,auc,1,0.075,0.24,0.845714
3,auc,1,0.1,0.24,0.84
3,auc,1,0.15,0.24,0.862857
3,accuracy,1,0.05,0.625,0.4375
3,accuracy,1,0.075,0.65625,0.40625
3,accuracy,1,0.1,0.65625,0.40625
3,accuracy,1,0.15,0.625,0.4375
3,cross_entropy,1,0.05,2.608375,2.328753
3,cross_entropy,1,0.075,2.65104,2.359446
3,cross_entropy,1,0.1,2.62974,2.353719
3,cross_entropy,1,0.15,2.644058,2.395538
4,auc,0,0.05,0.609375,0.453125
4,auc,0,0.075,0.598958,0.479167
4,auc,0,0.1,0.546875,0.489583
4,auc,0,0.15,0.552083,0.479167
4,accuracy,0,0.05,0.5,0.40625
4,accuracy,0,0.075,0.5,0.46875
4,accuracy,0,0.1,0.4375,0.53125
4,accuracy,0,0.15,0.4375,0.53125
4,cross_entropy,0,0.05,1.865626,2.405324
4,cross_entropy,0,0.075,2.011517,2.309037
4,cross_entropy,0,0.1,2.101225,2.221518
4,cross_entropy,0,0.15,2.191826,2.175687
4,auc,1,0.05,0.369792,0.651042
4,auc,1,0.075,0.375,0.671875
4,auc,1,0.1,0.364583,0.682292
4,auc,1,0.15,0.359375,0.692708
4,accuracy,1,0.05,0.53125,0.34375
