batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.946429,0.571429
0,auc,0,0.075,0.946429,0.580357
0,auc,0,0.1,0.883929,0.589286
0,auc,0,0.15,0.830357,0.598214
0,accuracy,0,0.05,0.78125,0.53125
0,accuracy,0,0.075,0.75,0.5
0,accuracy,0,0.1,0.59375,0.53125
0,accuracy,0,0.15,0.53125,0.5625
0,cross_entropy,0,0.05,0.511039,1.541853
0,cross_entropy,0,0.075,0.514888,1.49319
0,cross_entropy,0,0.1,0.834516,1.268339
0,cross_entropy,0,0.15,0.93705,1.197966
0,auc,1,0.05,0.830357,0.598214
0,auc,1,0.075,0.758929,0.607143
0,auc,1,0.1,0.794643,0.598214
0,auc,1,0.15,0.669643,0.633929
0,accuracy,1,0.05,0.8125,0.46875
0,accuracy,1,0.075,0.8125,0.46875
0,accuracy,1,0.1,0.84375,0.46875
0,accuracy,1,0.15,0.8125,0.46875
0,cross_entropy,1,0.05,0.376619,1.848088
0,cross_entropy,1,0.075,0.386003,1.975356
0,cross_entropy,1,0.1,0.449088,1.975298
0,cross_entropy,1,0.15,0.551481,2.228953
1,auc,0,0.05,0.974359,0.557692
1,auc,0,0.075,0.891026,0.570513
1,auc,0,0.1,0.846154,0.608974
1,auc,0,0.15,0.852564,0.544872
1,accuracy,0,0.05,0.90625,0.5625
1,accuracy,0,0.075,0.75,0.5625
1,accuracy,0,0.1,0.6875,0.5625
1,accuracy,0,0.15,0.71875,0.53125
1,cross_entropy,0,0.05,0.378771,2.648961
1,cross_entropy,0,0.075,0.598202,2.420432
1,cross_entropy,0,0.1,0.787706,2.149519
1,cross_entropy,0,0.15,0.878049,2.386899
1,auc,1,0.05,0.833333,0.544872
1,auc,1,0.075,0.525641,0.615385
1,auc,1,0.1,0.570513,0.589744
1,auc,1,0.15,0.532051,0.570513
1,accuracy,1,0.05,0.875,0.53125
1,accuracy,1,0.075,0.8125,0.5625
1,accuracy,1,0.1,0.78125,0.5
1,accuracy,1,0.15,0.71875,0.5
1,cross_entropy,1,0.05,0.317212,2.757143
1,cross_entropy,1,0.075,0.603441,2.538843
1,cross_entropy,1,0.1,0.702942,2.355027
1,cross_entropy,1,0.15,0.939746,2.195366
2,auc,0,0.05,0.973214,0.758929
2,auc,0,0.075,0.955357,0.758929
2,auc,0,0.1,0.973214,0.741071
2,auc,0,0.15,0.830357,0.8125
2,accuracy,0,0.05,0.90625,0.65625
2,accuracy,0,0.075,0.84375,0.6875
2,accuracy,0,0.1,0.8125,0.625
2,accuracy,0,0.15,0.75,0.625
2,cross_entropy,0,0.05,0.401357,1.153348
2,cross_entropy,0,0.075,0.464125,1.171622
2,cross_entropy,0,0.1,0.447693,1.287431
2,cross_entropy,0,0.15,0.499313,1.290656
2,auc,1,0.05,1.0,0.803571
2,auc,1,0.075,0.866071,0.901786
2,auc,1,0.1,0.9375,0.892857
2,auc,1,0.15,0.883929,0.883929
2,accuracy,1,0.05,0.96875,0.5625
2,accuracy,1,0.075,0.9375,0.5
2,accuracy,1,0.1,0.90625,0.53125
2,accuracy,1,0.15,0.75,0.53125
2,cross_entropy,1,0.05,0.173146,1.428458
2,cross_entropy,1,0.075,0.247144,1.410798
2,cross_entropy,1,0.1,0.276525,1.293006
2,cross_entropy,1,0.15,0.371975,1.279528
3,auc,0,0.05,1.0,0.321839
3,auc,0,0.075,1.0,0.275862
3,auc,0,0.1,0.954023,0.287356
3,auc,0,0.15,0.781609,0.172414
3,accuracy,0,0.05,0.90625,0.5
3,accuracy,0,0.075,0.84375,0.5
3,accuracy,0,0.1,0.78125,0.46875
3,accuracy,0,0.15,0.59375,0.4375
3,cross_entropy,0,0.05,0.419289,2.760315
3,cross_entropy,0,0.075,0.446355,2.79368
3,cross_entropy,0,0.1,0.60858,2.772351
3,cross_entropy,0,0.15,0.865523,2.615974
3,auc,1,0.05,0.436782,0.321839
3,auc,1,0.075,0.551724,0.321839
3,auc,1,0.1,0.574713,0.321839
3,auc,1,0.15,0.517241,0.344828
3,accuracy,1,0.05,0.875,0.40625
3,accuracy,1,0.075,0.84375,0.4375
3,accuracy,1,0.1,0.84375,0.375
3,accuracy,1,0.15,0.75,0.34375
3,cross_entropy,1,0.05,0.387165,2.983874
3,cross_entropy,1,0.075,0.443358,3.235918
3,cross_entropy,1,0.1,0.481204,3.311794
3,cross_entropy,1,0.15,0.622929,3.263978
4,auc,0,0.05,0.988506,0.16092
4,auc,0,0.075,0.942529,0.195402
4,auc,0,0.1,0.942529,0.16092
4,auc,0,0.15,0.701149,0.287356
4,accuracy,0,0.05,0.78125,0.46875
4,accuracy,0,0.075,0.75,0.5
4,accuracy,0,0.1,0.625,0.5
4,accuracy,0,0.15,0.5625,0.5
4,cross_entropy,0,0.05,0.477044,2.934515
4,cross_entropy,0,0.075,0.728793,2.817532
4,cross_entropy,0,0.1,0.812491,2.732081
4,cross_entropy,0,0.15,1.165808,2.600585
4,auc,1,0.05,0.482759,0.425287
4,auc,1,0.075,0.137931,0.471264
4,auc,1,0.1,0.103448,0.505747
4,auc,1,0.15,0.149425,0.62069
4,accuracy,1,0.05,0.875,0.3125
4,accuracy,1,0.075,0.875,0.34375
4,accuracy,1,0.1,0.78125,0.375
4,accuracy,1,0.15,0.65625,0.5
4,cross_entropy,1,0.05,0.506836,3.070102
4,cross_entropy,1,0.075,0.667989,2.973359
4,cross_entropy,1,0.1,0.806447,2.72737
4,cross_entropy,1,0.15,1.098802,2.462337
5,auc,0,0.05,0.709677,0.516129
5,auc,0,0.075,0.612903,0.548387
5,auc,0,0.1,0.612903,0.548387
5,auc,0,0.15,0.645161,0.548387
5,accuracy,0,0.05,0.625,0.625
5,accuracy,0,0.075,0.625,0.59375
5,accuracy,0,0.1,0.625,0.59375
5,accuracy,0,0.15,0.5625,0.625
5,cross_entropy,0,0.05,0.889825,1.436875
5,cross_entropy,0,0.075,1.066113,1.405572
5,cross_entropy,0,0.1,1.151792,1.36539
5,cross_entropy,0,0.15,1.267065,1.497777
5,auc,1,0.05,0.870968,0.451613
5,auc,1,0.075,0.774194,0.483871
5,auc,1,0.1,0.903226,0.451613
5,auc,1,0.15,0.935484,0.354839
5,accuracy,1,0.05,0.9375,0.4375
5,accuracy,1,0.075,0.90625,0.5
5,accuracy,1,0.1,0.84375,0.53125
5,accuracy,1,0.15,0.75,0.5625
5,cross_entropy,1,0.05,0.241691,2.883064
5,cross_entropy,1,0.075,0.31396,2.841905
5,cross_entropy,1,0.1,0.546595,2.690571
5,cross_entropy,1,0.15,0.694239,2.131021
6,auc,0,0.05,0.916667,0.916667
6,auc,0,0.075,0.5,0.916667
6,auc,0,0.1,0.333333,0.916667
6,auc,0,0.15,0.5,0.916667
6,accuracy,0,0.05,0.461538,0.615385
6,accuracy,0,0.075,0.461538,0.692308
6,accuracy,0,0.1,0.384615,0.769231
6,accuracy,0,0.15,0.461538,0.769231
6,cross_entropy,0,0.05,0.864023,1.444561
6,cross_entropy,0,0.075,1.123935,1.163424
6,cross_entropy,0,0.1,1.448433,0.955024
6,cross_entropy,0,0.15,1.696081,0.79182
6,auc,1,0.05,0.416667,0.833333
6,auc,1,0.075,0.333333,0.833333
6,auc,1,0.1,0.25,0.916667
6,auc,1,0.15,0.083333,0.916667
6,accuracy,1,0.05,0.923077,0.538462
6,accuracy,1,0.075,0.923077,0.461538
6,accuracy,1,0.1,0.923077,0.538462
6,accuracy,1,0.15,0.769231,0.538462
6,cross_entropy,1,0.05,0.290796,2.212714
6,cross_entropy,1,0.075,0.354761,2.22113
6,cross_entropy,1,0.1,0.377957,2.136259
6,cross_entropy,1,0.15,0.555286,1.886467
