batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.340741,0.940741
0,auc,0,0.075,0.333333,0.955556
0,auc,0,0.1,0.318519,0.962963
0,auc,0,0.15,0.325926,0.97037
0,accuracy,0,0.05,0.53125,0.78125
0,accuracy,0,0.075,0.5,0.875
0,accuracy,0,0.1,0.5,0.90625
0,accuracy,0,0.15,0.5,0.9375
0,cross_entropy,0,0.05,2.723731,0.447193
0,cross_entropy,0,0.075,2.75055,0.396753
0,cross_entropy,0,0.1,2.780394,0.369327
0,cross_entropy,0,0.15,2.790818,0.333714
0,auc,1,0.05,0.333333,0.940741
0,auc,1,0.075,0.333333,0.948148
0,auc,1,0.1,0.318519,0.962963
0,auc,1,0.15,0.340741,0.992593
0,accuracy,1,0.05,0.53125,0.84375
0,accuracy,1,0.075,0.53125,0.875
0,accuracy,1,0.1,0.53125,0.90625
0,accuracy,1,0.15,0.53125,0.9375
0,cross_entropy,1,0.05,2.715192,0.4673
0,cross_entropy,1,0.075,2.750816,0.439208
0,cross_entropy,1,0.1,2.772862,0.388597
0,cross_entropy,1,0.15,2.795722,0.331322
1,auc,0,0.05,0.455357,0.973214
1,auc,0,0.075,0.464286,0.973214
1,auc,0,0.1,0.464286,1.0
1,auc,0,0.15,0.464286,1.0
1,accuracy,0,0.05,0.59375,0.875
1,accuracy,0,0.075,0.59375,0.875
1,accuracy,0,0.1,0.625,0.90625
1,accuracy,0,0.15,0.5625,0.96875
1,cross_entropy,0,0.05,1.6269,0.401729
1,cross_entropy,0,0.075,1.630588,0.378841
1,cross_entropy,0,0.1,1.659042,0.366095
1,cross_entropy,0,0.15,1.672777,0.329348
1,auc,1,0.05,0.455357,0.973214
1,auc,1,0.075,0.4375,1.0
1,auc,1,0.1,0.455357,1.0
1,auc,1,0.15,0.455357,1.0
1,accuracy,1,0.05,0.59375,0.875
1,accuracy,1,0.075,0.59375,0.96875
1,accuracy,1,0.1,0.625,0.96875
1,accuracy,1,0.15,0.59375,1.0
1,cross_entropy,1,0.05,1.662692,0.376906
1,cross_entropy,1,0.075,1.674881,0.355419
1,cross_entropy,1,0.1,1.668612,0.347467
