batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.433333,1.0
0,auc,0,0.075,0.45,1.0
0,auc,0,0.1,0.466667,1.0
0,auc,0,0.15,0.466667,1.0
0,accuracy,0,0.05,0.65625,0.9375
0,accuracy,0,0.075,0.65625,0.9375
0,accuracy,0,0.1,0.65625,0.9375
0,accuracy,0,0.15,0.65625,0.9375
0,cross_entropy,0,0.05,1.447786,0.363091
0,cross_entropy,0,0.075,1.47023,0.349596
0,cross_entropy,0,0.1,1.457296,0.355108
0,cross_entropy,0,0.15,1.441757,0.36072
0,auc,1,0.05,0.433333,1.0
0,auc,1,0.075,0.45,1.0
0,auc,1,0.1,0.466667,1.0
0,auc,1,0.15,0.466667,1.0
0,accuracy,1,0.05,0.65625,1.0
0,accuracy,1,0.075,0.65625,0.9375
0,accuracy,1,0.1,0.65625,0.9375
0,accuracy,1,0.15,0.65625,0.9375
0,cross_entropy,1,0.05,1.427735,0.362055
0,cross_entropy,1,0.075,1.396198,0.384672
0,cross_entropy,1,0.1,1.406003,0.376646
0,cross_entropy,1,0.15,1.433457,0.360604
1,auc,0,0.05,0.903226,1.0
1,auc,0,0.075,0.903226,1.0
1,auc,0,0.1,0.903226,1.0
1,auc,0,0.15,0.903226,1.0
1,accuracy,0,0.05,0.65625,1.0
1,accuracy,0,0.075,0.65625,0.96875
1,accuracy,0,0.1,0.65625,0.9375
1,accuracy,0,0.15,0.65625,1.0
1,cross_entropy,0,0.05,1.144436,0.400878
1,cross_entropy,0,0.075,1.126835,0.414905
1,cross_entropy,0,0.1,1.127081,0.423395
1,cross_entropy,0,0.15,1.102327,0.41195
1,auc,1,0.05,0.903226,1.0
1,auc,1,0.075,0.903226,1.0
1,auc,1,0.1,0.903226,1.0
1,auc,1,0.15,0.903226,1.0
1,accuracy,1,0.05,0.65625,0.9375
1,accuracy,1,0.075,0.65625,0.96875
1,accuracy,1,0.1,0.65625,0.96875
1,accuracy,1,0.15,0.65625,1.0
1,cross_entropy,1,0.05,1.092041,0.431975
1,cross_entropy,1,0.075,1.101985,0.42225
1,cross_entropy,1,0.1,1.108978,0.417733
1,cross_entropy,1,0.15,1.11642,0.403551
2,auc,0,0.05,0.333333,0.933333
2,auc,0,0.075,0.333333,0.933333
2,auc,0,0.1,0.35,0.933333
2,auc,0,0.15,0.35,0.983333
2,accuracy,0,0.05,0.75,0.875
2,accuracy,0,0.075,0.75,0.84375
2,accuracy,0,0.1,0.75,0.875
2,accuracy,0,0.15,0.75,0.90625
2,cross_entropy,0,0.05,1.179628,0.443774
2,cross_entropy,0,0.075,1.178372,0.456968
2,cross_entropy,0,0.1,1.17873,0.441961
2,cross_entropy,0,0.15,1.183273,0.407692
2,auc,1,0.05,0.35,0.933333
2,auc,1,0.075,0.35,0.966667
2,auc,1,0.1,0.35,0.966667
2,auc,1,0.15,0.366667,0.966667
2,accuracy,1,0.05,0.75,0.875
2,accuracy,1,0.075,0.75,0.84375
2,accuracy,1,0.1,0.75,0.875
2,accuracy,1,0.15,0.75,0.875
2,cross_entropy,1,0.05,1.186147,0.453309
2,cross_entropy,1,0.075,1.190321,0.431203
2,cross_entropy,1,0.1,1.188243,0.416951
2,cross_entropy,1,0.15,1.188696,0.415752
3,auc,0,0.05,0.483333,0.983333
3,auc,0,0.075,0.466667,0.983333
3,auc,0,0.1,0.466667,0.983333
3,auc,0,0.15,0.466667,0.983333
3,accuracy,0,0.05,0.59375,0.8125
3,accuracy,0,0.075,0.59375,0.90625
3,accuracy,0,0.1,0.59375,0.90625
3,accuracy,0,0.15,0.59375,0.875
3,cross_entropy,0,0.05,1.902834,0.406798
3,cross_entropy,0,0.075,1.902522,0.39208
3,cross_entropy,0,0.1,1.919873,0.385495
3,cross_entropy,0,0.15,1.908323,0.408518
3,auc,1,0.05,0.483333,0.966667
3,auc,1,0.075,0.466667,0.966667
3,auc,1,0.1,0.466667,0.983333
3,auc,1,0.15,0.466667,0.983333
3,accuracy,1,0.05,0.59375,0.84375
3,accuracy,1,0.075,0.59375,0.90625
3,accuracy,1,0.1,0.59375,0.90625
3,accuracy,1,0.15,0.59375,0.9375
3,cross_entropy,1,0.05,1.87267,0.417119
3,cross_entropy,1,0.075,1.885203,0.407891
3,cross_entropy,1,0.1,1.903873,0.404962
3,cross_entropy,1,0.15,1.923771,0.398444
4,auc,0,0.05,0.563218,0.988506
4,auc,0,0.075,0.563218,1.0
