batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.483333,1.0
0,auc,0,0.075,0.483333,1.0
0,auc,0,0.1,0.516667,1.0
0,auc,0,0.15,0.5,1.0
0,accuracy,0,0.05,0.5625,0.96875
0,accuracy,0,0.075,0.59375,0.96875
0,accuracy,0,0.1,0.625,0.96875
0,accuracy,0,0.15,0.59375,0.96875
0,cross_entropy,0,0.05,1.401378,0.387413
0,cross_entropy,0,0.075,1.408827,0.386346
0,cross_entropy,0,0.1,1.406927,0.385043
0,cross_entropy,0,0.15,1.424071,0.373055
0,auc,1,0.05,0.5,1.0
0,auc,1,0.075,0.516667,1.0
0,auc,1,0.1,0.516667,1.0
0,auc,1,0.15,0.5,1.0
0,accuracy,1,0.05,0.59375,0.96875
0,accuracy,1,0.075,0.625,0.96875
0,accuracy,1,0.1,0.625,0.96875
0,accuracy,1,0.15,0.59375,0.96875
0,cross_entropy,1,0.05,1.396518,0.383579
0,cross_entropy,1,0.075,1.401322,0.382142
0,cross_entropy,1,0.1,1.408553,0.380491
0,cross_entropy,1,0.15,1.41982,0.372469
1,auc,0,0.05,0.390805,1.0
1,auc,0,0.075,0.402299,1.0
1,auc,0,0.1,0.402299,1.0
1,auc,0,0.15,0.402299,1.0
1,accuracy,0,0.05,0.65625,1.0
1,accuracy,0,0.075,0.65625,1.0
1,accuracy,0,0.1,0.65625,1.0
1,accuracy,0,0.15,0.65625,1.0
1,cross_entropy,0,0.05,1.640736,0.351728
1,cross_entropy,0,0.075,1.643369,0.350182
1,cross_entropy,0,0.1,1.648206,0.36086
1,cross_entropy,0,0.15,1.647869,0.359898
1,auc,1,0.05,0.402299,1.0
1,auc,1,0.075,0.402299,1.0
1,auc,1,0.1,0.402299,1.0
1,auc,1,0.15,0.402299,1.0
1,accuracy,1,0.05,0.65625,1.0
1,accuracy,1,0.075,0.65625,1.0
1,accuracy,1,0.1,0.65625,1.0
1,accuracy,1,0.15,0.65625,1.0
1,cross_entropy,1,0.05,1.6496,0.35843
1,cross_entropy,1,0.075,1.646214,0.356149
1,cross_entropy,1,0.1,1.644217,0.363091
1,cross_entropy,1,0.15,1.645898,0.358624
2,auc,0,0.05,0.85,1.0
2,auc,0,0.075,0.833333,1.0
2,auc,0,0.1,0.85,1.0
2,auc,0,0.15,0.833333,1.0
2,accuracy,0,0.05,0.65625,1.0
2,accuracy,0,0.075,0.65625,1.0
2,accuracy,0,0.1,0.65625,1.0
2,accuracy,0,0.15,0.65625,1.0
2,cross_entropy,0,0.05,1.015435,0.353986
2,cross_entropy,0,0.075,1.030431,0.350965
2,cross_entropy,0,0.1,1.012372,0.348996
2,cross_entropy,0,0.15,1.035786,0.339939
2,auc,1,0.05,0.85,1.0
2,auc,1,0.075,0.85,1.0
2,auc,1,0.1,0.85,1.0
2,auc,1,0.15,0.833333,1.0
2,accuracy,1,0.05,0.65625,0.96875
2,accuracy,1,0.075,0.65625,1.0
2,accuracy,1,0.1,0.65625,1.0
2,accuracy,1,0.15,0.65625,1.0
2,cross_entropy,1,0.05,1.024519,0.347606
2,cross_entropy,1,0.075,1.032449,0.341064
