batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.716667,0.2
0,auc,0,0.075,0.633333,0.183333
0,auc,0,0.1,0.65,0.183333
0,auc,0,0.15,0.566667,0.2
0,accuracy,0,0.05,0.09375,0.84375
0,accuracy,0,0.075,0.0625,0.90625
0,accuracy,0,0.1,0.0625,0.9375
0,accuracy,0,0.15,0.0625,0.9375
0,cross_entropy,0,0.05,2.757724,0.686724
0,cross_entropy,0,0.075,3.638466,0.646041
0,cross_entropy,0,0.1,4.4667,0.666354
0,cross_entropy,0,0.15,5.677608,0.67531
0,auc,1,0.05,0.05,0.483333
0,auc,1,0.075,0.066667,0.45
0,auc,1,0.1,0.033333,0.533333
0,auc,1,0.15,0.033333,0.55
0,accuracy,1,0.05,0.9375,0.28125
0,accuracy,1,0.075,0.9375,0.21875
0,accuracy,1,0.1,0.9375,0.125
0,accuracy,1,0.15,0.9375,0.125
0,cross_entropy,1,0.05,0.492188,3.460108
0,cross_entropy,1,0.075,0.539018,3.959564
0,cross_entropy,1,0.1,0.608905,4.284811
0,cross_entropy,1,0.15,0.638649,4.762142
1,auc,0,0.05,0.516667,0.616667
1,auc,0,0.075,0.433333,0.716667
1,auc,0,0.1,0.45,0.733333
1,auc,0,0.15,0.483333,0.616667
1,accuracy,0,0.05,0.09375,0.84375
1,accuracy,0,0.075,0.09375,0.9375
1,accuracy,0,0.1,0.09375,0.9375
1,accuracy,0,0.15,0.09375,0.9375
1,cross_entropy,0,0.05,2.91514,0.42048
1,cross_entropy,0,0.075,3.791085,0.305295
1,cross_entropy,0,0.1,4.345467,0.355558
1,cross_entropy,0,0.15,5.144804,0.427493
1,auc,1,0.05,0.516667,0.5
1,auc,1,0.075,0.583333,0.516667
1,auc,1,0.1,0.533333,0.516667
1,auc,1,0.15,0.483333,0.55
1,accuracy,1,0.05,0.9375,0.125
1,accuracy,1,0.075,0.9375,0.09375
1,accuracy,1,0.1,0.9375,0.0625
1,accuracy,1,0.15,0.9375,0.0625
1,cross_entropy,1,0.05,0.28823,2.763797
1,cross_entropy,1,0.075,0.313926,3.342944
1,cross_entropy,1,0.1,0.357412,3.892796
1,cross_entropy,1,0.15,0.406227,4.578224
2,auc,0,0.05,0.612903,0.677419
2,auc,0,0.075,0.645161,0.677419
2,auc,0,0.1,0.483871,0.677419
2,auc,0,0.15,0.387097,0.806452
2,accuracy,0,0.05,0.15625,0.875
2,accuracy,0,0.075,0.03125,0.96875
2,accuracy,0,0.1,0.0625,0.96875
2,accuracy,0,0.15,0.03125,0.96875
2,cross_entropy,0,0.05,2.845862,0.346498
2,cross_entropy,0,0.075,3.798336,0.174888
2,cross_entropy,0,0.1,4.386226,0.147415
2,cross_entropy,0,0.15,5.735159,0.164394
2,auc,1,0.05,0.806452,0.612903
2,auc,1,0.075,0.387097,0.774194
2,auc,1,0.1,0.451613,0.774194
2,auc,1,0.15,0.387097,0.870968
2,accuracy,1,0.05,0.96875,0.25
2,accuracy,1,0.075,0.9375,0.15625
2,accuracy,1,0.1,0.96875,0.09375
2,accuracy,1,0.15,0.96875,0.0625
2,cross_entropy,1,0.05,0.134403,3.181391
2,cross_entropy,1,0.075,0.228967,4.037187
2,cross_entropy,1,0.1,0.213788,4.457959
2,cross_entropy,1,0.15,0.258328,5.136738
3,auc,0,0.05,0.866667,0.583333
3,auc,0,0.075,0.833333,0.516667
3,auc,0,0.1,0.8,0.566667
3,auc,0,0.15,0.833333,0.55
3,accuracy,0,0.05,0.0625,0.8125
3,accuracy,0,0.075,0.0625,0.9375
3,accuracy,0,0.1,0.0625,0.9375
3,accuracy,0,0.15,0.0625,0.9375
3,cross_entropy,0,0.05,2.361603,0.543691
3,cross_entropy,0,0.075,3.462385,0.360545
3,cross_entropy,0,0.1,4.163893,0.346303
3,cross_entropy,0,0.15,4.92751,0.433753
3,auc,1,0.05,0.8,0.6
3,auc,1,0.075,0.6,0.616667
3,auc,1,0.1,0.433333,0.633333
3,auc,1,0.15,0.5,0.583333
3,accuracy,1,0.05,0.96875,0.25
3,accuracy,1,0.075,0.9375,0.21875
3,accuracy,1,0.1,0.9375,0.1875
3,accuracy,1,0.15,0.9375,0.125
3,cross_entropy,1,0.05,0.163903,2.926452
3,cross_entropy,1,0.075,0.288733,3.484819
3,cross_entropy,1,0.1,0.350263,4.01676
3,cross_entropy,1,0.15,0.375687,4.580985
4,auc,0,0.05,0.724138,0.264368
4,auc,0,0.075,0.54023,0.333333
4,auc,0,0.1,0.471264,0.390805
4,auc,0,0.15,0.517241,0.402299
4,accuracy,0,0.05,0.1875,0.75
4,accuracy,0,0.075,0.15625,0.875
4,accuracy,0,0.1,0.15625,0.875
4,accuracy,0,0.15,0.15625,0.875
4,cross_entropy,0,0.05,2.721253,0.960106
4,cross_entropy,0,0.075,3.688606,0.84809
4,cross_entropy,0,0.1,4.229897,0.828589
4,cross_entropy,0,0.15,4.989725,0.878846
4,auc,1,0.05,0.83908,0.126437
4,auc,1,0.075,0.678161,0.206897
4,auc,1,0.1,0.597701,0.275862
4,auc,1,0.15,0.597701,0.287356
4,accuracy,1,0.05,0.90625,0.1875
4,accuracy,1,0.075,0.90625,0.09375
4,accuracy,1,0.1,0.90625,0.15625
4,accuracy,1,0.15,0.90625,0.15625
4,cross_entropy,1,0.05,0.29555,3.399994
4,cross_entropy,1,0.075,0.464236,4.012319
4,cross_entropy,1,0.1,0.539001,4.220403
4,cross_entropy,1,0.15,0.646775,4.828322
5,auc,0,0.05,0.733333,0.8
5,auc,0,0.075,0.916667,0.75
5,auc,0,0.1,0.933333,0.75
5,auc,0,0.15,0.866667,0.8
5,accuracy,0,0.05,0.125,0.9375
5,accuracy,0,0.075,0.125,0.9375
5,accuracy,0,0.1,0.125,0.9375
5,accuracy,0,0.15,0.0625,0.9375
5,cross_entropy,0,0.05,2.566903,0.211176
5,cross_entropy,0,0.075,3.500617,0.279219
5,cross_entropy,0,0.1,3.955523,0.291285
5,cross_entropy,0,0.15,5.078894,0.308571
5,auc,1,0.05,0.516667,0.966667
5,auc,1,0.075,0.5,0.983333
5,auc,1,0.1,0.45,1.0
5,auc,1,0.15,0.5,0.983333
5,accuracy,1,0.05,0.9375,0.3125
5,accuracy,1,0.075,0.9375,0.15625
5,accuracy,1,0.1,0.9375,0.125
5,accuracy,1,0.15,0.9375,0.09375
5,cross_entropy,1,0.05,0.341459,2.762542
5,cross_entropy,1,0.075,0.372161,3.53217
5,cross_entropy,1,0.1,0.409774,3.903253
5,cross_entropy,1,0.15,0.44504,4.639894
6,auc,0,0.05,0.0,0.0
6,auc,0,0.075,0.0,0.0
6,auc,0,0.1,0.0,0.0
6,auc,0,0.15,0.0,0.0
6,accuracy,0,0.05,0.0,0.846154
6,accuracy,0,0.075,0.0,1.0
6,accuracy,0,0.1,0.0,1.0
6,accuracy,0,0.15,0.0,1.0
6,cross_entropy,0,0.05,2.237343,0.235789
