batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.6875,1.0
0,accuracy,0,0.075,0.6875,1.0
0,accuracy,0,0.1,0.6875,1.0
0,accuracy,0,0.15,0.65625,1.0
0,cross_entropy,0,0.05,1.23645,0.374078
0,cross_entropy,0,0.075,1.240211,0.368607
0,cross_entropy,0,0.1,1.245236,0.364599
0,cross_entropy,0,0.15,1.244718,0.359411
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,0.6875,1.0
0,accuracy,1,0.075,0.6875,1.0
0,accuracy,1,0.1,0.65625,1.0
0,accuracy,1,0.15,0.65625,1.0
0,cross_entropy,1,0.05,1.244722,0.370989
0,cross_entropy,1,0.075,1.250221,0.36464
0,cross_entropy,1,0.1,1.247331,0.363802
0,cross_entropy,1,0.15,1.247173,0.359015
1,auc,0,0.05,0.344828,1.0
1,auc,0,0.075,0.356322,1.0
1,auc,0,0.1,0.344828,1.0
1,auc,0,0.15,0.333333,1.0
1,accuracy,0,0.05,0.40625,0.96875
1,accuracy,0,0.075,0.375,0.96875
1,accuracy,0,0.1,0.375,0.96875
1,accuracy,0,0.15,0.375,1.0
1,cross_entropy,0,0.05,1.837287,0.429256
1,cross_entropy,0,0.075,1.844569,0.423494
1,cross_entropy,0,0.1,1.852177,0.418298
1,cross_entropy,0,0.15,1.858393,0.410857
1,auc,1,0.05,0.333333,1.0
1,auc,1,0.075,0.344828,1.0
1,auc,1,0.1,0.333333,1.0
1,auc,1,0.15,0.333333,1.0
1,accuracy,1,0.05,0.375,0.96875
1,accuracy,1,0.075,0.375,0.96875
1,accuracy,1,0.1,0.375,0.96875
1,accuracy,1,0.15,0.375,0.96875
1,cross_entropy,1,0.05,1.849009,0.421831
1,cross_entropy,1,0.075,1.854403,0.417078
1,cross_entropy,1,0.1,1.857598,0.414962
1,cross_entropy,1,0.15,1.86564,0.407556
2,auc,0,0.05,0.225806,1.0
2,auc,0,0.075,0.290323,1.0
2,auc,0,0.1,0.258065,1.0
2,auc,0,0.15,0.258065,1.0
2,accuracy,0,0.05,0.65625,1.0
2,accuracy,0,0.075,0.65625,1.0
2,accuracy,0,0.1,0.65625,1.0
2,accuracy,0,0.15,0.65625,1.0
2,cross_entropy,0,0.05,1.295676,0.352975
