batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.322581,0.612903
0,auc,0,0.075,0.258065,0.677419
0,auc,0,0.1,0.354839,0.677419
0,auc,0,0.15,0.322581,0.903226
0,accuracy,0,0.05,0.59375,0.625
0,accuracy,0,0.075,0.5625,0.65625
0,accuracy,0,0.1,0.53125,0.65625
0,accuracy,0,0.15,0.5625,0.875
0,cross_entropy,0,0.05,0.792175,0.997651
0,cross_entropy,0,0.075,1.11398,0.744067
0,cross_entropy,0,0.1,1.117835,0.774831
0,cross_entropy,0,0.15,1.124351,0.570832
0,auc,1,0.05,0.354839,0.612903
0,auc,1,0.075,0.258065,0.903226
0,auc,1,0.1,0.387097,0.709677
0,auc,1,0.15,0.322581,0.935484
0,accuracy,1,0.05,0.59375,0.59375
0,accuracy,1,0.075,0.5625,0.59375
0,accuracy,1,0.1,0.5625,0.6875
0,accuracy,1,0.15,0.53125,0.78125
0,cross_entropy,1,0.05,0.825301,1.023146
0,cross_entropy,1,0.075,1.072377,0.758768
0,cross_entropy,1,0.1,1.106988,0.77821
0,cross_entropy,1,0.15,1.212826,0.471506
1,auc,0,0.05,0.83871,0.741935
1,auc,0,0.075,0.870968,0.677419
1,auc,0,0.1,0.903226,0.806452
1,auc,0,0.15,0.645161,1.0
1,accuracy,0,0.05,0.78125,0.71875
1,accuracy,0,0.075,0.75,0.65625
1,accuracy,0,0.1,0.71875,0.6875
1,accuracy,0,0.15,0.65625,0.9375
1,cross_entropy,0,0.05,1.436906,0.749184
1,cross_entropy,0,0.075,1.648901,0.644383
1,cross_entropy,0,0.1,1.718476,0.695627
1,cross_entropy,0,0.15,1.751455,0.395843
1,auc,1,0.05,0.741935,0.903226
1,auc,1,0.075,0.709677,0.774194
1,auc,1,0.1,0.806452,0.870968
1,auc,1,0.15,0.709677,1.0
1,accuracy,1,0.05,0.78125,0.6875
1,accuracy,1,0.075,0.71875,0.625
1,accuracy,1,0.1,0.6875,0.65625
1,accuracy,1,0.15,0.6875,0.84375
1,cross_entropy,1,0.05,1.542092,0.738163
1,cross_entropy,1,0.075,1.762935,0.647547
1,cross_entropy,1,0.1,1.781723,0.648093
