batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.054169,0.110464
0,cross_entropy,0,0.075,0.058806,0.104721
0,cross_entropy,0,0.1,0.063938,0.098164
0,cross_entropy,0,0.15,0.071841,0.09462
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.055226,0.113117
0,cross_entropy,1,0.075,0.055327,0.110531
0,cross_entropy,1,0.1,0.05874,0.106763
0,cross_entropy,1,0.15,0.06187,0.099879
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.073025,0.094815
1,cross_entropy,0,0.075,0.074677,0.093871
1,cross_entropy,0,0.1,0.073142,0.093401
1,cross_entropy,0,0.15,0.076231,0.086475
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.066711,0.092572
1,cross_entropy,1,0.075,0.063226,0.090623
1,cross_entropy,1,0.1,0.065878,0.088279
1,cross_entropy,1,0.15,0.066046,0.087053
2,auc,0,0.05,0.933333,0.883333
2,auc,0,0.075,0.733333,0.9
2,auc,0,0.1,0.783333,0.883333
2,auc,0,0.15,0.683333,0.883333
2,accuracy,0,0.05,0.9375,0.9375
2,accuracy,0,0.075,0.9375,0.9375
2,accuracy,0,0.1,0.9375,0.9375
2,accuracy,0,0.15,0.9375,0.9375
2,cross_entropy,0,0.05,0.189292,0.200971
