batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.774194
0,auc,0,0.075,1.0,0.935484
0,auc,0,0.1,1.0,0.967742
0,auc,0,0.15,0.903226,1.0
0,accuracy,0,0.05,0.96875,0.96875
0,accuracy,0,0.075,0.96875,0.96875
0,accuracy,0,0.1,0.96875,0.96875
0,accuracy,0,0.15,0.96875,0.96875
0,cross_entropy,0,0.05,0.102539,0.146644
0,cross_entropy,0,0.075,0.113124,0.134005
0,cross_entropy,0,0.1,0.116381,0.126809
0,cross_entropy,0,0.15,0.133519,0.119819
0,auc,1,0.05,0.935484,1.0
0,auc,1,0.075,0.967742,1.0
0,auc,1,0.1,0.935484,1.0
0,auc,1,0.15,0.935484,0.967742
0,accuracy,1,0.05,0.96875,0.96875
0,accuracy,1,0.075,0.96875,0.96875
0,accuracy,1,0.1,0.96875,0.96875
0,accuracy,1,0.15,0.96875,0.96875
0,cross_entropy,1,0.05,0.134994,0.130275
0,cross_entropy,1,0.075,0.136487,0.128813
0,cross_entropy,1,0.1,0.144106,0.119861
0,cross_entropy,1,0.15,0.143766,0.115464
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.081182,0.104434
1,cross_entropy,0,0.075,0.077026,0.10829
1,cross_entropy,0,0.1,0.072138,0.111989
1,cross_entropy,0,0.15,0.070204,0.118151
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.101495,0.090383
1,cross_entropy,1,0.075,0.10338,0.091653
1,cross_entropy,1,0.1,0.109341,0.091981
1,cross_entropy,1,0.15,0.115315,0.091578
2,auc,0,0.05,1.0,0.387097
2,auc,0,0.075,0.903226,0.677419
2,auc,0,0.1,0.83871,0.774194
2,auc,0,0.15,0.806452,0.774194
2,accuracy,0,0.05,0.96875,0.96875
2,accuracy,0,0.075,0.96875,0.96875
2,accuracy,0,0.1,0.96875,0.9375
2,accuracy,0,0.15,0.96875,0.9375
2,cross_entropy,0,0.05,0.105889,0.172897
2,cross_entropy,0,0.075,0.121142,0.16318
2,cross_entropy,0,0.1,0.12976,0.168246
2,cross_entropy,0,0.15,0.142723,0.170623
2,auc,1,0.05,0.935484,0.612903
2,auc,1,0.075,0.935484,0.612903
2,auc,1,0.1,1.0,0.612903
2,auc,1,0.15,0.83871,0.935484
2,accuracy,1,0.05,0.96875,0.96875
2,accuracy,1,0.075,0.96875,0.96875
2,accuracy,1,0.1,0.96875,0.96875
2,accuracy,1,0.15,0.96875,0.96875
2,cross_entropy,1,0.05,0.123243,0.161971
2,cross_entropy,1,0.075,0.123593,0.163911
2,cross_entropy,1,0.1,0.124135,0.161522
2,cross_entropy,1,0.15,0.143645,0.142944
3,auc,0,0.05,1.0,0.709677
3,auc,0,0.075,0.967742,0.870968
3,auc,0,0.1,0.967742,0.83871
3,auc,0,0.15,0.935484,0.935484
3,accuracy,0,0.05,0.96875,0.96875
3,accuracy,0,0.075,0.96875,0.96875
3,accuracy,0,0.1,0.96875,0.96875
3,accuracy,0,0.15,0.96875,0.96875
3,cross_entropy,0,0.05,0.109107,0.170908
3,cross_entropy,0,0.075,0.11735,0.163649
3,cross_entropy,0,0.1,0.11837,0.166213
3,cross_entropy,0,0.15,0.131394,0.159715
3,auc,1,0.05,0.967742,0.483871
3,auc,1,0.075,0.935484,0.612903
3,auc,1,0.1,0.903226,0.806452
3,auc,1,0.15,0.774194,0.870968
3,accuracy,1,0.05,0.9375,0.96875
3,accuracy,1,0.075,0.96875,0.96875
3,accuracy,1,0.1,0.96875,0.96875
3,accuracy,1,0.15,0.96875,0.96875
3,cross_entropy,1,0.05,0.150429,0.167022
3,cross_entropy,1,0.075,0.155271,0.165569
3,cross_entropy,1,0.1,0.158998,0.162757
3,cross_entropy,1,0.15,0.180679,0.146248
4,auc,0,0.05,1.0,0.967742
4,auc,0,0.075,1.0,0.967742
4,auc,0,0.1,1.0,1.0
4,auc,0,0.15,1.0,1.0
4,accuracy,0,0.05,1.0,0.96875
4,accuracy,0,0.075,1.0,0.96875
4,accuracy,0,0.1,0.96875,0.96875
4,accuracy,0,0.15,0.96875,0.96875
4,cross_entropy,0,0.05,0.067236,0.136555
4,cross_entropy,0,0.075,0.07298,0.130445
4,cross_entropy,0,0.1,0.076985,0.124098
4,cross_entropy,0,0.15,0.090974,0.118257
4,auc,1,0.05,1.0,1.0
4,auc,1,0.075,1.0,1.0
4,auc,1,0.1,1.0,1.0
4,auc,1,0.15,1.0,1.0
4,accuracy,1,0.05,1.0,0.96875
4,accuracy,1,0.075,1.0,0.96875
4,accuracy,1,0.1,1.0,0.96875
4,accuracy,1,0.15,0.96875,0.96875
4,cross_entropy,1,0.05,0.084135,0.124683
4,cross_entropy,1,0.075,0.082851,0.118383
4,cross_entropy,1,0.1,0.089261,0.10722
4,cross_entropy,1,0.15,0.106483,0.093001
5,auc,0,0.05,0.0,0.0
5,auc,0,0.075,0.0,0.0
5,auc,0,0.1,0.0,0.0
5,auc,0,0.15,0.0,0.0
5,accuracy,0,0.05,1.0,1.0
5,accuracy,0,0.075,1.0,1.0
5,accuracy,0,0.1,1.0,1.0
5,accuracy,0,0.15,1.0,1.0
5,cross_entropy,0,0.05,0.084233,0.117743
5,cross_entropy,0,0.075,0.095869,0.105661
5,cross_entropy,0,0.1,0.094398,0.103794
5,cross_entropy,0,0.15,0.103215,0.095799
5,auc,1,0.05,0.0,0.0
5,auc,1,0.075,0.0,0.0
5,auc,1,0.1,0.0,0.0
5,auc,1,0.15,0.0,0.0
5,accuracy,1,0.05,1.0,1.0
5,accuracy,1,0.075,1.0,1.0
5,accuracy,1,0.1,1.0,1.0
5,accuracy,1,0.15,1.0,1.0
5,cross_entropy,1,0.05,0.101454,0.104119
5,cross_entropy,1,0.075,0.106727,0.099371
5,cross_entropy,1,0.1,0.097921,0.096421
5,cross_entropy,1,0.15,0.098485,0.093339
6,auc,0,0.05,0.0,0.0
6,auc,0,0.075,0.0,0.0
6,auc,0,0.1,0.0,0.0
6,auc,0,0.15,0.0,0.0
6,accuracy,0,0.05,1.0,1.0
6,accuracy,0,0.075,1.0,1.0
6,accuracy,0,0.1,1.0,1.0
6,accuracy,0,0.15,1.0,1.0
6,cross_entropy,0,0.05,0.066804,0.091985
6,cross_entropy,0,0.075,0.064484,0.093076
6,cross_entropy,0,0.1,0.067595,0.10101
6,cross_entropy,0,0.15,0.086208,0.093925
6,auc,1,0.05,0.0,0.0
6,auc,1,0.075,0.0,0.0
6,auc,1,0.1,0.0,0.0
6,auc,1,0.15,0.0,0.0
6,accuracy,1,0.05,1.0,1.0
6,accuracy,1,0.075,1.0,1.0
6,accuracy,1,0.1,1.0,1.0
6,accuracy,1,0.15,1.0,1.0
6,cross_entropy,1,0.05,0.12186,0.072658
6,cross_entropy,1,0.075,0.122756,0.07542
6,cross_entropy,1,0.1,0.128983,0.067765
6,cross_entropy,1,0.15,0.129369,0.070671
