batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.946429,0.339286
0,auc,0,0.075,0.955357,0.366071
0,auc,0,0.1,0.919643,0.366071
0,auc,0,0.15,0.928571,0.357143
0,accuracy,0,0.05,0.65625,0.78125
0,accuracy,0,0.075,0.5,0.78125
0,accuracy,0,0.1,0.40625,0.78125
0,accuracy,0,0.15,0.375,0.8125
0,cross_entropy,0,0.05,0.860781,0.608327
0,cross_entropy,0,0.075,1.040897,0.620488
0,cross_entropy,0,0.1,1.282699,0.621367
0,cross_entropy,0,0.15,1.546235,0.656922
0,auc,1,0.05,0.785714,0.571429
0,auc,1,0.075,0.767857,0.589286
0,auc,1,0.1,0.75,0.607143
0,auc,1,0.15,0.741071,0.598214
0,accuracy,1,0.05,0.90625,0.21875
0,accuracy,1,0.075,0.90625,0.15625
0,accuracy,1,0.1,0.90625,0.125
0,accuracy,1,0.15,0.875,0.15625
0,cross_entropy,1,0.05,0.321108,1.338802
0,cross_entropy,1,0.075,0.355718,1.436748
0,cross_entropy,1,0.1,0.390108,1.510502
0,cross_entropy,1,0.15,0.453189,1.607869
1,auc,0,0.05,0.88,0.657143
1,auc,0,0.075,0.88,0.64
1,auc,0,0.1,0.874286,0.68
1,auc,0,0.15,0.874286,0.702857
1,accuracy,0,0.05,0.75,0.75
1,accuracy,0,0.075,0.65625,0.78125
1,accuracy,0,0.1,0.53125,0.78125
1,accuracy,0,0.15,0.40625,0.71875
1,cross_entropy,0,0.05,0.787906,0.553311
1,cross_entropy,0,0.075,0.958842,0.562519
1,cross_entropy,0,0.1,1.055279,0.543569
1,cross_entropy,0,0.15,1.263621,0.55495
1,auc,1,0.05,0.954286,0.668571
1,auc,1,0.075,0.902857,0.651429
1,auc,1,0.1,0.902857,0.651429
1,auc,1,0.15,0.834286,0.657143
1,accuracy,1,0.05,0.78125,0.4375
1,accuracy,1,0.075,0.78125,0.375
1,accuracy,1,0.1,0.78125,0.375
1,accuracy,1,0.15,0.78125,0.28125
1,cross_entropy,1,0.05,0.336731,1.128156
1,cross_entropy,1,0.075,0.37217,1.26069
1,cross_entropy,1,0.1,0.395942,1.360539
1,cross_entropy,1,0.15,0.440588,1.543094
2,auc,0,0.05,0.927083,0.578125
2,auc,0,0.075,0.932292,0.53125
2,auc,0,0.1,0.921875,0.536458
2,auc,0,0.15,0.916667,0.5
2,accuracy,0,0.05,0.59375,0.6875
2,accuracy,0,0.075,0.5,0.6875
2,accuracy,0,0.1,0.46875,0.75
2,accuracy,0,0.15,0.34375,0.71875
2,cross_entropy,0,0.05,0.648177,0.680566
2,cross_entropy,0,0.075,0.770552,0.707567
2,cross_entropy,0,0.1,0.907017,0.757859
2,cross_entropy,0,0.15,1.092259,0.854883
2,auc,1,0.05,0.848958,0.625
2,auc,1,0.075,0.833333,0.645833
2,auc,1,0.1,0.78125,0.645833
2,auc,1,0.15,0.817708,0.640625
2,accuracy,1,0.05,0.75,0.375
2,accuracy,1,0.075,0.75,0.375
2,accuracy,1,0.1,0.75,0.375
2,accuracy,1,0.15,0.75,0.34375
2,cross_entropy,1,0.05,0.498428,1.230303
2,cross_entropy,1,0.075,0.533851,1.427664
2,cross_entropy,1,0.1,0.602853,1.579512
2,cross_entropy,1,0.15,0.627289,1.826288
3,auc,0,0.05,0.994286,0.52
3,auc,0,0.075,0.977143,0.508571
3,auc,0,0.1,0.982857,0.48
3,auc,0,0.15,0.965714,0.485714
3,accuracy,0,0.05,0.53125,0.65625
3,accuracy,0,0.075,0.46875,0.625
3,accuracy,0,0.1,0.53125,0.65625
3,accuracy,0,0.15,0.25,0.65625
