batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.859903,0.487923
0,auc,0,0.075,0.772947,0.57971
0,auc,0,0.1,0.748792,0.628019
0,auc,0,0.15,0.693237,0.695652
0,accuracy,0,0.05,0.28125,0.71875
0,accuracy,0,0.075,0.28125,0.71875
0,accuracy,0,0.1,0.28125,0.71875
0,accuracy,0,0.15,0.28125,0.71875
0,cross_entropy,0,0.05,5.891791,1.706613
0,cross_entropy,0,0.075,7.367195,2.157078
0,cross_entropy,0,0.1,8.349665,2.540232
0,cross_entropy,0,0.15,9.588214,3.09583
0,auc,1,0.05,0.743961,0.434783
0,auc,1,0.075,0.7343,0.458937
0,auc,1,0.1,0.700483,0.439614
0,auc,1,0.15,0.748792,0.442029
0,accuracy,1,0.05,0.71875,0.28125
0,accuracy,1,0.075,0.71875,0.28125
0,accuracy,1,0.1,0.71875,0.28125
0,accuracy,1,0.15,0.71875,0.28125
0,cross_entropy,1,0.05,2.372952,4.598112
0,cross_entropy,1,0.075,2.909138,5.789244
0,cross_entropy,1,0.1,3.290538,6.734373
0,cross_entropy,1,0.15,3.711478,8.161948
1,auc,0,0.05,0.839286,0.794643
1,auc,0,0.075,0.857143,0.75
1,auc,0,0.1,0.866071,0.794643
1,auc,0,0.15,0.848214,0.785714
1,accuracy,0,0.05,0.15625,0.875
1,accuracy,0,0.075,0.15625,0.875
1,accuracy,0,0.1,0.15625,0.875
1,accuracy,0,0.15,0.15625,0.875
1,cross_entropy,0,0.05,6.584423,0.672486
1,cross_entropy,0,0.075,8.262547,0.893646
1,cross_entropy,0,0.1,9.357083,1.055547
1,cross_entropy,0,0.15,10.862125,1.305146
1,auc,1,0.05,0.955357,0.8125
1,auc,1,0.075,0.875,0.8125
1,auc,1,0.1,0.892857,0.857143
1,auc,1,0.15,0.839286,0.848214
1,accuracy,1,0.05,0.875,0.125
1,accuracy,1,0.075,0.875,0.125
1,accuracy,1,0.1,0.875,0.125
1,accuracy,1,0.15,0.875,0.125
1,cross_entropy,1,0.05,1.016225,5.570719
1,cross_entropy,1,0.075,1.245346,6.983083
1,cross_entropy,1,0.1,1.403203,8.038893
1,cross_entropy,1,0.15,1.602561,9.653639
2,auc,0,0.05,0.918182,0.763636
2,auc,0,0.075,0.909091,0.781818
2,auc,0,0.1,0.922727,0.795455
2,auc,0,0.15,0.904545,0.795455
2,accuracy,0,0.05,0.3125,0.6875
2,accuracy,0,0.075,0.3125,0.6875
2,accuracy,0,0.1,0.3125,0.6875
2,accuracy,0,0.15,0.3125,0.6875
2,cross_entropy,0,0.05,5.111099,1.835693
2,cross_entropy,0,0.075,6.489532,2.374004
2,cross_entropy,0,0.1,7.461986,2.80901
2,cross_entropy,0,0.15,8.695183,3.468458
2,auc,1,0.05,0.954545,0.772727
2,auc,1,0.075,0.931818,0.85
2,auc,1,0.1,0.931818,0.868182
2,auc,1,0.15,0.886364,0.888636
2,accuracy,1,0.05,0.6875,0.3125
2,accuracy,1,0.075,0.6875,0.3125
2,accuracy,1,0.1,0.6875,0.3125
2,accuracy,1,0.15,0.6875,0.3125
2,cross_entropy,1,0.05,2.565322,4.14743
2,cross_entropy,1,0.075,3.17634,5.298968
2,cross_entropy,1,0.1,3.599127,6.179102
2,cross_entropy,1,0.15,4.140441,7.497264
3,auc,0,0.05,0.904545,0.722727
3,auc,0,0.075,0.863636,0.777273
3,auc,0,0.1,0.861364,0.809091
3,auc,0,0.15,0.831818,0.854545
3,accuracy,0,0.05,0.34375,0.6875
3,accuracy,0,0.075,0.34375,0.6875
3,accuracy,0,0.1,0.34375,0.6875
3,accuracy,0,0.15,0.34375,0.6875
3,cross_entropy,0,0.05,4.900153,1.820691
3,cross_entropy,0,0.075,6.201347,2.325091
3,cross_entropy,0,0.1,7.10184,2.726244
3,cross_entropy,0,0.15,8.303632,3.332122
3,auc,1,0.05,0.959091,0.827273
3,auc,1,0.075,0.945455,0.845455
3,auc,1,0.1,0.940909,0.831818
3,auc,1,0.15,0.940909,0.804545
3,accuracy,1,0.05,0.6875,0.3125
3,accuracy,1,0.075,0.6875,0.3125
3,accuracy,1,0.1,0.6875,0.3125
3,accuracy,1,0.15,0.6875,0.3125
3,cross_entropy,1,0.05,2.497284,4.01366
3,cross_entropy,1,0.075,3.073958,5.178001
3,cross_entropy,1,0.1,3.457291,6.048791
3,cross_entropy,1,0.15,3.99189,7.342326
4,auc,0,0.05,0.914286,0.565714
4,auc,0,0.075,0.914286,0.622857
4,auc,0,0.1,0.92,0.674286
4,auc,0,0.15,0.88,0.662857
4,accuracy,0,0.05,0.21875,0.78125
4,accuracy,0,0.075,0.21875,0.78125
4,accuracy,0,0.1,0.21875,0.78125
4,accuracy,0,0.15,0.21875,0.78125
4,cross_entropy,0,0.05,5.517769,1.332942
4,cross_entropy,0,0.075,7.125501,1.70407
4,cross_entropy,0,0.1,8.187435,1.989171
4,cross_entropy,0,0.15,9.724313,2.463579
4,auc,1,0.05,0.914286,0.68
4,auc,1,0.075,0.868571,0.742857
4,auc,1,0.1,0.908571,0.731429
4,auc,1,0.15,0.862857,0.782857
4,accuracy,1,0.05,0.78125,0.21875
4,accuracy,1,0.075,0.78125,0.21875
4,accuracy,1,0.1,0.78125,0.21875
4,accuracy,1,0.15,0.78125,0.21875
4,cross_entropy,1,0.05,1.831573,4.692554
4,cross_entropy,1,0.075,2.231163,5.957797
4,cross_entropy,1,0.1,2.515131,6.970183
4,cross_entropy,1,0.15,2.882962,8.458093
5,auc,0,0.05,0.903846,0.589744
5,auc,0,0.075,0.903846,0.608974
5,auc,0,0.1,0.916667,0.621795
5,auc,0,0.15,0.88782,0.673077
5,accuracy,0,0.05,0.1875,0.8125
5,accuracy,0,0.075,0.1875,0.8125
5,accuracy,0,0.1,0.1875,0.8125
5,accuracy,0,0.15,0.1875,0.8125
5,cross_entropy,0,0.05,6.1841,1.126252
5,cross_entropy,0,0.075,7.799425,1.451289
5,cross_entropy,0,0.1,8.873393,1.708298
5,cross_entropy,0,0.15,10.309225,2.083318
5,auc,1,0.05,0.833333,0.634615
5,auc,1,0.075,0.846154,0.711538
5,auc,1,0.1,0.814103,0.74359
5,auc,1,0.15,0.794872,0.737179
5,accuracy,1,0.05,0.8125,0.1875
5,accuracy,1,0.075,0.8125,0.1875
5,accuracy,1,0.1,0.8125,0.1875
5,accuracy,1,0.15,0.8125,0.1875
5,cross_entropy,1,0.05,1.566627,4.924028
5,cross_entropy,1,0.075,1.902305,6.227257
5,cross_entropy,1,0.1,2.162328,7.250495
5,cross_entropy,1,0.15,2.490641,8.814617
6,auc,0,0.05,1.0,0.666667
6,auc,0,0.075,1.0,0.75
6,auc,0,0.1,0.916667,0.666667
6,auc,0,0.15,0.75,0.75
