batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.875,0.729167
0,auc,0,0.075,0.870833,0.754167
0,auc,0,0.1,0.841667,0.791667
0,auc,0,0.15,0.825,0.808333
0,accuracy,0,0.05,0.75,0.65625
0,accuracy,0,0.075,0.84375,0.59375
0,accuracy,0,0.1,0.8125,0.65625
0,accuracy,0,0.15,0.71875,0.59375
0,cross_entropy,0,0.05,0.462094,0.673639
0,cross_entropy,0,0.075,0.490381,0.664736
0,cross_entropy,0,0.1,0.538937,0.628889
0,cross_entropy,0,0.15,0.574388,0.623239
0,auc,1,0.05,0.916667,0.666667
0,auc,1,0.075,0.895833,0.716667
0,auc,1,0.1,0.883333,0.733333
0,auc,1,0.15,0.8375,0.8125
0,accuracy,1,0.05,0.78125,0.59375
0,accuracy,1,0.075,0.8125,0.59375
0,accuracy,1,0.1,0.8125,0.59375
0,accuracy,1,0.15,0.78125,0.625
0,cross_entropy,1,0.05,0.44124,0.690438
0,cross_entropy,1,0.075,0.470948,0.659866
0,cross_entropy,1,0.1,0.497705,0.652363
0,cross_entropy,1,0.15,0.526666,0.618703
1,auc,0,0.05,0.841667,0.745833
1,auc,0,0.075,0.770833,0.7625
1,auc,0,0.1,0.745833,0.779167
1,auc,0,0.15,0.5875,0.870833
1,accuracy,0,0.05,0.75,0.65625
1,accuracy,0,0.075,0.6875,0.59375
1,accuracy,0,0.1,0.6875,0.6875
1,accuracy,0,0.15,0.65625,0.6875
1,cross_entropy,0,0.05,0.546246,0.605533
1,cross_entropy,0,0.075,0.592309,0.588808
1,cross_entropy,0,0.1,0.636203,0.570363
1,cross_entropy,0,0.15,0.752294,0.533257
1,auc,1,0.05,0.85,0.754167
1,auc,1,0.075,0.779167,0.795833
1,auc,1,0.1,0.633333,0.841667
1,auc,1,0.15,0.5375,0.870833
1,accuracy,1,0.05,0.71875,0.65625
1,accuracy,1,0.075,0.625,0.6875
1,accuracy,1,0.1,0.65625,0.75
1,accuracy,1,0.15,0.53125,0.78125
1,cross_entropy,1,0.05,0.539617,0.607875
1,cross_entropy,1,0.075,0.645103,0.566532
1,cross_entropy,1,0.1,0.710773,0.536618
1,cross_entropy,1,0.15,0.830538,0.520788
2,auc,0,0.05,0.898039,0.654902
2,auc,0,0.075,0.827451,0.690196
2,auc,0,0.1,0.803922,0.721569
2,auc,0,0.15,0.760784,0.764706
2,accuracy,0,0.05,0.71875,0.5625
2,accuracy,0,0.075,0.71875,0.59375
2,accuracy,0,0.1,0.71875,0.65625
2,accuracy,0,0.15,0.65625,0.625
2,cross_entropy,0,0.05,0.470247,0.71861
2,cross_entropy,0,0.075,0.520834,0.68387
2,cross_entropy,0,0.1,0.538895,0.662399
2,cross_entropy,0,0.15,0.614734,0.627189
2,auc,1,0.05,0.815686,0.686275
2,auc,1,0.075,0.8,0.721569
2,auc,1,0.1,0.788235,0.721569
2,auc,1,0.15,0.8,0.74902
2,accuracy,1,0.05,0.6875,0.625
2,accuracy,1,0.075,0.6875,0.65625
2,accuracy,1,0.1,0.6875,0.59375
2,accuracy,1,0.15,0.625,0.6875
2,cross_entropy,1,0.05,0.526432,0.671861
2,cross_entropy,1,0.075,0.549435,0.649612
2,cross_entropy,1,0.1,0.578463,0.647472
2,cross_entropy,1,0.15,0.595618,0.628191
3,auc,0,0.05,0.827273,0.6
3,auc,0,0.075,0.822727,0.609091
3,auc,0,0.1,0.795455,0.568182
3,auc,0,0.15,0.777273,0.545455
3,accuracy,0,0.05,0.71875,0.53125
3,accuracy,0,0.075,0.65625,0.53125
3,accuracy,0,0.1,0.65625,0.4375
3,accuracy,0,0.15,0.53125,0.4375
3,cross_entropy,0,0.05,0.528205,0.816221
3,cross_entropy,0,0.075,0.543816,0.788214
3,cross_entropy,0,0.1,0.579275,0.780453
3,cross_entropy,0,0.15,0.657297,0.775199
3,auc,1,0.05,0.881818,0.586364
3,auc,1,0.075,0.854545,0.631818
3,auc,1,0.1,0.804545,0.659091
3,auc,1,0.15,0.690909,0.690909
3,accuracy,1,0.05,0.78125,0.5
3,accuracy,1,0.075,0.71875,0.5
3,accuracy,1,0.1,0.59375,0.4375
3,accuracy,1,0.15,0.46875,0.4375
3,cross_entropy,1,0.05,0.487103,0.799771
3,cross_entropy,1,0.075,0.51648,0.781784
3,cross_entropy,1,0.1,0.583753,0.773423
3,cross_entropy,1,0.15,0.712987,0.734017
4,auc,0,0.05,0.896825,0.742064
4,auc,0,0.075,0.936508,0.730159
4,auc,0,0.1,0.857143,0.75
4,auc,0,0.15,0.825397,0.77381
4,accuracy,0,0.05,0.78125,0.625
4,accuracy,0,0.075,0.84375,0.5625
4,accuracy,0,0.1,0.78125,0.625
4,accuracy,0,0.15,0.6875,0.6875
4,cross_entropy,0,0.05,0.406623,0.632154
4,cross_entropy,0,0.075,0.427375,0.622453
4,cross_entropy,0,0.1,0.487453,0.598983
4,cross_entropy,0,0.15,0.530778,0.573769
4,auc,1,0.05,0.944444,0.65873
4,auc,1,0.075,0.928571,0.714286
4,auc,1,0.1,0.873016,0.753968
4,auc,1,0.15,0.813492,0.785714
4,accuracy,1,0.05,0.84375,0.625
4,accuracy,1,0.075,0.8125,0.59375
4,accuracy,1,0.1,0.78125,0.625
4,accuracy,1,0.15,0.6875,0.71875
4,cross_entropy,1,0.05,0.354017,0.685443
4,cross_entropy,1,0.075,0.39496,0.642253
4,cross_entropy,1,0.1,0.471316,0.600205
4,cross_entropy,1,0.15,0.551575,0.555329
5,auc,0,0.05,0.8625,0.779167
5,auc,0,0.075,0.870833,0.783333
5,auc,0,0.1,0.766667,0.770833
5,auc,0,0.15,0.720833,0.775
5,accuracy,0,0.05,0.78125,0.59375
5,accuracy,0,0.075,0.71875,0.53125
5,accuracy,0,0.1,0.65625,0.5625
5,accuracy,0,0.15,0.5625,0.5625
5,cross_entropy,0,0.05,0.512124,0.665054
5,cross_entropy,0,0.075,0.524136,0.656519
5,cross_entropy,0,0.1,0.620278,0.634576
5,cross_entropy,0,0.15,0.681667,0.620959
5,auc,1,0.05,0.833333,0.766667
5,auc,1,0.075,0.779167,0.795833
5,auc,1,0.1,0.795833,0.7875
5,auc,1,0.15,0.725,0.770833
5,accuracy,1,0.05,0.75,0.625
5,accuracy,1,0.075,0.75,0.65625
5,accuracy,1,0.1,0.71875,0.625
5,accuracy,1,0.15,0.5,0.625
5,cross_entropy,1,0.05,0.543989,0.660145
5,cross_entropy,1,0.075,0.571271,0.660166
5,cross_entropy,1,0.1,0.59391,0.630028
5,cross_entropy,1,0.15,0.676198,0.632776
6,auc,0,0.05,1.0,0.636364
6,auc,0,0.075,0.954545,0.636364
6,auc,0,0.1,0.727273,0.681818
6,auc,0,0.15,0.454545,0.909091
