batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.813636,0.754545
0,auc,0,0.075,0.786364,0.745455
0,auc,0,0.1,0.763636,0.781818
0,auc,0,0.15,0.631818,0.822727
0,accuracy,0,0.05,0.34375,0.625
0,accuracy,0,0.075,0.34375,0.71875
0,accuracy,0,0.1,0.3125,0.75
0,accuracy,0,0.15,0.3125,0.71875
0,cross_entropy,0,0.05,1.302007,0.533254
0,cross_entropy,0,0.075,1.562765,0.53883
0,cross_entropy,0,0.1,1.750496,0.522937
0,cross_entropy,0,0.15,2.051504,0.504312
0,auc,1,0.05,0.954545,0.604545
0,auc,1,0.075,0.918182,0.581818
0,auc,1,0.1,0.909091,0.590909
0,auc,1,0.15,0.936364,0.568182
0,accuracy,1,0.05,0.78125,0.375
0,accuracy,1,0.075,0.75,0.34375
0,accuracy,1,0.1,0.75,0.34375
0,accuracy,1,0.15,0.6875,0.375
0,cross_entropy,1,0.05,0.42814,1.262729
0,cross_entropy,1,0.075,0.490812,1.351335
0,cross_entropy,1,0.1,0.480053,1.422589
0,cross_entropy,1,0.15,0.480181,1.553304
1,auc,0,0.05,0.874494,0.348178
1,auc,0,0.075,0.825911,0.360324
1,auc,0,0.1,0.793522,0.388664
1,auc,0,0.15,0.757085,0.380567
1,accuracy,0,0.05,0.46875,0.40625
1,accuracy,0,0.075,0.4375,0.5
1,accuracy,0,0.1,0.40625,0.53125
1,accuracy,0,0.15,0.40625,0.5625
1,cross_entropy,0,0.05,0.97564,0.942435
1,cross_entropy,0,0.075,1.194125,0.923665
1,cross_entropy,0,0.1,1.394004,0.930796
1,cross_entropy,0,0.15,1.582162,0.943623
1,auc,1,0.05,0.712551,0.51417
1,auc,1,0.075,0.700405,0.48583
1,auc,1,0.1,0.696356,0.506073
1,auc,1,0.15,0.639676,0.522267
1,accuracy,1,0.05,0.59375,0.4375
1,accuracy,1,0.075,0.59375,0.40625
1,accuracy,1,0.1,0.59375,0.40625
1,accuracy,1,0.15,0.59375,0.40625
1,cross_entropy,1,0.05,0.887938,1.217349
1,cross_entropy,1,0.075,0.932821,1.307371
1,cross_entropy,1,0.1,0.970388,1.375918
1,cross_entropy,1,0.15,1.007703,1.44157
2,auc,0,0.05,0.947368,0.441296
2,auc,0,0.075,0.947368,0.441296
2,auc,0,0.1,0.939271,0.42915
2,auc,0,0.15,0.927126,0.42915
2,accuracy,0,0.05,0.5625,0.5625
2,accuracy,0,0.075,0.5,0.5
2,accuracy,0,0.1,0.4375,0.5
2,accuracy,0,0.15,0.40625,0.46875
2,cross_entropy,0,0.05,0.83397,0.827377
2,cross_entropy,0,0.075,1.048443,0.856712
2,cross_entropy,0,0.1,1.212876,0.860796
2,cross_entropy,0,0.15,1.415941,0.887535
2,auc,1,0.05,0.910931,0.688259
2,auc,1,0.075,0.821862,0.700405
2,auc,1,0.1,0.748988,0.728745
2,auc,1,0.15,0.716599,0.740891
2,accuracy,1,0.05,0.65625,0.40625
2,accuracy,1,0.075,0.59375,0.40625
2,accuracy,1,0.1,0.59375,0.40625
2,accuracy,1,0.15,0.59375,0.40625
2,cross_entropy,1,0.05,0.576969,1.070346
2,cross_entropy,1,0.075,0.736315,1.179774
2,cross_entropy,1,0.1,0.815882,1.238043
