batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.645022,0.722944
0,auc,0,0.075,0.536797,0.861472
0,auc,0,0.1,0.445887,0.891775
0,auc,0,0.15,0.376623,0.930736
0,accuracy,0,0.05,0.5,0.65625
0,accuracy,0,0.075,0.4375,0.75
0,accuracy,0,0.1,0.40625,0.8125
0,accuracy,0,0.15,0.375,0.8125
0,cross_entropy,0,0.05,1.143045,0.605523
0,cross_entropy,0,0.075,1.280044,0.502939
0,cross_entropy,0,0.1,1.327549,0.469539
0,cross_entropy,0,0.15,1.404216,0.414465
0,auc,1,0.05,0.575758,0.766234
0,auc,1,0.075,0.493506,0.805195
0,auc,1,0.1,0.424242,0.852814
0,auc,1,0.15,0.363636,0.865801
0,accuracy,1,0.05,0.4375,0.625
0,accuracy,1,0.075,0.375,0.71875
0,accuracy,1,0.1,0.375,0.75
0,accuracy,1,0.15,0.28125,0.8125
0,cross_entropy,1,0.05,1.143311,0.574497
0,cross_entropy,1,0.075,1.28725,0.524663
0,cross_entropy,1,0.1,1.355568,0.482011
0,cross_entropy,1,0.15,1.421241,0.452258
1,auc,0,0.05,0.592157,0.898039
1,auc,0,0.075,0.541176,0.898039
1,auc,0,0.1,0.498039,0.894118
1,auc,0,0.15,0.443137,0.901961
1,accuracy,0,0.05,0.53125,0.78125
1,accuracy,0,0.075,0.53125,0.84375
1,accuracy,0,0.1,0.5,0.84375
1,accuracy,0,0.15,0.53125,0.84375
1,cross_entropy,0,0.05,0.981314,0.433313
1,cross_entropy,0,0.075,1.046687,0.419225
1,cross_entropy,0,0.1,1.100601,0.425931
1,cross_entropy,0,0.15,1.097586,0.410401
1,auc,1,0.05,0.678431,0.847059
1,auc,1,0.075,0.631373,0.854902
1,auc,1,0.1,0.6,0.898039
1,auc,1,0.15,0.498039,0.929412
1,accuracy,1,0.05,0.53125,0.78125
1,accuracy,1,0.075,0.53125,0.78125
1,accuracy,1,0.1,0.53125,0.8125
1,accuracy,1,0.15,0.53125,0.78125
1,cross_entropy,1,0.05,0.879106,0.500105
1,cross_entropy,1,0.075,0.951454,0.479194
1,cross_entropy,1,0.1,1.010825,0.439042
1,cross_entropy,1,0.15,0.989305,0.372355
2,auc,0,0.05,0.583333,0.825
2,auc,0,0.075,0.520833,0.858333
2,auc,0,0.1,0.533333,0.879167
2,auc,0,0.15,0.6,0.916667
2,accuracy,0,0.05,0.59375,0.71875
2,accuracy,0,0.075,0.5625,0.78125
2,accuracy,0,0.1,0.5625,0.8125
2,accuracy,0,0.15,0.53125,0.78125
2,cross_entropy,0,0.05,0.939325,0.508101
2,cross_entropy,0,0.075,1.027997,0.475189
2,cross_entropy,0,0.1,1.066785,0.45204
2,cross_entropy,0,0.15,0.981963,0.421467
2,auc,1,0.05,0.541667,0.879167
2,auc,1,0.075,0.545833,0.904167
2,auc,1,0.1,0.525,0.945833
2,auc,1,0.15,0.504167,0.979167
2,accuracy,1,0.05,0.4375,0.71875
2,accuracy,1,0.075,0.53125,0.84375
2,accuracy,1,0.1,0.46875,0.875
2,accuracy,1,0.15,0.4375,0.90625
2,cross_entropy,1,0.05,1.085547,0.472933
2,cross_entropy,1,0.075,1.068644,0.428576
2,cross_entropy,1,0.1,1.014454,0.420005
2,cross_entropy,1,0.15,1.047402,0.378713
3,auc,0,0.05,0.522727,0.822727
3,auc,0,0.075,0.454545,0.859091
3,auc,0,0.1,0.363636,0.895455
3,auc,0,0.15,0.327273,0.922727
3,accuracy,0,0.05,0.28125,0.71875
3,accuracy,0,0.075,0.28125,0.78125
3,accuracy,0,0.1,0.34375,0.8125
3,accuracy,0,0.15,0.34375,0.8125
3,cross_entropy,0,0.05,1.145681,0.510552
3,cross_entropy,0,0.075,1.295386,0.451502
3,cross_entropy,0,0.1,1.332456,0.411559
3,cross_entropy,0,0.15,1.312395,0.401565
3,auc,1,0.05,0.504545,0.881818
3,auc,1,0.075,0.436364,0.918182
3,auc,1,0.1,0.413636,0.895455
3,auc,1,0.15,0.327273,0.931818
3,accuracy,1,0.05,0.4375,0.78125
3,accuracy,1,0.075,0.34375,0.84375
3,accuracy,1,0.1,0.375,0.875
3,accuracy,1,0.15,0.375,0.84375
3,cross_entropy,1,0.05,1.232681,0.465976
3,cross_entropy,1,0.075,1.270016,0.433946
3,cross_entropy,1,0.1,1.302939,0.423308
3,cross_entropy,1,0.15,1.3162,0.39227
4,auc,0,0.05,0.529167,0.879167
4,auc,0,0.075,0.4375,0.929167
4,auc,0,0.1,0.4375,0.954167
4,auc,0,0.15,0.429167,0.9375
4,accuracy,0,0.05,0.40625,0.875
4,accuracy,0,0.075,0.46875,0.84375
4,accuracy,0,0.1,0.40625,0.84375
4,accuracy,0,0.15,0.40625,0.8125
4,cross_entropy,0,0.05,1.110213,0.475615
4,cross_entropy,0,0.075,1.260105,0.43138
4,cross_entropy,0,0.1,1.278162,0.391223
4,cross_entropy,0,0.15,1.252283,0.400103
4,auc,1,0.05,0.604167,0.8875
4,auc,1,0.075,0.525,0.9375
4,auc,1,0.1,0.45,0.9375
4,auc,1,0.15,0.433333,0.933333
4,accuracy,1,0.05,0.5,0.8125
4,accuracy,1,0.075,0.46875,0.875
4,accuracy,1,0.1,0.40625,0.90625
4,accuracy,1,0.15,0.34375,0.875
4,cross_entropy,1,0.05,1.08779,0.504762
4,cross_entropy,1,0.075,1.254195,0.434912
4,cross_entropy,1,0.1,1.334462,0.413419
4,cross_entropy,1,0.15,1.291991,0.417152
5,auc,0,0.05,0.672065,0.672065
5,auc,0,0.075,0.534413,0.732794
5,auc,0,0.1,0.502024,0.777328
5,auc,0,0.15,0.502024,0.813765
5,accuracy,0,0.05,0.53125,0.65625
5,accuracy,0,0.075,0.5,0.75
5,accuracy,0,0.1,0.5,0.71875
5,accuracy,0,0.15,0.4375,0.75
5,cross_entropy,0,0.05,1.025216,0.669487
5,cross_entropy,0,0.075,1.198054,0.585328
5,cross_entropy,0,0.1,1.273564,0.555953
5,cross_entropy,0,0.15,1.226939,0.515455
5,auc,1,0.05,0.566802,0.736842
5,auc,1,0.075,0.562753,0.712551
5,auc,1,0.1,0.54251,0.724696
5,auc,1,0.15,0.522267,0.834008
5,accuracy,1,0.05,0.40625,0.625
5,accuracy,1,0.075,0.4375,0.65625
5,accuracy,1,0.1,0.4375,0.65625
5,accuracy,1,0.15,0.4375,0.75
5,cross_entropy,1,0.05,1.211642,0.593983
5,cross_entropy,1,0.075,1.259647,0.588724
5,cross_entropy,1,0.1,1.33824,0.561186
5,cross_entropy,1,0.15,1.26485,0.512085
6,auc,0,0.05,0.416667,0.722222
6,auc,0,0.075,0.388889,0.75
6,auc,0,0.1,0.25,0.805556
6,auc,0,0.15,0.166667,0.805556
6,accuracy,0,0.05,0.461538,0.615385
6,accuracy,0,0.075,0.461538,0.615385
6,accuracy,0,0.1,0.384615,0.769231
6,accuracy,0,0.15,0.384615,0.846154
6,cross_entropy,0,0.05,1.014254,0.64857
6,cross_entropy,0,0.075,1.148665,0.591706
6,cross_entropy,0,0.1,1.312515,0.536959
6,cross_entropy,0,0.15,1.376987,0.499873
6,auc,1,0.05,0.722222,0.555556
6,auc,1,0.075,0.638889,0.5
6,auc,1,0.1,0.666667,0.611111
6,auc,1,0.15,0.527778,0.638889
6,accuracy,1,0.05,0.307692,0.615385
6,accuracy,1,0.075,0.384615,0.615385
6,accuracy,1,0.1,0.461538,0.615385
6,accuracy,1,0.15,0.384615,0.615385
6,cross_entropy,1,0.05,1.097241,0.69137
6,cross_entropy,1,0.075,1.170477,0.653666
6,cross_entropy,1,0.1,1.100025,0.637297
6,cross_entropy,1,0.15,1.235096,0.577171
