batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.930736,0.614719
0,auc,0,0.075,0.926407,0.619048
0,auc,0,0.1,0.883117,0.623377
0,auc,0,0.15,0.861472,0.614719
0,accuracy,0,0.05,0.78125,0.40625
0,accuracy,0,0.075,0.78125,0.4375
0,accuracy,0,0.1,0.75,0.4375
0,accuracy,0,0.15,0.6875,0.5
0,cross_entropy,0,0.05,0.435215,0.799968
0,cross_entropy,0,0.075,0.443613,0.795365
0,cross_entropy,0,0.1,0.49353,0.757624
0,cross_entropy,0,0.15,0.556051,0.712848
0,auc,1,0.05,1.0,0.558442
0,auc,1,0.075,0.974026,0.575758
0,auc,1,0.1,0.961039,0.545455
0,auc,1,0.15,0.939394,0.584416
0,accuracy,1,0.05,0.78125,0.375
0,accuracy,1,0.075,0.78125,0.375
0,accuracy,1,0.1,0.78125,0.4375
0,accuracy,1,0.15,0.75,0.46875
0,cross_entropy,1,0.05,0.391493,0.828628
0,cross_entropy,1,0.075,0.440658,0.827101
0,cross_entropy,1,0.1,0.457407,0.825906
0,cross_entropy,1,0.15,0.512251,0.796259
1,auc,0,0.05,0.966667,0.6875
1,auc,0,0.075,0.9625,0.695833
1,auc,0,0.1,0.954167,0.704167
1,auc,0,0.15,0.929167,0.7125
1,accuracy,0,0.05,0.875,0.5
1,accuracy,0,0.075,0.90625,0.5
1,accuracy,0,0.1,0.875,0.5625
1,accuracy,0,0.15,0.84375,0.5625
1,cross_entropy,0,0.05,0.358426,0.733238
1,cross_entropy,0,0.075,0.371344,0.723679
1,cross_entropy,0,0.1,0.405753,0.706326
1,cross_entropy,0,0.15,0.441719,0.689352
1,auc,1,0.05,0.945833,0.716667
1,auc,1,0.075,0.916667,0.758333
1,auc,1,0.1,0.920833,0.775
1,auc,1,0.15,0.883333,0.795833
1,accuracy,1,0.05,0.875,0.5625
1,accuracy,1,0.075,0.8125,0.59375
1,accuracy,1,0.1,0.75,0.59375
1,accuracy,1,0.15,0.71875,0.6875
1,cross_entropy,1,0.05,0.395565,0.689807
1,cross_entropy,1,0.075,0.42351,0.655189
1,cross_entropy,1,0.1,0.456595,0.63061
1,cross_entropy,1,0.15,0.510523,0.593685
2,auc,0,0.05,1.0,0.607843
2,auc,0,0.075,0.988235,0.654902
2,auc,0,0.1,0.968627,0.654902
2,auc,0,0.15,0.980392,0.670588
2,accuracy,0,0.05,0.96875,0.625
2,accuracy,0,0.075,0.9375,0.59375
2,accuracy,0,0.1,0.9375,0.53125
2,accuracy,0,0.15,0.90625,0.59375
2,cross_entropy,0,0.05,0.366799,0.696899
2,cross_entropy,0,0.075,0.380376,0.681197
2,cross_entropy,0,0.1,0.385345,0.696874
2,cross_entropy,0,0.15,0.423029,0.69148
2,auc,1,0.05,1.0,0.603922
2,auc,1,0.075,1.0,0.639216
2,auc,1,0.1,1.0,0.662745
2,auc,1,0.15,0.968627,0.670588
2,accuracy,1,0.05,0.96875,0.53125
2,accuracy,1,0.075,0.96875,0.5625
2,accuracy,1,0.1,0.9375,0.59375
2,accuracy,1,0.15,0.90625,0.59375
2,cross_entropy,1,0.05,0.320322,0.726428
2,cross_entropy,1,0.075,0.353404,0.706301
2,cross_entropy,1,0.1,0.37372,0.704363
2,cross_entropy,1,0.15,0.397298,0.670433
3,auc,0,0.05,0.9375,0.683333
3,auc,0,0.075,0.895833,0.6875
3,auc,0,0.1,0.8875,0.654167
3,auc,0,0.15,0.916667,0.670833
3,accuracy,0,0.05,0.8125,0.5625
3,accuracy,0,0.075,0.6875,0.5
3,accuracy,0,0.1,0.6875,0.5625
3,accuracy,0,0.15,0.71875,0.5
3,cross_entropy,0,0.05,0.448807,0.675532
3,cross_entropy,0,0.075,0.488562,0.670964
3,cross_entropy,0,0.1,0.492146,0.687119
3,cross_entropy,0,0.15,0.505283,0.683793
3,auc,1,0.05,0.95,0.604167
3,auc,1,0.075,0.966667,0.5875
3,auc,1,0.1,0.945833,0.604167
3,auc,1,0.15,0.95,0.6125
3,accuracy,1,0.05,0.84375,0.46875
3,accuracy,1,0.075,0.84375,0.4375
3,accuracy,1,0.1,0.78125,0.4375
3,accuracy,1,0.15,0.75,0.4375
3,cross_entropy,1,0.05,0.418778,0.698093
3,cross_entropy,1,0.075,0.44924,0.701207
3,cross_entropy,1,0.1,0.483386,0.699541
3,cross_entropy,1,0.15,0.512343,0.701664
4,auc,0,0.05,0.935065,0.636364
4,auc,0,0.075,0.943723,0.645022
4,auc,0,0.1,0.965368,0.632035
4,auc,0,0.15,0.900433,0.701299
4,accuracy,0,0.05,0.90625,0.59375
4,accuracy,0,0.075,0.84375,0.53125
4,accuracy,0,0.1,0.84375,0.5625
4,accuracy,0,0.15,0.75,0.53125
4,cross_entropy,0,0.05,0.415485,0.6942
4,cross_entropy,0,0.075,0.431726,0.693695
4,cross_entropy,0,0.1,0.424334,0.705876
4,cross_entropy,0,0.15,0.512041,0.675775
4,auc,1,0.05,0.991342,0.61039
4,auc,1,0.075,0.974026,0.588745
4,auc,1,0.1,0.969697,0.645022
4,auc,1,0.15,0.926407,0.722944
4,accuracy,1,0.05,0.90625,0.59375
4,accuracy,1,0.075,0.8125,0.5625
4,accuracy,1,0.1,0.78125,0.5625
4,accuracy,1,0.15,0.78125,0.59375
4,cross_entropy,1,0.05,0.357163,0.731983
4,cross_entropy,1,0.075,0.424656,0.741971
4,cross_entropy,1,0.1,0.441267,0.724949
4,cross_entropy,1,0.15,0.491596,0.676388
5,auc,0,0.05,0.963636,0.463636
5,auc,0,0.075,0.9,0.472727
5,auc,0,0.1,0.859091,0.509091
5,auc,0,0.15,0.777273,0.509091
5,accuracy,0,0.05,0.84375,0.46875
5,accuracy,0,0.075,0.75,0.5
5,accuracy,0,0.1,0.75,0.53125
5,accuracy,0,0.15,0.5625,0.5
5,cross_entropy,0,0.05,0.431499,0.87502
5,cross_entropy,0,0.075,0.488166,0.851756
5,cross_entropy,0,0.1,0.517529,0.828785
5,cross_entropy,0,0.15,0.613403,0.810015
5,auc,1,0.05,0.931818,0.440909
5,auc,1,0.075,0.890909,0.481818
5,auc,1,0.1,0.836364,0.509091
5,auc,1,0.15,0.768182,0.55
5,accuracy,1,0.05,0.8125,0.4375
5,accuracy,1,0.075,0.75,0.40625
5,accuracy,1,0.1,0.65625,0.4375
5,accuracy,1,0.15,0.65625,0.53125
5,cross_entropy,1,0.05,0.436059,0.909426
5,cross_entropy,1,0.075,0.479699,0.868945
5,cross_entropy,1,0.1,0.545979,0.843313
5,cross_entropy,1,0.15,0.659753,0.778674
6,auc,0,0.05,0.880952,0.642857
6,auc,0,0.075,0.904762,0.666667
6,auc,0,0.1,0.904762,0.595238
6,auc,0,0.15,0.857143,0.595238
6,accuracy,0,0.05,0.769231,0.615385
6,accuracy,0,0.075,0.769231,0.538462
6,accuracy,0,0.1,0.846154,0.538462
6,accuracy,0,0.15,0.769231,0.461538
6,cross_entropy,0,0.05,0.448923,0.686367
6,cross_entropy,0,0.075,0.474115,0.675367
6,cross_entropy,0,0.1,0.416688,0.721502
6,cross_entropy,0,0.15,0.467393,0.696483
6,auc,1,0.05,0.904762,0.571429
6,auc,1,0.075,0.904762,0.595238
6,auc,1,0.1,0.904762,0.595238
6,auc,1,0.15,1.0,0.642857
6,accuracy,1,0.05,0.923077,0.461538
6,accuracy,1,0.075,0.692308,0.461538
6,accuracy,1,0.1,0.615385,0.461538
6,accuracy,1,0.15,0.923077,0.538462
6,cross_entropy,1,0.05,0.417652,0.749124
6,cross_entropy,1,0.075,0.408721,0.748068
6,cross_entropy,1,0.1,0.415548,0.750294
6,cross_entropy,1,0.15,0.390407,0.732844
