batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,16.982353,13.166464
0,mae,0,0.075,18.060093,11.295125
0,mae,0,0.1,18.956985,9.595995
0,mae,0,0.15,20.57571,7.503785
0,mse,0,0.05,18.06683,11.713112
0,mse,0,0.075,20.473072,9.322041
0,mse,0,0.1,22.213484,6.922574
0,mse,0,0.15,25.361532,4.119443
0,mae,1,0.05,15.602797,13.371586
0,mae,1,0.075,17.819582,11.097507
0,mae,1,0.1,18.794897,9.249407
0,mae,1,0.15,19.786015,7.353194
0,mse,1,0.05,15.552876,11.670448
0,mse,1,0.075,19.844271,8.632713
0,mse,1,0.1,21.903637,6.505639
0,mse,1,0.15,24.385567,4.018256
0,mae,2,0.05,15.007214,13.014114
0,mae,2,0.075,17.272903,10.354321
0,mae,2,0.1,18.183878,9.183662
0,mae,2,0.15,20.364563,7.224176
0,mse,2,0.05,14.701324,11.512847
0,mse,2,0.075,19.177864,7.985359
0,mse,2,0.1,21.102507,6.451019
0,mse,2,0.15,25.663834,3.64929
0,mae,3,0.05,15.754073,13.161777
0,mae,3,0.075,17.26749,10.984715
0,mae,3,0.1,17.75189,9.401967
0,mae,3,0.15,19.212271,7.355132
0,mse,3,0.05,16.219376,11.845896
0,mse,3,0.075,19.205462,8.818596
0,mse,3,0.1,20.18261,6.718843
0,mse,3,0.15,23.074387,4.192594
0,mae,4,0.05,16.142712,13.842392
0,mae,4,0.075,17.418381,10.344625
0,mae,4,0.1,18.052637,8.793018
0,mae,4,0.15,19.1682,6.587052
0,mse,4,0.05,17.178518,12.523475
0,mse,4,0.075,20.07019,7.882051
0,mse,4,0.1,20.988522,6.095809
0,mse,4,0.15,23.780476,3.629791
0,mae,5,0.05,16.333088,13.14076
0,mae,5,0.075,17.467262,10.491819
0,mae,5,0.1,18.966415,8.931135
0,mae,5,0.15,19.766212,7.105963
0,mse,5,0.05,18.133991,11.512541
0,mse,5,0.075,20.000051,8.103071
0,mse,5,0.1,23.300566,6.241599
0,mse,5,0.15,24.803186,4.212565
0,mae,6,0.05,16.178482,13.40109
0,mae,6,0.075,17.587265,9.84381
0,mae,6,0.1,19.018637,8.917993
0,mae,6,0.15,20.319532,7.304858
0,mse,6,0.05,17.142704,11.923687
0,mse,6,0.075,19.797237,6.981564
0,mse,6,0.1,22.559093,6.280361
0,mse,6,0.15,25.232504,4.069588
0,mae,7,0.05,16.258703,13.181385
0,mae,7,0.075,18.047047,10.605275
0,mae,7,0.1,19.490122,9.580949
0,mae,7,0.15,20.412819,8.134994
0,mse,7,0.05,17.217218,11.462896
0,mse,7,0.075,20.744726,8.14377
0,mse,7,0.1,23.135561,6.829666
0,mse,7,0.15,24.999428,5.125717
0,mae,8,0.05,16.464134,14.17156
0,mae,8,0.075,18.213505,10.677283
0,mae,8,0.1,18.82379,9.902109
0,mae,8,0.15,20.227592,7.894175
0,mse,8,0.05,17.842033,12.940149
