batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,11.575221,13.064056
0,mae,0,0.075,14.537516,12.288694
0,mae,0,0.1,15.805389,11.314758
0,mae,0,0.15,16.256598,9.371037
0,mse,0,0.05,10.13606,10.056631
0,mse,0,0.075,15.100807,9.23687
0,mse,0,0.1,17.249231,7.992252
0,mse,0,0.15,17.487753,5.681207
0,mae,1,0.05,11.69811,12.846745
0,mae,1,0.075,14.215914,11.722987
0,mae,1,0.1,15.594097,10.364185
0,mae,1,0.15,16.364189,8.526048
0,mse,1,0.05,10.197044,9.700296
0,mse,1,0.075,14.179278,8.332439
0,mse,1,0.1,16.404371,6.833536
0,mse,1,0.15,17.350515,4.79078
0,mae,2,0.05,10.179421,13.002848
0,mae,2,0.075,13.17189,12.0284
0,mae,2,0.1,14.334547,10.903557
0,mae,2,0.15,15.501122,8.875107
0,mse,2,0.05,7.709337,9.920759
0,mse,2,0.075,11.614363,8.815411
0,mse,2,0.1,13.843397,7.609679
0,mse,2,0.15,15.403271,5.367688
0,mae,3,0.05,10.333843,12.871171
0,mae,3,0.075,12.189635,11.767
0,mae,3,0.1,13.895424,10.732038
0,mae,3,0.15,15.583142,8.774572
0,mse,3,0.05,7.793904,9.867022
0,mse,3,0.075,10.212938,8.531109
0,mse,3,0.1,12.938205,7.448586
0,mse,3,0.15,14.945602,5.342891
0,mae,4,0.05,9.868973,13.015326
0,mae,4,0.075,12.66448,12.220384
0,mae,4,0.1,13.845219,11.493113
0,mae,4,0.15,15.803595,9.194815
0,mse,4,0.05,7.253127,9.952498
0,mse,4,0.075,10.465114,9.025465
0,mse,4,0.1,12.254004,7.977739
0,mse,4,0.15,15.082116,5.480338
0,mae,5,0.05,9.644817,13.724462
0,mae,5,0.075,11.731718,12.743482
0,mae,5,0.1,13.557745,11.597651
0,mae,5,0.15,15.403366,9.358219
0,mse,5,0.05,6.547208,11.028262
0,mse,5,0.075,9.510603,9.556801
0,mse,5,0.1,11.7989,8.008808
0,mse,5,0.15,14.636906,5.450363
0,mae,6,0.05,9.824898,13.541331
0,mae,6,0.075,12.036093,13.157186
0,mae,6,0.1,13.763206,11.414608
0,mae,6,0.15,15.629889,9.477612
0,mse,6,0.05,6.995329,10.835251
0,mse,6,0.075,10.417622,10.17439
0,mse,6,0.1,12.741882,7.900649
0,mse,6,0.15,15.007298,5.821954
0,mae,7,0.05,10.689689,13.317345
0,mae,7,0.075,12.519838,12.095856
0,mae,7,0.1,14.591032,10.771042
0,mae,7,0.15,17.429523,8.836973
0,mse,7,0.05,8.46393,10.485096
0,mse,7,0.075,11.034459,8.837711
0,mse,7,0.1,13.724539,7.028999
0,mse,7,0.15,18.567663,5.149268
0,mae,8,0.05,11.095392,13.421624
0,mae,8,0.075,13.222529,12.312893
0,mae,8,0.1,14.91389,10.283947
0,mae,8,0.15,16.769688,8.484913
0,mse,8,0.05,8.615683,10.231251
0,mse,8,0.075,11.083675,8.73596
0,mse,8,0.1,13.725561,6.354237
0,mse,8,0.15,16.402365,4.561511
0,mae,9,0.05,10.322708,13.884839
0,mae,9,0.075,12.081057,13.340802
0,mae,9,0.1,14.125821,11.853228
0,mae,9,0.15,15.767557,9.284842
0,mse,9,0.05,7.57965,11.086813
0,mse,9,0.075,9.17522,10.235322
0,mse,9,0.1,11.778015,8.294354
0,mse,9,0.15,14.51199,5.387542
0,mae,10,0.05,10.515955,13.544935
