batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.607817,11.312208
0,mae,0,0.075,5.858288,9.783579
0,mae,0,0.1,6.120374,9.157129
0,mae,0,0.15,6.960822,7.824192
0,mse,0,0.05,2.328288,7.818259
0,mse,0,0.075,2.548558,6.022973
0,mse,0,0.1,2.691482,5.303949
0,mse,0,0.15,3.393213,3.937193
0,mae,1,0.05,5.437368,11.492497
0,mae,1,0.075,5.986401,9.822163
0,mae,1,0.1,6.235895,8.97994
0,mae,1,0.15,7.002924,7.691282
0,mse,1,0.05,2.135518,8.169931
0,mse,1,0.075,2.616001,6.387217
0,mse,1,0.1,2.782963,5.453956
0,mse,1,0.15,3.500091,4.12899
0,mae,2,0.05,5.629767,11.575434
0,mae,2,0.075,6.042377,9.730847
0,mae,2,0.1,6.333645,8.795215
0,mae,2,0.15,6.68825,7.483465
0,mse,2,0.05,2.211926,8.226842
0,mse,2,0.075,2.541758,6.252028
0,mse,2,0.1,2.824053,5.191329
0,mse,2,0.15,3.085827,3.827944
0,mae,3,0.05,5.617201,11.733168
0,mae,3,0.075,6.215034,10.247525
0,mae,3,0.1,6.029698,9.584852
0,mae,3,0.15,6.428533,8.13744
0,mse,3,0.05,2.185087,8.550491
0,mse,3,0.075,2.604074,7.018445
0,mse,3,0.1,2.575605,6.426313
0,mse,3,0.15,2.783055,4.903404
0,mae,4,0.05,5.769404,11.394207
0,mae,4,0.075,6.191883,10.060298
0,mae,4,0.1,6.04694,9.355527
0,mae,4,0.15,6.148804,8.011039
0,mse,4,0.05,2.288282,8.105612
0,mse,4,0.075,2.63757,6.739144
0,mse,4,0.1,2.479437,6.027279
0,mse,4,0.15,2.56788,4.698295
0,mae,5,0.05,5.602267,11.459328
0,mae,5,0.075,6.003509,10.07181
0,mae,5,0.1,5.89968,9.39632
0,mae,5,0.15,6.155325,7.945702
0,mse,5,0.05,2.168575,8.246401
0,mse,5,0.075,2.408648,6.904657
0,mse,5,0.1,2.282499,6.18399
0,mse,5,0.15,2.423627,4.689707
0,mae,6,0.05,5.09519,11.510378
0,mae,6,0.075,5.48695,10.085045
0,mae,6,0.1,5.583836,9.308578
0,mae,6,0.15,6.395908,7.686827
0,mse,6,0.05,1.78875,8.086576
0,mse,6,0.075,1.938357,6.66632
0,mse,6,0.1,1.967184,5.849448
0,mse,6,0.15,2.523041,4.161263
0,mae,7,0.05,5.069357,11.412525
0,mae,7,0.075,5.288637,10.320601
0,mae,7,0.1,5.752335,9.56183
0,mae,7,0.15,6.228486,8.11305
0,mse,7,0.05,1.772779,7.946764
0,mse,7,0.075,1.847719,6.718105
0,mse,7,0.1,2.073581,5.820192
0,mse,7,0.15,2.405161,4.370099
0,mae,8,0.05,4.921187,11.907994
0,mae,8,0.075,5.167141,10.471608
0,mae,8,0.1,5.583177,9.780621
0,mae,8,0.15,6.083092,8.192955
0,mse,8,0.05,1.764722,8.443153
0,mse,8,0.075,1.874671,6.939529
0,mse,8,0.1,2.086833,6.241873
0,mse,8,0.15,2.362506,4.782209
0,mae,9,0.05,4.718338,11.953801
0,mae,9,0.075,4.700267,10.784294
0,mae,9,0.1,5.024077,9.767761
0,mae,9,0.15,5.862048,8.34223
0,mse,9,0.05,1.686629,8.606943
0,mse,9,0.075,1.60073,7.482348
0,mse,9,0.1,1.774333,6.433567
0,mse,9,0.15,2.192912,5.158898
0,mae,10,0.05,4.338972,11.595892
0,mae,10,0.075,4.607105,10.268915
0,mae,10,0.1,4.776382,9.755771
0,mae,10,0.15,5.288938,8.263312
0,mse,10,0.05,1.498799,8.349595
0,mse,10,0.075,1.597495,7.018451
0,mse,10,0.1,1.640191,6.460287
0,mse,10,0.15,1.861315,4.767623
0,mae,11,0.05,4.564407,11.680267
0,mae,11,0.075,4.838332,10.555048
0,mae,11,0.1,4.882332,9.752756
0,mae,11,0.15,5.388886,8.092749
0,mse,11,0.05,1.660267,8.429281
0,mse,11,0.075,1.75563,7.219116
0,mse,11,0.1,1.717079,6.377862
0,mse,11,0.15,1.985669,4.413774
0,mae,12,0.05,4.570288,11.610243
0,mae,12,0.075,5.038789,10.481958
0,mae,12,0.1,5.031428,9.687971
0,mae,12,0.15,5.315336,8.141005
0,mse,12,0.05,1.681838,8.318035
0,mse,12,0.075,1.904617,6.981661
0,mse,12,0.1,1.747438,6.018565
0,mse,12,0.15,1.871401,4.359242
0,mae,13,0.05,4.593883,11.669383
0,mae,13,0.075,4.658739,10.308538
0,mae,13,0.1,5.001682,9.617275
0,mae,13,0.15,5.452709,8.085304
0,mse,13,0.05,1.58949,8.028763
0,mse,13,0.075,1.634546,6.647263
0,mse,13,0.1,1.739204,5.819262
0,mse,13,0.15,1.958744,4.205846
0,mae,14,0.05,4.478338,12.012436
0,mae,14,0.075,4.77841,10.397676
0,mae,14,0.1,5.108646,9.189627
0,mae,14,0.15,5.735329,7.492183
0,mse,14,0.05,1.586287,8.247061
0,mse,14,0.075,1.703507,6.46434
0,mse,14,0.1,1.896733,5.196156
0,mse,14,0.15,2.301665,3.562703
0,mae,15,0.05,4.65669,11.772305
0,mae,15,0.075,5.032487,10.137131
0,mae,15,0.1,5.48543,9.233328
0,mae,15,0.15,6.2837,7.726671
0,mse,15,0.05,1.56517,8.037799
0,mse,15,0.075,1.826706,6.145307
0,mse,15,0.1,2.12157,5.159997
0,mse,15,0.15,2.798838,3.646909
0,mae,16,0.05,4.582068,11.887474
0,mae,16,0.075,4.998961,10.108772
0,mae,16,0.1,5.360804,9.40097
0,mae,16,0.15,6.424386,7.86433
0,mse,16,0.05,1.633256,8.251726
0,mse,16,0.075,1.801152,6.089316
0,mse,16,0.1,1.946447,5.261449
0,mse,16,0.15,2.920433,3.831944
0,mae,17,0.05,4.439019,11.594697
0,mae,17,0.075,4.916094,10.397678
0,mae,17,0.1,5.222045,9.434979
0,mae,17,0.15,6.199763,7.906781
0,mse,17,0.05,1.49825,7.830451
0,mse,17,0.075,1.712372,6.373755
0,mse,17,0.1,1.926748,5.291764
0,mse,17,0.15,2.659496,3.845739
0,mae,18,0.05,4.105014,11.577301
0,mae,18,0.075,4.461648,10.361795
0,mae,18,0.1,5.036632,9.390116
0,mae,18,0.15,6.06955,7.727196
0,mse,18,0.05,1.248092,7.908915
0,mse,18,0.075,1.38504,6.44821
0,mse,18,0.1,1.778124,5.322814
0,mse,18,0.15,2.575272,3.671355
0,mae,19,0.05,4.282289,11.6614
0,mae,19,0.075,4.450288,10.085661
0,mae,19,0.1,4.99989,9.290121
0,mae,19,0.15,5.852978,7.314795
0,mse,19,0.05,1.353821,8.104174
0,mse,19,0.075,1.423157,6.268383
0,mse,19,0.1,1.708765,5.265481
0,mse,19,0.15,2.454066,3.245975
0,mae,20,0.05,4.299433,11.860654
0,mae,20,0.075,4.541183,10.306776
0,mae,20,0.1,5.044072,9.4169
0,mae,20,0.15,5.784962,7.744252
0,mse,20,0.05,1.361886,8.316544
0,mse,20,0.075,1.411538,6.454006
0,mse,20,0.1,1.708523,5.295097
0,mse,20,0.15,2.47947,3.537736
