batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,14.48513,15.710768
0,mae,0,0.075,16.060246,14.391314
0,mae,0,0.1,16.463303,13.75504
0,mae,0,0.15,16.208683,12.194938
0,mse,0,0.05,14.79414,15.350082
0,mse,0,0.075,16.587994,13.387276
0,mse,0,0.1,18.000879,12.367199
0,mse,0,0.15,17.700756,10.023259
0,mae,1,0.05,15.191154,15.925646
0,mae,1,0.075,15.454816,14.208046
0,mae,1,0.1,16.44389,12.802185
0,mae,1,0.15,16.783253,12.913873
0,mse,1,0.05,15.38158,15.762678
0,mse,1,0.075,16.199764,13.00897
0,mse,1,0.1,17.271399,10.860433
0,mse,1,0.15,18.126272,10.983759
0,mae,2,0.05,15.355516,15.558167
0,mae,2,0.075,16.489342,14.379199
0,mae,2,0.1,16.179749,13.470432
0,mae,2,0.15,16.378933,12.445997
0,mse,2,0.05,15.894844,15.404879
0,mse,2,0.075,17.801628,13.415883
0,mse,2,0.1,17.244541,11.909376
0,mse,2,0.15,17.361233,10.775502
0,mae,3,0.05,14.866875,16.359921
0,mae,3,0.075,16.058485,16.181717
0,mae,3,0.1,16.530365,14.740739
0,mae,3,0.15,16.180229,13.620727
0,mse,3,0.05,15.126187,17.169237
0,mse,3,0.075,17.730719,16.510401
0,mse,3,0.1,17.92799,14.198389
0,mse,3,0.15,17.537907,12.403629
0,mae,4,0.05,15.833624,17.302101
0,mae,4,0.075,16.314444,15.786176
0,mae,4,0.1,16.36108,15.309343
0,mae,4,0.15,15.729568,13.821908
0,mse,4,0.05,17.022303,18.176048
0,mse,4,0.075,17.558996,15.724295
0,mse,4,0.1,17.589264,15.089596
0,mse,4,0.15,16.977753,12.355121
0,mae,5,0.05,17.636982,16.871372
0,mae,5,0.075,16.916088,15.44849
0,mae,5,0.1,16.653425,14.484575
0,mae,5,0.15,17.91202,13.167027
0,mse,5,0.05,20.383089,17.550812
0,mse,5,0.075,18.936852,15.392489
0,mse,5,0.1,18.323692,13.850414
0,mse,5,0.15,20.775345,11.51414
0,mae,6,0.05,16.591984,16.608967
0,mae,6,0.075,16.901848,15.677532
0,mae,6,0.1,16.318712,14.707392
0,mae,6,0.15,17.557001,13.248589
0,mse,6,0.05,17.776247,17.467482
0,mse,6,0.075,18.653938,15.74207
0,mse,6,0.1,17.722126,14.145846
0,mse,6,0.15,19.778217,11.79665
0,mae,7,0.05,17.190533,16.817392
0,mae,7,0.075,17.261032,15.908602
0,mae,7,0.1,17.019604,14.458652
0,mae,7,0.15,16.483616,12.36926
0,mse,7,0.05,18.427025,17.125553
