batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.77585,16.009327
0,mae,0,0.075,11.966919,14.192251
0,mae,0,0.1,14.219503,12.649122
0,mae,0,0.15,15.626954,10.047708
0,mse,0,0.05,7.004577,14.287946
0,mse,0,0.075,11.359926,11.76827
0,mse,0,0.1,14.648625,9.782401
0,mse,0,0.15,16.090464,6.91522
0,mae,1,0.05,8.711008,15.842171
0,mae,1,0.075,11.365578,14.294307
0,mae,1,0.1,13.262149,12.260114
0,mae,1,0.15,15.425112,9.515337
0,mse,1,0.05,6.524425,14.009964
0,mse,1,0.075,10.106012,11.83502
0,mse,1,0.1,12.865025,9.215178
0,mse,1,0.15,15.772958,6.324465
0,mae,2,0.05,8.162883,16.222696
0,mae,2,0.075,11.151797,14.915442
0,mae,2,0.1,13.825841,12.225571
0,mae,2,0.15,15.463034,9.522661
0,mse,2,0.05,5.336607,14.517233
0,mse,2,0.075,9.150035,12.644039
0,mse,2,0.1,13.367395,9.169524
0,mse,2,0.15,15.586668,6.080703
0,mae,3,0.05,7.416246,16.125469
0,mae,3,0.075,10.805457,14.967695
0,mae,3,0.1,13.211258,12.295502
0,mae,3,0.15,15.051974,9.464748
0,mse,3,0.05,4.545505,14.48044
0,mse,3,0.075,8.844411,12.999208
0,mse,3,0.1,12.235802,9.647163
0,mse,3,0.15,14.176579,6.336482
0,mae,4,0.05,7.324527,16.080677
0,mae,4,0.075,10.901898,14.82695
0,mae,4,0.1,13.853115,12.695076
0,mae,4,0.15,15.214774,9.877365
0,mse,4,0.05,4.331388,14.534662
0,mse,4,0.075,8.544291,12.941419
0,mse,4,0.1,12.836744,9.904547
0,mse,4,0.15,14.278948,6.926497
0,mae,5,0.05,6.755371,16.734236
0,mae,5,0.075,10.087443,15.423261
0,mae,5,0.1,13.49108,12.836172
0,mae,5,0.15,15.432941,10.002777
0,mse,5,0.05,3.673224,15.293649
0,mse,5,0.075,7.507581,13.354691
0,mse,5,0.1,12.579989,9.911089
0,mse,5,0.15,14.783751,6.987024
0,mae,6,0.05,7.149701,16.144651
0,mae,6,0.075,10.882721,14.717723
0,mae,6,0.1,14.476713,12.266487
0,mae,6,0.15,16.406664,8.756161
0,mse,6,0.05,3.860563,14.193903
0,mse,6,0.075,8.722487,12.152987
0,mse,6,0.1,13.75853,8.855404
0,mse,6,0.15,16.263634,5.064017
0,mae,7,0.05,7.580754,15.677365
0,mae,7,0.075,11.873993,13.458174
0,mae,7,0.1,15.073814,11.350857
0,mae,7,0.15,16.508497,8.339884
0,mse,7,0.05,4.108284,13.380055
0,mse,7,0.075,9.763404,10.400185
0,mse,7,0.1,14.757526,7.648671
0,mse,7,0.15,16.105009,4.691279
0,mae,8,0.05,8.121399,16.102949
0,mae,8,0.075,11.63513,13.699677
0,mae,8,0.1,14.371153,10.577234
0,mae,8,0.15,16.707386,8.017855
0,mse,8,0.05,4.724221,13.964926
0,mse,8,0.075,8.828044,10.579531
0,mse,8,0.1,12.793833,6.798388
0,mse,8,0.15,16.121136,4.27169
0,mae,9,0.05,8.021304,15.99306
0,mae,9,0.075,11.196217,14.43142
0,mae,9,0.1,14.051336,11.391887
0,mae,9,0.15,16.424704,8.331127
0,mse,9,0.05,4.787676,13.863214
0,mse,9,0.075,8.068693,11.445148
0,mse,9,0.1,11.958765,7.769029
0,mse,9,0.15,15.532408,4.575028
0,mae,10,0.05,8.225924,15.687543
0,mae,10,0.075,12.777741,14.074196
0,mae,10,0.1,15.659868,11.921185
0,mae,10,0.15,17.234383,8.789459
0,mse,10,0.05,5.066404,13.475103
0,mse,10,0.075,10.665514,10.971691
0,mse,10,0.1,15.155566,8.058876
0,mse,10,0.15,17.431498,4.786125
0,mae,11,0.05,7.927483,15.443146
