batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.183907,18.688526
0,mae,0,0.075,2.991107,18.445782
0,mae,0,0.1,3.908305,18.17259
0,mae,0,0.15,5.658417,18.208168
0,mse,0,0.05,0.326401,22.924664
0,mse,0,0.075,0.702605,22.335735
0,mse,0,0.1,1.110663,22.184462
0,mse,0,0.15,2.214368,21.984444
0,mae,1,0.05,2.435309,18.630953
0,mae,1,0.075,3.471288,18.621338
0,mae,1,0.1,3.787075,18.565262
0,mae,1,0.15,5.465236,16.797323
0,mse,1,0.05,0.555158,23.152042
0,mse,1,0.075,0.918043,22.841972
0,mse,1,0.1,1.101784,22.389481
0,mse,1,0.15,1.958771,19.139248
0,mae,2,0.05,2.581753,18.537144
0,mae,2,0.075,3.048011,18.347416
0,mae,2,0.1,3.632889,17.814129
0,mae,2,0.15,5.062414,17.535877
0,mse,2,0.05,0.51645,22.158895
0,mse,2,0.075,0.669288,21.877832
0,mse,2,0.1,0.927706,21.200863
0,mse,2,0.15,1.837455,20.959877
0,mae,3,0.05,2.016448,18.954674
0,mae,3,0.075,3.0087,18.493307
0,mae,3,0.1,3.968419,18.070635
0,mae,3,0.15,4.598452,17.875868
0,mse,3,0.05,0.301912,23.442621
0,mse,3,0.075,0.76242,22.464455
0,mse,3,0.1,1.258976,21.589558
0,mse,3,0.15,1.579339,21.091562
0,mae,4,0.05,2.506876,18.069771
0,mae,4,0.075,3.911155,18.197712
0,mae,4,0.1,4.509855,18.290733
0,mae,4,0.15,5.59377,17.659853
0,mse,4,0.05,0.5617,22.535307
0,mse,4,0.075,1.247733,22.199812
0,mse,4,0.1,1.557057,22.213505
0,mse,4,0.15,2.339899,20.889759
0,mae,5,0.05,5.552031,16.532932
0,mae,5,0.075,6.751085,16.541349
0,mae,5,0.1,7.322246,16.445162
0,mae,5,0.15,9.315,15.625558
0,mse,5,0.05,4.328802,18.327343
0,mse,5,0.075,5.105251,18.178078
0,mse,5,0.1,5.541305,18.058319
0,mse,5,0.15,6.937598,16.684032
0,mae,6,0.05,2.261219,18.352829
0,mae,6,0.075,5.885782,17.013269
0,mae,6,0.1,6.299495,16.706829
0,mae,6,0.15,7.506691,15.758771
0,mse,6,0.05,0.438173,22.859018
0,mse,6,0.075,4.232808,18.890234
0,mse,6,0.1,4.566324,18.291975
0,mse,6,0.15,5.45384,17.023115
