batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.37557,15.834503
0,mae,0,0.075,11.271065,14.446123
0,mae,0,0.1,11.742777,13.528423
0,mae,0,0.15,12.562546,11.807102
0,mse,0,0.05,10.618105,15.796845
0,mse,0,0.075,11.046128,13.464066
0,mse,0,0.1,11.616777,11.990553
0,mse,0,0.15,12.342111,9.513973
0,mae,1,0.05,9.889142,16.201202
0,mae,1,0.075,10.709513,14.36713
0,mae,1,0.1,11.700482,12.947557
0,mae,1,0.15,12.861464,12.065057
0,mse,1,0.05,10.191951,16.311058
0,mse,1,0.075,10.517941,12.959774
0,mse,1,0.1,11.36947,11.076546
0,mse,1,0.15,12.232665,9.821705
0,mae,2,0.05,9.86488,15.852061
0,mae,2,0.075,10.946719,13.974121
0,mae,2,0.1,11.56411,12.871224
0,mae,2,0.15,13.127544,11.29796
0,mse,2,0.05,10.217379,16.235134
0,mse,2,0.075,10.456367,12.754202
0,mse,2,0.1,11.212775,11.178892
0,mse,2,0.15,12.584789,8.771873
0,mae,3,0.05,9.638523,16.298973
0,mae,3,0.075,11.416974,13.798213
0,mae,3,0.1,11.739106,12.888597
0,mae,3,0.15,12.832905,11.573832
0,mse,3,0.05,9.943951,16.632824
0,mse,3,0.075,10.747204,12.227968
0,mse,3,0.1,11.22914,10.864558
0,mse,3,0.15,12.157454,8.970919
0,mae,4,0.05,9.427084,16.589439
0,mae,4,0.075,10.899524,13.977362
0,mae,4,0.1,11.926852,13.330153
0,mae,4,0.15,13.059995,12.165244
0,mse,4,0.05,9.73332,17.324074
0,mse,4,0.075,10.188046,12.290865
0,mse,4,0.1,11.334592,11.43931
0,mse,4,0.15,12.732014,9.981714
0,mae,5,0.05,9.917253,17.069174
0,mae,5,0.075,10.634571,15.07677
0,mae,5,0.1,10.785495,13.510863
0,mae,5,0.15,12.553858,12.683595
0,mse,5,0.05,9.939702,17.964317
0,mse,5,0.075,10.056191,14.412717
0,mse,5,0.1,10.623072,11.843103
0,mse,5,0.15,12.311862,10.958723
0,mae,6,0.05,9.945447,16.168839
0,mae,6,0.075,11.159687,15.742536
0,mae,6,0.1,11.698265,14.817759
0,mae,6,0.15,12.127676,13.680132
0,mse,6,0.05,10.144462,16.669197
0,mse,6,0.075,10.799726,15.660231
0,mse,6,0.1,11.472996,13.932737
0,mse,6,0.15,11.934622,12.021116
0,mae,7,0.05,9.763353,16.037258
0,mae,7,0.075,11.609976,15.201929
0,mae,7,0.1,11.532974,14.895199
0,mae,7,0.15,12.248821,14.20755
0,mse,7,0.05,9.910303,16.80386
0,mse,7,0.075,11.506757,14.529581
0,mse,7,0.1,11.706951,14.168869
0,mse,7,0.15,12.295956,13.054974
0,mae,8,0.05,9.467724,16.567879
0,mae,8,0.075,11.162209,16.256433
0,mae,8,0.1,11.630463,15.46611
0,mae,8,0.15,12.211082,14.261257
0,mse,8,0.05,9.605154,17.810427
0,mse,8,0.075,11.355656,16.886253
0,mse,8,0.1,11.394832,15.530563
0,mse,8,0.15,12.587265,13.76914
0,mae,9,0.05,9.578983,16.677664
0,mae,9,0.075,10.811377,15.935077
0,mae,9,0.1,12.178932,15.347034
0,mae,9,0.15,12.964794,14.116068
0,mse,9,0.05,9.537693,17.68997
0,mse,9,0.075,10.607212,15.575739
0,mse,9,0.1,11.882328,14.436163
0,mse,9,0.15,13.446205,13.35154
0,mae,10,0.05,9.472397,17.041054
0,mae,10,0.075,10.589274,16.157223
0,mae,10,0.1,11.430525,16.137482
0,mae,10,0.15,12.498884,14.62167
0,mse,10,0.05,8.695478,18.431963
0,mse,10,0.075,10.267362,16.234596
0,mse,10,0.1,11.289935,15.982851
0,mse,10,0.15,12.798922,13.8116
0,mae,11,0.05,9.371405,16.621628
0,mae,11,0.075,10.479388,16.540018
0,mae,11,0.1,10.754757,16.30685
0,mae,11,0.15,12.012193,15.216549
0,mse,11,0.05,8.894704,17.621197
0,mse,11,0.075,9.915527,16.910965
0,mse,11,0.1,10.468552,16.134026
0,mse,11,0.15,12.366501,14.934437
0,mae,12,0.05,9.02823,17.814079
0,mae,12,0.075,10.730309,16.53371
0,mae,12,0.1,10.83563,15.910681
0,mae,12,0.15,12.310148,14.530333
0,mse,12,0.05,8.418661,19.983452
0,mse,12,0.075,10.240059,17.089645
0,mse,12,0.1,10.32868,16.189243
0,mse,12,0.15,12.321651,13.102524
0,mae,13,0.05,8.160061,17.531612
0,mae,13,0.075,9.809803,16.969231
0,mae,13,0.1,9.368197,16.738693
0,mae,13,0.15,11.11109,15.347363
0,mse,13,0.05,7.62735,20.079521
0,mse,13,0.075,9.312014,18.464493
0,mse,13,0.1,8.976803,18.109779
0,mse,13,0.15,10.556828,14.919192
0,mae,14,0.05,7.071118,17.870457
0,mae,14,0.075,8.675121,17.601078
0,mae,14,0.1,9.07794,16.505337
0,mae,14,0.15,9.64907,16.615995
0,mse,14,0.05,5.465677,21.502922
0,mse,14,0.075,7.505022,20.415411
0,mse,14,0.1,8.048893,17.739872
0,mse,14,0.15,8.238541,17.773087
0,mae,15,0.05,7.217999,17.729092
0,mae,15,0.075,9.056005,17.224354
0,mae,15,0.1,9.716846,16.434999
0,mae,15,0.15,9.895029,16.547661
0,mse,15,0.05,5.628508,20.435713
0,mse,15,0.075,7.49595,18.674309
0,mse,15,0.1,8.615776,17.170708
0,mse,15,0.15,8.542084,17.186188
0,mae,16,0.05,7.324065,17.953098
0,mae,16,0.075,9.210113,17.340527
0,mae,16,0.1,9.814238,16.949402
0,mae,16,0.15,10.734148,15.997972
0,mse,16,0.05,5.842206,20.900524
0,mse,16,0.075,7.736458,18.252052
0,mse,16,0.1,8.56755,17.830929
0,mse,16,0.15,9.429988,16.322357
0,mae,17,0.05,7.615198,18.472012
0,mae,17,0.075,9.244253,16.499285
0,mae,17,0.1,10.093407,16.432163
0,mae,17,0.15,10.363943,15.935028
0,mse,17,0.05,6.00127,21.517435
0,mse,17,0.075,7.745536,17.248058
0,mse,17,0.1,9.181771,16.935701
0,mse,17,0.15,9.086278,15.90695
0,mae,18,0.05,8.281056,17.924519
0,mae,18,0.075,9.165042,16.238115
0,mae,18,0.1,9.966937,15.957584
0,mae,18,0.15,10.235888,15.551842
0,mse,18,0.05,7.086065,20.516796
0,mse,18,0.075,7.618066,16.531639
0,mse,18,0.1,8.345186,15.844291
0,mse,18,0.15,8.930493,15.482435
0,mae,19,0.05,8.778984,17.744987
0,mae,19,0.075,9.147987,16.653187
0,mae,19,0.1,10.414395,15.979255
0,mae,19,0.15,10.617646,16.113977
0,mse,19,0.05,7.480033,20.009666
0,mse,19,0.075,8.479605,17.346972
0,mse,19,0.1,9.64174,16.353676
0,mse,19,0.15,9.992395,16.636423
0,mae,20,0.05,9.03156,17.80018
0,mae,20,0.075,9.707556,17.70443
0,mae,20,0.1,10.232853,16.983597
0,mae,20,0.15,11.735354,15.833286
0,mse,20,0.05,8.06063,20.157566
0,mse,20,0.075,8.759812,19.520428
0,mse,20,0.1,9.334659,18.810375
0,mse,20,0.15,11.03474,15.794682
0,mae,21,0.05,9.109291,17.673029
0,mae,21,0.075,10.151507,16.759617
0,mae,21,0.1,11.813442,14.792288
0,mae,21,0.15,12.716488,14.343539
0,mse,21,0.05,8.203438,20.12903
0,mse,21,0.075,9.226509,18.60985
0,mse,21,0.1,12.161944,14.77746
0,mse,21,0.15,13.086329,13.351851
0,mae,22,0.05,9.937412,16.762711
0,mae,22,0.075,11.43129,15.34942
0,mae,22,0.1,12.027239,14.599984
0,mae,22,0.15,12.533554,14.142629
0,mse,22,0.05,10.088436,17.795769
0,mse,22,0.075,11.801688,15.124844
0,mse,22,0.1,12.429162,13.833721
0,mse,22,0.15,13.281159,12.763956
0,mae,23,0.05,10.410507,15.889454
0,mae,23,0.075,11.398993,14.873301
0,mae,23,0.1,12.708145,14.468472
