batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.917226,19.834993
0,mae,0,0.075,8.719308,19.995745
0,mae,0,0.1,9.04817,20.322983
0,mae,0,0.15,9.774461,20.52487
0,mse,0,0.05,3.042082,26.013828
0,mse,0,0.075,4.72363,26.447693
0,mse,0,0.1,5.253897,27.465582
0,mse,0,0.15,6.391753,28.28421
0,mae,1,0.05,7.297542,20.416315
0,mae,1,0.075,8.984385,20.663628
0,mae,1,0.1,9.435917,21.05851
0,mae,1,0.15,11.046139,21.921185
0,mse,1,0.05,3.329998,26.551985
0,mse,1,0.075,4.949585,27.896969
0,mse,1,0.1,5.506677,28.960123
0,mse,1,0.15,7.515085,30.660532
0,mae,2,0.05,7.774447,21.207428
0,mae,2,0.075,9.182026,21.374332
0,mae,2,0.1,10.16576,22.235859
0,mae,2,0.15,11.373318,22.7101
0,mse,2,0.05,3.718878,28.622423
0,mse,2,0.075,5.248641,29.32332
0,mse,2,0.1,6.187276,31.034718
0,mse,2,0.15,7.987132,32.352596
0,mae,3,0.05,7.625237,21.492405
0,mae,3,0.075,9.712187,22.398293
0,mae,3,0.1,10.631094,22.524479
0,mae,3,0.15,11.817526,23.255119
0,mse,3,0.05,3.662538,29.143541
0,mse,3,0.075,5.72465,31.701584
0,mse,3,0.1,6.636046,31.829498
0,mse,3,0.15,8.105652,33.542118
0,mae,4,0.05,7.906004,21.555557
0,mae,4,0.075,10.051193,22.808661
0,mae,4,0.1,10.773165,23.1245
0,mae,4,0.15,12.182377,23.068188
0,mse,4,0.05,3.742352,29.440605
0,mse,4,0.075,6.206455,32.626862
0,mse,4,0.1,6.819591,33.675415
0,mse,4,0.15,8.548456,33.1791
0,mae,5,0.05,7.672915,21.868153
0,mae,5,0.075,10.07522,22.859064
0,mae,5,0.1,10.700686,23.136059
0,mae,5,0.15,11.957641,23.501787
0,mse,5,0.05,3.613458,29.833532
0,mse,5,0.075,6.186143,32.531231
0,mse,5,0.1,6.913868,33.273346
0,mse,5,0.15,8.241135,34.389793
0,mae,6,0.05,7.837035,22.087351
0,mae,6,0.075,9.643501,23.387547
0,mae,6,0.1,10.260887,23.805542
0,mae,6,0.15,11.147127,24.367798
0,mse,6,0.05,3.710002,29.848923
0,mse,6,0.075,5.597026,33.038765
0,mse,6,0.1,6.222389,34.44318
0,mse,6,0.15,7.310705,35.859268
0,mae,7,0.05,7.543002,22.021036
0,mae,7,0.075,9.536301,24.007238
0,mae,7,0.1,10.459728,24.236746
0,mae,7,0.15,11.047345,24.822422
0,mse,7,0.05,3.458935,29.645538
0,mse,7,0.075,5.452166,34.016727
0,mse,7,0.1,6.530522,34.791862
0,mse,7,0.15,7.127891,36.650002
0,mae,8,0.05,7.844462,21.924809
0,mae,8,0.075,9.54312,23.03891
0,mae,8,0.1,10.230158,23.758146
0,mae,8,0.15,11.316444,24.702492
0,mse,8,0.05,3.618109,29.559814
0,mse,8,0.075,5.546989,32.070892
0,mse,8,0.1,6.338618,33.998074
0,mse,8,0.15,7.603787,36.420765
0,mae,9,0.05,7.376502,21.755516
0,mae,9,0.075,9.518135,23.061749
0,mae,9,0.1,10.187378,23.455725
0,mae,9,0.15,11.367198,24.655806
0,mse,9,0.05,3.171584,29.006702
0,mse,9,0.075,5.371468,31.795073
0,mse,9,0.1,6.320648,33.050079
0,mse,9,0.15,7.499895,36.195992
0,mae,10,0.05,7.59749,21.81543
0,mae,10,0.075,9.288477,22.527161
0,mae,10,0.1,10.275185,22.748196
0,mae,10,0.15,11.770948,23.454906
0,mse,10,0.05,3.398259,28.783913
0,mse,10,0.075,5.17867,30.234398
0,mse,10,0.1,6.163984,31.084766
0,mse,10,0.15,7.803445,33.704124
0,mae,11,0.05,7.863544,21.278633
0,mae,11,0.075,9.514309,21.101536
0,mae,11,0.1,10.083914,21.79678
0,mae,11,0.15,11.68972,22.544846
0,mse,11,0.05,3.565799,27.913769
0,mse,11,0.075,5.492281,27.168947
0,mse,11,0.1,6.216159,29.058638
0,mse,11,0.15,7.88173,31.261932
0,mae,12,0.05,7.468236,21.380424
0,mae,12,0.075,9.246014,20.955956
0,mae,12,0.1,10.374477,21.768551
0,mae,12,0.15,12.237772,22.293274
0,mse,12,0.05,3.309953,27.616344
0,mse,12,0.075,5.267082,26.661663
0,mse,12,0.1,6.416921,28.840094
0,mse,12,0.15,8.612346,30.389282
0,mae,13,0.05,7.882652,20.91909
0,mae,13,0.075,9.729275,21.406391
0,mae,13,0.1,10.874966,21.717941
0,mae,13,0.15,12.782772,21.948492
0,mse,13,0.05,3.599669,26.451839
0,mse,13,0.075,5.778926,27.483311
0,mse,13,0.1,7.114128,28.565531
0,mse,13,0.15,9.485263,29.433968
0,mae,14,0.05,8.112868,20.949718
0,mae,14,0.075,10.482759,21.469019
0,mae,14,0.1,11.654791,21.792183
0,mae,14,0.15,13.227129,22.272816
0,mse,14,0.05,3.796337,26.325352
0,mse,14,0.075,6.481701,27.535727
0,mse,14,0.1,7.871172,28.000511
0,mse,14,0.15,10.246537,29.784615
0,mae,15,0.05,8.412626,20.607151
0,mae,15,0.075,10.864321,21.528051
0,mae,15,0.1,11.872839,21.760555
0,mae,15,0.15,13.639507,23.467529
0,mse,15,0.05,4.344938,24.982311
0,mse,15,0.075,6.904217,26.786196
0,mse,15,0.1,8.292703,27.302435
0,mse,15,0.15,11.004431,31.026302
0,mae,16,0.05,8.823114,20.632364
0,mae,16,0.075,11.170094,22.192369
0,mae,16,0.1,12.114999,22.436901
0,mae,16,0.15,14.045277,22.825581
0,mse,16,0.05,4.733098,25.250763
0,mse,16,0.075,7.456777,27.960035
0,mse,16,0.1,8.750234,28.428457
0,mse,16,0.15,11.367838,29.434299
0,mae,17,0.05,8.719292,20.132996
0,mae,17,0.075,11.150732,21.753931
0,mae,17,0.1,12.306824,21.822271
0,mae,17,0.15,14.456667,22.79113
0,mse,17,0.05,4.718339,24.788658
0,mse,17,0.075,7.617355,26.9984
0,mse,17,0.1,9.215321,27.067125
0,mse,17,0.15,12.145241,29.445347
0,mae,18,0.05,8.312024,20.390137
0,mae,18,0.075,10.836733,21.593868
0,mae,18,0.1,12.311136,22.102875
0,mae,18,0.15,14.520873,22.488358
0,mse,18,0.05,4.37184,25.761295
0,mse,18,0.075,7.202756,26.797092
0,mse,18,0.1,9.296275,27.378036
0,mse,18,0.15,12.500462,27.844616
0,mae,19,0.05,8.186275,19.846138
0,mae,19,0.075,10.537447,22.206966
0,mae,19,0.1,11.486474,22.216068
0,mae,19,0.15,13.745325,22.690277
0,mse,19,0.05,4.271552,24.904932
0,mse,19,0.075,7.019103,29.097061
0,mse,19,0.1,8.512678,28.777187
