batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.198336,12.109905
0,mae,0,0.075,9.119062,11.331738
0,mae,0,0.1,9.017672,9.660215
0,mae,0,0.15,10.107046,9.459073
0,mse,0,0.05,4.819839,9.333091
0,mse,0,0.075,5.914757,8.431075
0,mse,0,0.1,5.64291,6.138866
0,mse,0,0.15,6.580954,5.7805
0,mae,1,0.05,7.667493,11.321524
0,mae,1,0.075,7.785329,10.150998
0,mae,1,0.1,8.675133,8.506561
0,mae,1,0.15,10.644648,8.026345
0,mse,1,0.05,3.974561,8.417756
0,mse,1,0.075,4.209277,7.032428
0,mse,1,0.1,5.308486,5.063478
0,mse,1,0.15,6.829818,4.575229
0,mae,2,0.05,6.731276,12.162937
0,mae,2,0.075,8.571928,10.514134
0,mae,2,0.1,9.122094,9.699624
0,mae,2,0.15,11.440845,8.630878
0,mse,2,0.05,3.15097,9.284154
0,mse,2,0.075,4.624217,7.159779
0,mse,2,0.1,5.19251,6.113048
0,mse,2,0.15,7.968102,5.114095
0,mae,3,0.05,6.330343,11.792353
0,mae,3,0.075,8.870765,11.852505
0,mae,3,0.1,9.616081,9.992162
0,mae,3,0.15,11.794703,8.878713
0,mse,3,0.05,2.82649,8.366388
0,mse,3,0.075,5.11939,8.47679
0,mse,3,0.1,6.092074,6.330431
0,mse,3,0.15,8.353835,5.13081
0,mae,4,0.05,7.431251,12.696396
0,mae,4,0.075,8.587173,11.378552
0,mae,4,0.1,9.307863,10.152206
0,mae,4,0.15,12.188759,8.455166
0,mse,4,0.05,3.636613,9.567539
0,mse,4,0.075,4.965718,8.244296
0,mse,4,0.1,5.952891,6.952138
0,mse,4,0.15,8.9426,4.711837
0,mae,5,0.05,7.603806,11.309213
0,mae,5,0.075,9.052487,10.022018
0,mae,5,0.1,9.358131,9.476379
0,mae,5,0.15,10.757675,9.446022
0,mse,5,0.05,3.83976,8.095395
0,mse,5,0.075,5.633554,6.882586
0,mse,5,0.1,6.336124,5.87156
0,mse,5,0.15,7.418101,5.67498
0,mae,6,0.05,7.340299,12.181278
0,mae,6,0.075,8.602946,10.419127
0,mae,6,0.1,10.073407,9.568793
0,mae,6,0.15,11.10864,8.418178
0,mse,6,0.05,3.48977,10.452997
0,mse,6,0.075,4.856706,7.205505
0,mse,6,0.1,6.257917,6.113873
0,mse,6,0.15,8.246969,4.722189
0,mae,7,0.05,8.126006,13.595976
0,mae,7,0.075,9.209671,12.255397
0,mae,7,0.1,9.309951,9.84851
0,mae,7,0.15,12.247524,8.408807
0,mse,7,0.05,4.365142,12.205165
0,mse,7,0.075,5.873339,10.668617
0,mse,7,0.1,6.376768,6.754571
0,mse,7,0.15,9.630308,4.262346
0,mae,8,0.05,9.111509,13.236267
0,mae,8,0.075,11.372868,11.051467
0,mae,8,0.1,11.101946,10.663202
0,mae,8,0.15,12.551899,9.191936
0,mse,8,0.05,5.413492,11.016726
0,mse,8,0.075,8.293032,8.127434
0,mse,8,0.1,8.363134,7.504484
0,mse,8,0.15,9.925005,5.257765
0,mae,9,0.05,9.090939,13.276237
0,mae,9,0.075,10.147842,12.013815
0,mae,9,0.1,10.703343,10.697371
0,mae,9,0.15,12.25309,9.853182
0,mse,9,0.05,5.554292,11.275874
0,mse,9,0.075,6.532966,9.3317
0,mse,9,0.1,7.54949,7.613319
0,mse,9,0.15,9.595227,6.248859
0,mae,10,0.05,8.22558,13.541553
0,mae,10,0.075,8.9705,12.48984
0,mae,10,0.1,9.512881,11.587561
0,mae,10,0.15,12.259435,8.881201
0,mse,10,0.05,4.903979,11.936378
0,mse,10,0.075,5.875269,10.04479
0,mse,10,0.1,6.482897,8.420788
0,mse,10,0.15,9.244358,5.274893
0,mae,11,0.05,8.654144,13.775507
0,mae,11,0.075,8.102141,12.145866
0,mae,11,0.1,9.180368,11.229998
0,mae,11,0.15,11.454917,9.146467
0,mse,11,0.05,5.391993,11.78133
0,mse,11,0.075,5.001579,9.489138
0,mse,11,0.1,5.819599,8.339049
0,mse,11,0.15,8.790726,5.683018
0,mae,12,0.05,8.904369,13.618294
0,mae,12,0.075,8.846418,12.524283
0,mae,12,0.1,8.930597,11.919323
0,mae,12,0.15,10.681979,10.421158
0,mse,12,0.05,5.710145,11.551888
0,mse,12,0.075,5.839314,9.622456
0,mse,12,0.1,6.044309,8.871526
0,mse,12,0.15,7.800173,7.160794
0,mae,13,0.05,9.023616,13.561098
0,mae,13,0.075,7.745704,13.146322
0,mae,13,0.1,8.298481,12.112415
0,mae,13,0.15,10.147208,10.186463
0,mse,13,0.05,5.703617,11.503156
0,mse,13,0.075,4.640111,10.466805
0,mse,13,0.1,5.286488,9.036505
0,mse,13,0.15,7.342489,6.527328
0,mae,14,0.05,7.335052,15.011774
0,mae,14,0.075,8.567764,13.153724
0,mae,14,0.1,9.038773,11.715592
0,mae,14,0.15,10.692644,10.387558
0,mse,14,0.05,4.038721,13.522292
0,mse,14,0.075,5.291594,9.858288
0,mse,14,0.1,5.838894,8.376954
0,mse,14,0.15,7.939332,7.055871
0,mae,15,0.05,5.737706,15.053916
0,mae,15,0.075,7.073831,14.092669
0,mae,15,0.1,7.524577,13.051751
0,mae,15,0.15,9.801123,11.091797
0,mse,15,0.05,2.260427,14.273136
0,mse,15,0.075,3.548132,11.566479
0,mse,15,0.1,3.806722,10.659321
0,mse,15,0.15,6.450588,8.350752
0,mae,16,0.05,6.531032,14.709991
0,mae,16,0.075,8.810446,13.749392
0,mae,16,0.1,8.474699,13.488817
0,mae,16,0.15,9.072339,10.486541
0,mse,16,0.05,3.150923,13.565629
0,mse,16,0.075,5.078356,11.258724
0,mse,16,0.1,5.316998,11.054817
0,mse,16,0.15,6.276779,6.938181
0,mae,17,0.05,6.242841,15.366628
0,mae,17,0.075,8.892652,14.493493
0,mae,17,0.1,9.275984,13.85862
0,mae,17,0.15,9.676788,11.998976
0,mse,17,0.05,2.967274,14.110153
0,mse,17,0.075,5.418708,12.653233
0,mse,17,0.1,5.980132,11.80624
0,mse,17,0.15,6.769064,8.613247
0,mae,18,0.05,7.753898,16.272141
0,mae,18,0.075,9.111959,14.705582
0,mae,18,0.1,9.129314,12.966846
0,mae,18,0.15,10.489318,12.146406
0,mse,18,0.05,4.424656,15.939288
0,mse,18,0.075,5.482118,13.692158
0,mse,18,0.1,5.77176,10.802197
0,mse,18,0.15,7.33282,9.047974
0,mae,19,0.05,7.218293,16.330105
0,mae,19,0.075,9.01235,14.50345
0,mae,19,0.1,8.637012,14.20468
0,mae,19,0.15,10.804701,12.407882
0,mse,19,0.05,3.780473,15.657743
