batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.469651,19.0352
0,mae,0,0.075,7.158875,19.147686
0,mae,0,0.1,7.649541,19.001694
0,mae,0,0.15,7.966114,17.804733
0,mse,0,0.05,2.1712,21.394484
0,mse,0,0.075,3.589538,21.953508
0,mse,0,0.1,4.088166,21.497334
0,mse,0,0.15,3.932348,19.907026
0,mae,1,0.05,5.529725,19.249073
0,mae,1,0.075,6.811905,18.921516
0,mae,1,0.1,7.162703,18.916065
0,mae,1,0.15,8.360797,17.952549
0,mse,1,0.05,2.202325,21.813656
0,mse,1,0.075,3.362382,21.418777
0,mse,1,0.1,3.406165,21.193209
0,mse,1,0.15,4.370623,20.020142
0,mae,2,0.05,5.492669,20.02561
0,mae,2,0.075,6.903758,18.981554
0,mae,2,0.1,7.389011,18.263662
0,mae,2,0.15,7.994727,16.620012
0,mse,2,0.05,2.141467,22.870327
0,mse,2,0.075,3.196401,21.358601
0,mse,2,0.1,3.588209,20.442978
0,mse,2,0.15,4.307775,18.165558
0,mae,3,0.05,6.604219,19.784353
0,mae,3,0.075,6.860636,19.04467
0,mae,3,0.1,6.656222,18.918995
0,mae,3,0.15,7.694249,16.71418
0,mse,3,0.05,3.363165,22.965096
0,mse,3,0.075,3.118779,21.363171
0,mse,3,0.1,3.02443,21.406652
0,mse,3,0.15,3.819637,18.456604
0,mae,4,0.05,5.855237,19.536993
0,mae,4,0.075,6.49021,18.901852
0,mae,4,0.1,7.523748,18.406696
0,mae,4,0.15,8.51134,17.12999
0,mse,4,0.05,2.57277,22.416565
0,mse,4,0.075,2.95236,21.432533
0,mse,4,0.1,3.612841,20.790316
0,mse,4,0.15,4.352617,18.627602
0,mae,5,0.05,5.897127,19.085039
0,mae,5,0.075,6.336408,18.407043
0,mae,5,0.1,7.938622,17.98106
0,mae,5,0.15,8.115141,16.457125
0,mse,5,0.05,2.448941,21.886967
0,mse,5,0.075,2.720553,21.11401
0,mse,5,0.1,3.650101,20.370174
0,mse,5,0.15,4.148113,18.053875
0,mae,6,0.05,6.091603,18.768818
0,mae,6,0.075,7.30405,18.042957
0,mae,6,0.1,7.802211,17.85943
0,mae,6,0.15,7.601572,16.842817
0,mse,6,0.05,2.531025,21.627407
0,mse,6,0.075,3.446003,20.758493
0,mse,6,0.1,3.791466,20.825165
0,mse,6,0.15,3.725904,19.130009
0,mae,7,0.05,6.084237,19.70734
0,mae,7,0.075,6.733181,19.212025
0,mae,7,0.1,7.787628,18.114494
0,mae,7,0.15,8.336161,17.201344
0,mse,7,0.05,2.463383,23.762672
0,mse,7,0.075,2.97872,22.531399
0,mse,7,0.1,3.87582,20.766602
0,mse,7,0.15,4.486189,19.229691
0,mae,8,0.05,6.45619,20.304398
0,mae,8,0.075,6.781491,20.706226
0,mae,8,0.1,7.122187,19.764126
0,mae,8,0.15,7.782513,18.574818
0,mse,8,0.05,2.724006,24.946012
0,mse,8,0.075,2.952364,25.143629
0,mse,8,0.1,3.222718,23.111475
0,mse,8,0.15,3.866158,21.231951
0,mae,9,0.05,4.840178,21.797455
0,mae,9,0.075,6.879416,20.063663
0,mae,9,0.1,7.293796,19.992321
0,mae,9,0.15,8.445629,18.170609
0,mse,9,0.05,1.554409,27.478998
0,mse,9,0.075,3.024292,23.800854
0,mse,9,0.1,3.378497,23.540113
0,mse,9,0.15,4.314982,20.819124
0,mae,10,0.05,4.860936,21.841717
0,mae,10,0.075,5.947262,22.340851
0,mae,10,0.1,6.357445,21.751202
0,mae,10,0.15,8.019834,19.042086
0,mse,10,0.05,1.582458,27.823847
0,mse,10,0.075,2.25656,28.679337
0,mse,10,0.1,2.499785,27.793489
0,mse,10,0.15,3.610816,22.6565
0,mae,11,0.05,4.991059,21.752934
0,mae,11,0.075,5.681783,21.965277
0,mae,11,0.1,6.56115,21.480803
0,mae,11,0.15,8.058378,19.304428
0,mse,11,0.05,1.656686,27.588596
0,mse,11,0.075,2.118171,28.047087
0,mse,11,0.1,2.598566,26.953281
0,mse,11,0.15,3.892352,23.119797
0,mae,12,0.05,4.64908,21.433445
0,mae,12,0.075,5.547855,21.520218
0,mae,12,0.1,5.980453,21.619408
0,mae,12,0.15,7.850808,21.098503
0,mse,12,0.05,1.437183,26.878134
0,mse,12,0.075,1.897095,26.817198
0,mse,12,0.1,2.203103,27.413317
0,mse,12,0.15,3.676497,27.098063
0,mae,13,0.05,4.750045,21.582561
0,mae,13,0.075,6.447856,21.340353
0,mae,13,0.1,6.393919,20.823709
0,mae,13,0.15,8.334232,19.219072
0,mse,13,0.05,1.387594,27.462523
0,mse,13,0.075,2.506097,26.576504
0,mse,13,0.1,2.394214,26.086456
0,mse,13,0.15,3.980282,22.872051
0,mae,14,0.05,5.658242,19.949411
0,mae,14,0.075,6.314173,20.887232
0,mae,14,0.1,6.843053,20.851265
0,mae,14,0.15,8.421828,19.174023
0,mse,14,0.05,2.167648,24.307487
0,mse,14,0.075,2.269548,25.508417
0,mse,14,0.1,2.635188,25.55674
0,mse,14,0.15,4.186002,22.513939
0,mae,15,0.05,5.615221,20.205162
0,mae,15,0.075,5.924232,19.936836
0,mae,15,0.1,6.675187,19.431757
0,mae,15,0.15,8.328953,19.404026
0,mse,15,0.05,2.202559,24.779125
0,mse,15,0.075,2.150987,23.964863
0,mse,15,0.1,2.754007,22.873703
0,mse,15,0.15,4.06922,22.822676
0,mae,16,0.05,5.456509,19.182278
0,mae,16,0.075,6.415998,19.489841
0,mae,16,0.1,6.817979,19.613579
0,mae,16,0.15,7.769455,19.205849
0,mse,16,0.05,2.10146,22.489536
0,mse,16,0.075,2.592145,23.258402
0,mse,16,0.1,2.920805,23.010883
0,mse,16,0.15,3.815148,22.364523
0,mae,17,0.05,5.260324,18.735868
0,mae,17,0.075,6.287716,19.537977
0,mae,17,0.1,7.204132,19.356638
0,mae,17,0.15,8.130316,18.931337
0,mse,17,0.05,2.062478,22.024403
0,mse,17,0.075,2.477932,23.018982
0,mse,17,0.1,3.339242,22.752785
0,mse,17,0.15,4.360693,21.981901
0,mae,18,0.05,5.215041,19.057053
0,mae,18,0.075,6.081938,19.682087
0,mae,18,0.1,6.981587,19.126377
0,mae,18,0.15,8.538393,18.471355
0,mse,18,0.05,2.050673,22.77492
0,mse,18,0.075,2.515828,23.538177
0,mse,18,0.1,3.207554,22.39024
0,mse,18,0.15,4.71642,21.14801
0,mae,19,0.05,5.706304,18.976204
0,mae,19,0.075,6.089504,19.678976
0,mae,19,0.1,6.851996,19.375126
0,mae,19,0.15,8.451626,18.337013
0,mse,19,0.05,2.269679,22.6436
0,mse,19,0.075,2.495287,23.587296
0,mse,19,0.1,3.094103,22.366611
0,mse,19,0.15,4.66466,21.005554
0,mae,20,0.05,6.158565,19.842991
0,mae,20,0.075,6.382095,19.005259
0,mae,20,0.1,6.737236,19.543116
0,mae,20,0.15,9.335932,17.458187
0,mse,20,0.05,2.554422,23.773502
0,mse,20,0.075,2.691535,22.235161
0,mse,20,0.1,2.92439,22.927135
0,mse,20,0.15,5.796514,19.611607
0,mae,21,0.05,5.92709,20.074219
0,mae,21,0.075,6.159288,19.449951
0,mae,21,0.1,6.642603,19.332718
0,mae,21,0.15,9.528739,17.606932
0,mse,21,0.05,2.445762,24.305763
0,mse,21,0.075,2.445735,22.906992
0,mse,21,0.1,2.870865,22.610327
0,mse,21,0.15,5.946301,19.839928
0,mae,22,0.05,6.147426,19.951475
0,mae,22,0.075,6.384599,19.599476
0,mae,22,0.1,6.682993,18.892792
0,mae,22,0.15,9.423772,17.376045
0,mse,22,0.05,2.57202,23.929087
0,mse,22,0.075,2.610115,23.224342
0,mse,22,0.1,2.850664,21.844374
0,mse,22,0.15,5.814058,19.366589
0,mae,23,0.05,5.492429,19.791542
0,mae,23,0.075,7.206368,19.591791
0,mae,23,0.1,7.655754,18.461796
0,mae,23,0.15,9.297399,17.379938
0,mse,23,0.05,2.209092,23.632942
0,mse,23,0.075,3.757322,22.919001
0,mse,23,0.1,4.123489,21.05162
0,mse,23,0.15,5.550569,19.47205
1,mae,0,0.05,4.44159,17.959183
1,mae,0,0.075,7.318188,17.041344
1,mae,0,0.1,8.137503,16.769548
1,mae,0,0.15,11.161939,13.545924
1,mse,0,0.05,1.761674,20.615295
1,mse,0,0.075,6.011262,19.055902
1,mse,0,0.1,6.058687,17.676731
1,mse,0,0.15,10.069788,11.823447
1,mae,1,0.05,4.535531,17.240242
1,mae,1,0.075,7.536835,16.761913
1,mae,1,0.1,7.420656,16.533501
1,mae,1,0.15,10.515116,15.151365
1,mse,1,0.05,1.719674,19.538727
1,mse,1,0.075,5.866521,18.157616
1,mse,1,0.1,5.510634,17.617624
1,mse,1,0.15,9.156472,14.611392
1,mae,2,0.05,4.66422,16.470705
1,mae,2,0.075,7.46666,16.832186
1,mae,2,0.1,7.747963,16.623865
1,mae,2,0.15,9.877768,14.98957
1,mse,2,0.05,1.559184,18.42078
1,mse,2,0.075,5.820325,18.262039
1,mse,2,0.1,5.866027,17.74728
1,mse,2,0.15,8.558566,14.759357
1,mae,3,0.05,4.674132,16.702707
1,mae,3,0.075,7.547632,15.933566
1,mae,3,0.1,7.839377,16.274258
1,mae,3,0.15,9.658411,14.684251
1,mse,3,0.05,1.597099,18.782949
1,mse,3,0.075,5.8194,16.945019
1,mse,3,0.1,6.076253,17.663233
1,mse,3,0.15,7.976223,14.36814
1,mae,4,0.05,5.124231,17.068779
1,mae,4,0.075,7.691957,16.828712
1,mae,4,0.1,8.004302,16.189663
1,mae,4,0.15,9.251434,15.078161
1,mse,4,0.05,1.754722,19.884836
1,mse,4,0.075,5.855301,18.645737
1,mse,4,0.1,6.176281,17.465523
1,mse,4,0.15,7.150214,15.580258
1,mae,5,0.05,4.634757,16.764545
1,mae,5,0.075,5.932074,16.821236
1,mae,5,0.1,7.735888,16.117804
1,mae,5,0.15,9.334851,14.562932
1,mse,5,0.05,1.5052,19.003374
1,mse,5,0.075,2.072023,18.759449
1,mse,5,0.1,5.853671,17.297237
1,mse,5,0.15,7.185979,14.756292
1,mae,6,0.05,4.689367,17.323898
1,mae,6,0.075,5.541836,17.027748
1,mae,6,0.1,7.911306,15.949446
1,mae,6,0.15,9.335939,14.646175
1,mse,6,0.05,1.481765,20.004545
1,mse,6,0.075,1.840022,18.862751
1,mse,6,0.1,5.939586,17.251938
1,mse,6,0.15,6.502434,15.257781
1,mae,7,0.05,4.455295,17.00708
1,mae,7,0.075,5.723428,17.183107
1,mae,7,0.1,5.847692,16.383854
1,mae,7,0.15,8.897066,14.70546
1,mse,7,0.05,1.437329,19.631191
1,mse,7,0.075,1.961957,19.58663
1,mse,7,0.1,2.134413,18.161652
1,mse,7,0.15,6.233285,14.579614
1,mae,8,0.05,4.11545,17.260899
1,mae,8,0.075,5.4239,16.215155
1,mae,8,0.1,6.201216,15.68177
1,mae,8,0.15,9.081506,14.277977
1,mse,8,0.05,1.22933,19.850599
1,mse,8,0.075,1.887136,17.942312
1,mse,8,0.1,2.388994,16.982647
1,mse,8,0.15,6.497777,14.324545
1,mae,9,0.05,4.457531,18.419003
1,mae,9,0.075,5.276888,16.807152
1,mae,9,0.1,5.493353,16.775974
1,mae,9,0.15,8.720204,15.161098
1,mse,9,0.05,1.293413,21.582504
1,mse,9,0.075,1.754312,18.221231
1,mse,9,0.1,1.892974,18.048512
1,mse,9,0.15,6.180748,16.50878
1,mae,10,0.05,4.593356,18.491489
1,mae,10,0.075,5.54035,16.405891
1,mae,10,0.1,5.577167,16.813601
1,mae,10,0.15,9.129972,16.167776
1,mse,10,0.05,1.366763,21.609844
1,mse,10,0.075,1.899559,17.776207
1,mse,10,0.1,2.008209,18.131577
1,mse,10,0.15,6.737494,17.322634
1,mae,11,0.05,4.582983,18.268682
1,mae,11,0.075,5.66901,17.385944
1,mae,11,0.1,5.839842,16.842236
1,mae,11,0.15,8.624907,15.307609
1,mse,11,0.05,1.406495,21.07782
1,mse,11,0.075,2.020383,19.576757
1,mse,11,0.1,2.093108,18.452385
1,mse,11,0.15,6.379552,15.853236
1,mae,12,0.05,4.950168,17.893852
1,mae,12,0.075,5.776142,17.796413
1,mae,12,0.1,6.033487,17.718618
1,mae,12,0.15,8.802307,15.526546
1,mse,12,0.05,1.642933,20.240477
1,mse,12,0.075,2.05219,19.306488
1,mse,12,0.1,2.156489,19.537607
1,mse,12,0.15,6.446171,16.255804
1,mae,13,0.05,4.900994,17.93524
1,mae,13,0.075,5.849902,17.672792
1,mae,13,0.1,6.080018,18.046646
1,mae,13,0.15,8.880264,15.877953
1,mse,13,0.05,1.577969,20.179445
1,mse,13,0.075,2.07385,19.227131
1,mse,13,0.1,2.139083,20.385044
1,mse,13,0.15,6.550078,16.870079
1,mae,14,0.05,4.871684,18.02372
1,mae,14,0.075,5.754724,16.913841
1,mae,14,0.1,6.559049,16.69688
1,mae,14,0.15,9.847183,15.123857
1,mse,14,0.05,1.653107,20.279938
1,mse,14,0.075,2.169592,17.662981
1,mse,14,0.1,2.650179,17.952473
1,mse,14,0.15,7.498479,16.04649
1,mae,15,0.05,5.148231,17.526707
1,mae,15,0.075,5.757399,17.36228
1,mae,15,0.1,7.270557,16.403725
1,mae,15,0.15,10.029734,15.112902
1,mse,15,0.05,1.871473,19.307953
1,mse,15,0.075,2.165978,19.3508
1,mse,15,0.1,3.267209,17.84222
1,mse,15,0.15,7.851009,15.999696
1,mae,16,0.05,4.972096,17.447733
1,mae,16,0.075,5.929985,17.103878
1,mae,16,0.1,7.353538,16.553627
1,mae,16,0.15,9.993614,15.635261
1,mse,16,0.05,1.789751,19.072338
1,mse,16,0.075,2.344715,19.137827
1,mse,16,0.1,3.407116,18.446121
1,mse,16,0.15,8.04392,16.611692
1,mae,17,0.05,5.488871,17.179054
1,mae,17,0.075,6.271649,16.707939
1,mae,17,0.1,7.2621,17.132612
1,mae,17,0.15,9.587112,16.485783
1,mse,17,0.05,2.060301,18.729706
1,mse,17,0.075,2.624032,17.946487
1,mse,17,0.1,3.485711,18.909956
1,mse,17,0.15,7.786229,17.546684
1,mae,18,0.05,5.441544,17.532063
1,mae,18,0.075,6.065215,17.092108
1,mae,18,0.1,6.885646,17.139931
1,mae,18,0.15,8.227385,18.545353
1,mse,18,0.05,2.05738,19.155649
1,mse,18,0.075,2.555899,18.349459
1,mse,18,0.1,3.335417,18.866829
1,mse,18,0.15,4.400639,21.563019
1,mae,19,0.05,5.151165,17.213583
1,mae,19,0.075,6.376581,16.800968
1,mae,19,0.1,6.756593,17.24118
1,mae,19,0.15,8.047419,18.618736
1,mse,19,0.05,2.002565,18.377163
1,mse,19,0.075,2.743411,18.056107
1,mse,19,0.1,3.143993,19.155254
1,mse,19,0.15,4.347335,21.634565
1,mae,20,0.05,5.046887,17.259279
1,mae,20,0.075,6.080585,17.300858
1,mae,20,0.1,6.888079,17.156864
1,mae,20,0.15,8.028128,18.655956
1,mse,20,0.05,1.933907,18.607843
1,mse,20,0.075,2.612619,18.771288
1,mse,20,0.1,3.268294,18.660961
1,mse,20,0.15,4.467269,21.5518
1,mae,21,0.05,4.603976,17.176685
1,mae,21,0.075,6.411403,17.025215
1,mae,21,0.1,6.383652,17.473215
1,mae,21,0.15,8.198406,18.266228
1,mse,21,0.05,1.55144,18.590424
1,mse,21,0.075,2.839488,18.218395
1,mse,21,0.1,2.884166,18.830229
1,mse,21,0.15,4.625691,20.492313
1,mae,22,0.05,4.607899,17.217188
1,mae,22,0.075,6.060599,17.758482
1,mae,22,0.1,6.445463,17.650948
1,mae,22,0.15,8.79895,17.326778
1,mse,22,0.05,1.550441,18.626614
1,mse,22,0.075,2.5517,19.864397
1,mse,22,0.1,2.851628,19.266083
1,mse,22,0.15,5.063811,19.129189
1,mae,23,0.05,5.066006,17.596401
1,mae,23,0.075,6.368217,17.385355
1,mae,23,0.1,7.358842,17.165623
1,mae,23,0.15,9.292133,17.433823
1,mse,23,0.05,1.914635,19.080551
1,mse,23,0.075,2.664505,19.132877
1,mse,23,0.1,3.487557,18.917318
1,mse,23,0.15,5.787176,19.088034
2,mae,0,0.05,7.478462,25.860149
2,mae,0,0.075,12.331884,26.174093
2,mae,0,0.1,12.998449,26.055252
2,mae,0,0.15,15.949836,24.378126
2,mse,0,0.05,4.616961,40.09465
2,mse,0,0.075,9.684374,41.193871
2,mse,0,0.1,10.377815,40.976513
2,mse,0,0.15,15.149634,35.643734
2,mae,1,0.05,8.43527,27.016298
2,mae,1,0.075,11.188869,28.113464
2,mae,1,0.1,13.940166,27.446884
2,mae,1,0.15,18.844734,24.900169
2,mse,1,0.05,6.013889,42.888542
2,mse,1,0.075,8.597513,47.181721
2,mse,1,0.1,11.977324,45.169258
2,mse,1,0.15,20.678448,37.41592
2,mae,2,0.05,8.835556,27.866936
2,mae,2,0.075,13.373026,27.324286
2,mae,2,0.1,14.654623,27.781082
2,mae,2,0.15,20.093031,25.288818
2,mse,2,0.05,6.206325,45.747742
2,mse,2,0.075,12.426494,44.894115
2,mse,2,0.1,13.663328,45.964188
2,mse,2,0.15,23.610817,38.434044
2,mae,3,0.05,7.08017,27.850235
2,mae,3,0.075,13.371549,27.583252
2,mae,3,0.1,15.893524,26.717579
2,mae,3,0.15,19.087723,26.625755
2,mse,3,0.05,4.229129,45.554092
2,mse,3,0.075,11.871656,45.222267
2,mse,3,0.1,15.95056,42.788643
2,mse,3,0.15,22.581635,42.363876
2,mae,4,0.05,7.077905,28.483856
2,mae,4,0.075,13.133226,28.046106
2,mae,4,0.1,15.858871,27.469894
2,mae,4,0.15,20.430119,27.756546
2,mse,4,0.05,3.712353,46.766075
2,mse,4,0.075,11.596428,45.505875
2,mse,4,0.1,15.479397,43.796837
2,mse,4,0.15,24.201479,45.375282
2,mae,5,0.05,7.193534,28.488649
2,mae,5,0.075,13.105479,27.836487
2,mae,5,0.1,15.323637,27.903915
2,mae,5,0.15,20.258955,27.858295
2,mse,5,0.05,4.018749,45.820656
2,mse,5,0.075,11.708,44.351578
2,mse,5,0.1,15.761307,45.690529
2,mse,5,0.15,23.698956,45.830879
2,mae,6,0.05,8.04637,28.627134
2,mae,6,0.075,13.998942,27.992426
2,mae,6,0.1,16.558882,28.302933
2,mae,6,0.15,20.293226,26.136358
2,mse,6,0.05,5.266788,46.345634
2,mse,6,0.075,12.828684,44.452545
2,mse,6,0.1,16.994749,45.797829
2,mse,6,0.15,24.433281,39.602249
2,mae,7,0.05,7.267903,29.600372
2,mae,7,0.075,13.384149,29.325108
2,mae,7,0.1,14.877954,28.626537
2,mae,7,0.15,21.638325,26.534422
2,mse,7,0.05,4.173951,50.432922
2,mse,7,0.075,12.298456,49.253799
2,mse,7,0.1,15.950748,47.81218
2,mse,7,0.15,27.235458,40.905563
2,mae,8,0.05,7.266207,29.494255
2,mae,8,0.075,12.831743,29.532633
