batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.74189,15.241846
0,mae,0,0.075,3.918834,14.998594
0,mae,0,0.1,4.291484,15.378043
0,mae,0,0.15,6.21655,15.490387
0,mse,0,0.05,0.567329,14.881888
0,mse,0,0.075,0.978329,14.414801
0,mse,0,0.1,1.221157,15.261252
0,mse,0,0.15,2.599728,15.417255
0,mae,1,0.05,2.604492,15.339499
0,mae,1,0.075,3.918834,14.998594
0,mae,1,0.1,4.411524,15.400713
0,mae,1,0.15,7.896044,14.458359
0,mse,1,0.05,0.555513,14.781874
0,mse,1,0.075,0.978329,14.414801
0,mse,1,0.1,1.329017,15.085221
0,mse,1,0.15,4.567151,14.277785
0,mae,2,0.05,2.604492,15.424665
0,mae,2,0.075,3.792701,14.998594
0,mae,2,0.1,4.411524,14.672288
0,mae,2,0.15,8.633679,15.184086
0,mse,2,0.05,0.555513,15.172044
0,mse,2,0.075,0.943337,14.414801
0,mse,2,0.1,1.329017,14.535659
0,mse,2,0.15,5.380204,15.739839
0,mae,3,0.05,2.48798,15.424665
0,mae,3,0.075,6.638969,14.150305
0,mae,3,0.1,7.010419,14.126887
0,mae,3,0.15,8.75864,14.248439
0,mse,3,0.05,0.548644,15.172044
0,mse,3,0.075,3.905771,13.930861
0,mse,3,0.1,3.786196,13.869431
0,mse,3,0.15,5.053387,13.789679
0,mae,4,0.05,2.48798,15.424665
0,mae,4,0.075,6.331317,14.614779
0,mae,4,0.1,7.010419,14.386538
0,mae,4,0.15,8.332281,13.809376
0,mse,4,0.05,0.548644,15.172044
0,mse,4,0.075,3.308216,14.439569
0,mse,4,0.1,3.786196,13.839575
0,mse,4,0.15,4.772253,12.850776
0,mae,5,0.05,2.48798,15.257101
0,mae,5,0.075,6.40538,13.8848
0,mae,5,0.1,7.658547,14.678286
0,mae,5,0.15,8.523458,14.577227
0,mse,5,0.05,0.548644,14.100107
0,mse,5,0.075,3.363047,13.337166
0,mse,5,0.1,4.280002,14.234347
0,mse,5,0.15,5.080905,13.716802
0,mae,6,0.05,2.729219,15.003266
0,mae,6,0.075,7.251657,13.582272
0,mae,6,0.1,7.895311,14.368131
0,mae,6,0.15,8.769714,14.179089
0,mse,6,0.05,0.713367,13.625435
0,mse,6,0.075,4.342178,12.821819
0,mse,6,0.1,4.378844,13.819088
0,mse,6,0.15,5.680828,13.414879
0,mae,7,0.05,2.729219,15.003266
0,mae,7,0.075,7.029257,13.860682
0,mae,7,0.1,7.925488,13.189178
0,mae,7,0.15,8.465805,14.92477
0,mse,7,0.05,0.713367,13.625435
0,mse,7,0.075,4.185168,13.086719
0,mse,7,0.1,5.07439,11.88343
0,mse,7,0.15,4.941577,14.161651
0,mae,8,0.05,2.583796,16.017937
0,mae,8,0.075,3.45998,14.905371
0,mae,8,0.1,3.676303,15.231038
0,mae,8,0.15,5.036849,15.065275
0,mse,8,0.05,0.547626,15.424387
0,mse,8,0.075,0.814539,13.754704
0,mse,8,0.1,1.02057,14.512438
0,mse,8,0.15,1.718113,14.383664
0,mae,9,0.05,2.598607,15.868154
0,mae,9,0.075,3.45998,14.905371
0,mae,9,0.1,4.044939,14.525509
0,mae,9,0.15,9.038458,13.488699
0,mse,9,0.05,0.551183,15.330944
0,mse,9,0.075,0.814539,13.754704
0,mse,9,0.1,1.116398,13.378595
0,mse,9,0.15,6.4812,12.808178
0,mae,10,0.05,2.598607,15.05488
0,mae,10,0.075,3.517654,14.905371
0,mae,10,0.1,4.044939,14.62434
0,mae,10,0.15,8.665999,14.635346
0,mse,10,0.05,0.551183,14.300323
0,mse,10,0.075,0.814446,13.754704
0,mse,10,0.1,1.116398,14.215039
0,mse,10,0.15,5.768462,13.699665
0,mae,11,0.05,2.24115,15.05488
0,mae,11,0.075,7.830489,14.653734
0,mae,11,0.1,7.896805,14.657936
0,mae,11,0.15,9.494623,15.343184
0,mse,11,0.05,0.463416,14.300323
0,mse,11,0.075,5.462173,14.343488
0,mse,11,0.1,5.206901,14.271049
0,mse,11,0.15,6.400932,14.800205
0,mae,12,0.05,2.24115,15.05488
0,mae,12,0.075,7.80948,14.707322
0,mae,12,0.1,7.896805,14.575621
0,mae,12,0.15,9.735615,14.117401
0,mse,12,0.05,0.463416,14.300323
0,mse,12,0.075,5.162925,14.446368
0,mse,12,0.1,5.206901,13.985535
0,mse,12,0.15,6.58931,13.044514
0,mae,13,0.05,2.24115,14.495691
0,mae,13,0.075,7.79349,14.484863
0,mae,13,0.1,8.719902,15.033218
0,mae,13,0.15,9.086146,14.482784
0,mse,13,0.05,0.463416,13.15675
0,mse,13,0.075,5.138923,13.952281
0,mse,13,0.1,5.84796,14.713482
0,mse,13,0.15,5.949206,13.825609
0,mae,14,0.05,2.597124,13.942242
0,mae,14,0.075,8.089025,14.398567
0,mae,14,0.1,9.330584,15.084301
0,mae,14,0.15,9.811201,15.047014
0,mse,14,0.05,0.647313,12.881576
0,mse,14,0.075,5.378806,13.706493
0,mse,14,0.1,6.073954,14.98756
0,mse,14,0.15,6.805195,14.50173
0,mae,15,0.05,2.597124,13.942242
0,mae,15,0.075,8.633663,14.945562
0,mae,15,0.1,9.162392,14.873692
0,mae,15,0.15,9.555314,15.317854
0,mse,15,0.05,0.647313,12.881576
0,mse,15,0.075,5.744754,14.213301
0,mse,15,0.1,6.058772,14.598736
0,mse,15,0.15,6.639162,14.85651
0,mae,16,0.05,2.74189,15.241846
0,mae,16,0.075,3.918834,14.998594
0,mae,16,0.1,4.291484,15.378043
