batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,4.844059,17.324844
0,mae,0,0.075,5.953502,16.88652
0,mae,0,0.1,6.760055,17.469393
0,mae,0,0.15,7.990219,17.99781
0,mse,0,0.05,1.659209,20.233749
0,mse,0,0.075,2.453963,19.635145
0,mse,0,0.1,3.055101,20.419312
0,mse,0,0.15,4.186604,21.315254
0,mae,1,0.05,5.143934,17.807278
0,mae,1,0.075,6.487988,18.407986
0,mae,1,0.1,7.087477,18.294128
0,mae,1,0.15,7.964797,18.081329
0,mse,1,0.05,1.923246,20.448847
0,mse,1,0.075,2.707538,21.830057
0,mse,1,0.1,3.297808,21.786518
0,mse,1,0.15,4.195055,21.537067
0,mae,2,0.05,4.901262,16.717339
0,mae,2,0.075,6.281147,16.70505
0,mae,2,0.1,6.589843,15.714205
0,mae,2,0.15,7.861501,15.819813
0,mse,2,0.05,1.730467,18.753736
0,mse,2,0.075,2.690036,18.703739
0,mse,2,0.1,2.817749,17.686737
0,mse,2,0.15,3.984254,17.817984
0,mae,3,0.05,4.837995,17.486181
0,mae,3,0.075,6.722342,17.032547
0,mae,3,0.1,7.285714,16.903566
0,mae,3,0.15,9.345756,16.262295
0,mse,3,0.05,1.576972,20.121374
0,mse,3,0.075,2.884823,19.896179
0,mse,3,0.1,3.333576,19.741714
0,mse,3,0.15,5.03521,18.839809
0,mae,4,0.05,4.870983,17.430519
0,mae,4,0.075,5.837414,16.972492
0,mae,4,0.1,6.900198,16.864452
0,mae,4,0.15,8.2373,17.06443
0,mse,4,0.05,1.716015,20.099037
0,mse,4,0.075,2.288045,19.880192
0,mse,4,0.1,3.178056,19.499844
0,mse,4,0.15,4.518667,19.912994
0,mae,5,0.05,4.871791,16.730507
0,mae,5,0.075,6.226671,17.499813
0,mae,5,0.1,7.095588,17.602789
0,mae,5,0.15,8.657171,18.050001
0,mse,5,0.05,1.689489,19.195255
0,mse,5,0.075,2.490103,20.321667
0,mse,5,0.1,3.361524,20.532267
0,mse,5,0.15,4.792627,21.279724
0,mae,6,0.05,4.815571,16.961132
0,mae,6,0.075,6.336484,16.789703
0,mae,6,0.1,7.1645,16.801353
0,mae,6,0.15,8.29439,16.968555
0,mse,6,0.05,1.648745,19.1134
0,mse,6,0.075,2.629842,18.858387
0,mse,6,0.1,3.218432,18.911982
0,mse,6,0.15,4.535969,19.958069
0,mae,7,0.05,5.940721,16.815605
0,mae,7,0.075,6.592069,17.448002
0,mae,7,0.1,7.817976,17.561764
0,mae,7,0.15,9.697279,16.891285
0,mse,7,0.05,2.412661,18.59696
0,mse,7,0.075,2.770635,20.102945
0,mse,7,0.1,3.780374,20.469303
0,mse,7,0.15,5.700172,19.243387
0,mae,8,0.05,5.204139,16.515675
0,mae,8,0.075,6.609879,17.104374
0,mae,8,0.1,7.750638,17.032501
0,mae,8,0.15,9.285717,17.015293
0,mse,8,0.05,1.912372,17.712856
0,mse,8,0.075,2.901582,18.478334
0,mse,8,0.1,4.01389,18.802303
0,mse,8,0.15,5.277039,18.633383
0,mae,9,0.05,5.691902,16.397251
0,mae,9,0.075,7.308034,16.832016
0,mae,9,0.1,7.707393,17.360292
0,mae,9,0.15,9.031887,17.667835
0,mse,9,0.05,2.147548,17.641645
0,mse,9,0.075,3.371446,18.98678
0,mse,9,0.1,3.752318,19.61212
0,mse,9,0.15,4.927645,20.060747
0,mae,10,0.05,5.458792,15.858101
0,mae,10,0.075,7.588774,16.817223
0,mae,10,0.1,8.59082,16.880114
0,mae,10,0.15,9.989289,17.035589
0,mse,10,0.05,2.097985,17.077137
0,mse,10,0.075,3.580545,18.097187
0,mse,10,0.1,4.529895,18.492838
0,mse,10,0.15,5.96199,19.061514
0,mae,11,0.05,5.812784,16.159935
0,mae,11,0.075,7.209532,15.960955
0,mae,11,0.1,8.410598,15.556723
0,mae,11,0.15,9.890654,15.023272
