batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,9.289374,16.128353
0,mae,0,0.075,9.802322,15.202167
0,mae,0,0.1,9.854123,15.027298
0,mae,0,0.15,10.923692,13.836968
0,mse,0,0.05,5.570646,16.97887
0,mse,0,0.075,6.341273,15.303491
0,mse,0,0.1,6.737116,14.168703
0,mse,0,0.15,8.675586,12.501459
0,mae,1,0.05,8.988165,15.433524
0,mae,1,0.075,9.825811,14.524639
0,mae,1,0.1,10.526358,14.83658
0,mae,1,0.15,11.311511,13.984999
0,mse,1,0.05,5.393335,15.766371
0,mse,1,0.075,6.26297,14.400228
0,mse,1,0.1,6.987767,14.096265
0,mse,1,0.15,8.624561,12.358278
0,mae,2,0.05,9.754199,15.247648
0,mae,2,0.075,9.516222,15.026493
0,mae,2,0.1,10.298873,14.93429
0,mae,2,0.15,11.163027,13.740644
0,mse,2,0.05,6.174656,15.079918
0,mse,2,0.075,6.250593,14.524042
0,mse,2,0.1,6.72493,14.462343
0,mse,2,0.15,8.111174,12.330898
0,mae,3,0.05,9.122128,15.533646
0,mae,3,0.075,9.350987,16.069944
0,mae,3,0.1,9.846615,14.181713
0,mae,3,0.15,11.457191,13.887995
0,mse,3,0.05,5.685346,15.501345
0,mse,3,0.075,5.9516,16.676863
0,mse,3,0.1,6.254154,14.111107
0,mse,3,0.15,8.211822,12.500834
0,mae,4,0.05,8.768873,16.127861
0,mae,4,0.075,9.024196,15.602748
0,mae,4,0.1,9.257304,16.092705
0,mae,4,0.15,10.989141,14.367064
0,mse,4,0.05,5.717635,15.963255
0,mse,4,0.075,5.976746,15.168005
0,mse,4,0.1,6.299172,16.336557
0,mse,4,0.15,7.685393,13.711417
0,mae,5,0.05,7.989661,17.293192
0,mae,5,0.075,8.677011,16.179062
0,mae,5,0.1,9.111668,16.399719
0,mae,5,0.15,9.782152,14.273254
0,mse,5,0.05,5.017479,18.220249
0,mse,5,0.075,5.414932,16.909452
0,mse,5,0.1,6.022132,17.225327
0,mse,5,0.15,6.326134,13.918996
0,mae,6,0.05,8.290836,16.475113
0,mae,6,0.075,8.538054,16.989849
0,mae,6,0.1,9.281305,17.731815
0,mae,6,0.15,8.977905,15.672555
0,mse,6,0.05,5.215746,16.827034
0,mse,6,0.075,5.616213,17.344578
0,mse,6,0.1,6.016669,18.549229
0,mse,6,0.15,5.940383,15.267092
0,mae,7,0.05,8.374233,15.920614
0,mae,7,0.075,8.887156,16.313766
0,mae,7,0.1,9.063437,16.272243
0,mae,7,0.15,10.834992,14.284416
0,mse,7,0.05,5.435814,15.918475
0,mse,7,0.075,6.016325,16.536533
0,mse,7,0.1,6.24896,16.419638
0,mse,7,0.15,8.167107,13.53026
0,mae,8,0.05,8.003952,17.144497
0,mae,8,0.075,9.616308,16.241085
0,mae,8,0.1,10.273997,16.506014
0,mae,8,0.15,11.690199,15.562973
0,mse,8,0.05,5.225485,18.173258
0,mse,8,0.075,6.843194,16.667471
0,mse,8,0.1,7.349946,16.96109
