batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.303815,14.067142
0,mae,0,0.075,7.250532,13.753233
0,mae,0,0.1,7.846566,13.628542
0,mae,0,0.15,8.44165,13.455946
0,mse,0,0.05,4.889471,12.894049
0,mse,0,0.075,5.651579,12.287294
0,mse,0,0.1,6.076341,11.98875
0,mse,0,0.15,6.755312,11.404065
0,mae,1,0.05,6.33771,13.70966
0,mae,1,0.075,8.087731,14.384803
0,mae,1,0.1,8.626103,14.04522
0,mae,1,0.15,9.359853,13.656897
0,mse,1,0.05,4.759469,12.157782
0,mse,1,0.075,6.840667,13.45323
0,mse,1,0.1,7.133426,12.585465
0,mse,1,0.15,7.476749,12.393846
0,mae,2,0.05,5.984132,13.322605
0,mae,2,0.075,6.894903,13.096485
0,mae,2,0.1,8.366165,13.319845
0,mae,2,0.15,8.254286,14.265606
0,mse,2,0.05,4.760314,11.416134
0,mse,2,0.075,5.133411,11.33709
0,mse,2,0.1,6.863859,11.786114
0,mse,2,0.15,6.525712,13.299225
0,mae,3,0.05,6.792641,13.268687
0,mae,3,0.075,7.841923,12.991464
0,mae,3,0.1,8.157712,12.9426
0,mae,3,0.15,8.17652,13.500956
0,mse,3,0.05,5.83007,11.210827
0,mse,3,0.075,6.645261,11.23049
0,mse,3,0.1,6.769875,11.255232
0,mse,3,0.15,5.822945,12.075695
0,mae,4,0.05,5.645218,13.029028
0,mae,4,0.075,8.513019,13.445545
0,mae,4,0.1,8.881198,12.79541
0,mae,4,0.15,9.639716,12.606483
0,mse,4,0.05,3.939806,10.775024
0,mse,4,0.075,7.461659,11.90828
0,mse,4,0.1,7.446497,11.065937
0,mse,4,0.15,7.651229,10.700247
0,mae,5,0.05,3.495788,13.199828
0,mae,5,0.075,6.27136,13.150238
0,mae,5,0.1,6.407733,12.544355
0,mae,5,0.15,7.342185,12.688946
0,mse,5,0.05,1.777861,11.694403
0,mse,5,0.075,5.152157,11.820744
0,mse,5,0.1,5.44851,11.158667
0,mse,5,0.15,5.306475,11.00325
0,mae,6,0.05,3.324269,14.012573
0,mae,6,0.075,7.343132,13.064312
0,mae,6,0.1,7.828664,12.622705
0,mae,6,0.15,9.1487,12.236864
0,mse,6,0.05,1.682238,13.557333
0,mse,6,0.075,5.790873,11.377202
0,mse,6,0.1,6.225825,11.013016
0,mse,6,0.15,7.086923,10.606395
0,mae,7,0.05,6.811153,12.076061
0,mae,7,0.075,8.911165,11.785897
0,mae,7,0.1,9.130006,11.692247
0,mae,7,0.15,10.049604,11.909528
0,mse,7,0.05,5.273833,9.403635
0,mse,7,0.075,8.040385,9.339514
0,mse,7,0.1,8.027875,9.071949
0,mse,7,0.15,9.191751,9.226342
0,mae,8,0.05,5.978519,13.804842
0,mae,8,0.075,7.011727,13.512014
0,mae,8,0.1,7.463204,13.494236
0,mae,8,0.15,8.851622,14.14542
0,mse,8,0.05,4.431849,12.627478
0,mse,8,0.075,5.854761,12.097423
0,mse,8,0.1,6.287017,11.826859
0,mse,8,0.15,7.718309,13.128933
0,mae,9,0.05,6.034492,13.379522
0,mae,9,0.075,7.374146,14.447474
0,mae,9,0.1,7.700812,14.023453
0,mae,9,0.15,9.242111,15.26243
0,mse,9,0.05,4.717988,12.017716
0,mse,9,0.075,6.485591,13.63464
0,mse,9,0.1,6.609358,13.001689
0,mse,9,0.15,7.480152,14.944617
0,mae,10,0.05,6.588736,13.073301
0,mae,10,0.075,7.462726,13.407578
0,mae,10,0.1,8.135006,14.284318
0,mae,10,0.15,8.842803,14.667917
0,mse,10,0.05,5.359671,11.80873
0,mse,10,0.075,5.961797,12.01056
0,mse,10,0.1,6.838253,13.435369
0,mse,10,0.15,7.268713,14.785329
0,mae,11,0.05,6.679171,13.794279
0,mae,11,0.075,8.008745,14.536705
0,mae,11,0.1,8.668337,14.124018
0,mae,11,0.15,8.80946,14.158858
0,mse,11,0.05,5.370412,12.850133
0,mse,11,0.075,6.603368,13.590848
0,mse,11,0.1,6.795433,13.112707
0,mse,11,0.15,7.039718,13.366198
0,mae,12,0.05,5.085824,14.355005
0,mae,12,0.075,7.541272,14.444632
0,mae,12,0.1,7.556288,13.81461
0,mae,12,0.15,8.436012,13.584103
0,mse,12,0.05,3.099815,13.596928
0,mse,12,0.075,6.292143,14.033971
