batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.045719,13.695681
0,mae,0,0.075,3.774802,13.36384
0,mae,0,0.1,5.373943,13.497347
0,mae,0,0.15,6.848558,11.284092
0,mse,0,0.05,0.430166,12.147709
0,mse,0,0.075,1.259706,11.581435
0,mse,0,0.1,2.515532,12.241183
0,mse,0,0.15,4.043597,8.683838
0,mae,1,0.05,2.4762,13.262951
0,mae,1,0.075,3.859972,13.16544
0,mae,1,0.1,4.146098,13.241186
0,mae,1,0.15,7.959468,10.914629
0,mse,1,0.05,0.581919,11.728291
0,mse,1,0.075,1.192496,11.675373
0,mse,1,0.1,1.374013,12.099482
0,mse,1,0.15,4.745898,8.278435
0,mae,2,0.05,2.24149,13.45335
0,mae,2,0.075,3.738115,13.504124
0,mae,2,0.1,5.748307,13.135628
0,mae,2,0.15,7.918428,10.778812
0,mse,2,0.05,0.503728,12.003201
0,mse,2,0.075,1.193263,12.337229
0,mse,2,0.1,2.678405,12.181187
0,mse,2,0.15,4.729424,7.979274
0,mae,3,0.05,2.693716,13.578321
0,mae,3,0.075,3.554585,13.503465
0,mae,3,0.1,6.153293,12.399401
0,mae,3,0.15,8.069702,10.837183
0,mse,3,0.05,0.654056,12.108695
0,mse,3,0.075,1.17729,12.119801
0,mse,3,0.1,3.246429,10.453405
0,mse,3,0.15,4.769278,8.018179
0,mae,4,0.05,2.368426,13.505319
0,mae,4,0.075,3.03937,13.200976
0,mae,4,0.1,3.745537,12.379959
0,mae,4,0.15,6.430255,11.013371
0,mse,4,0.05,0.48816,11.857083
0,mse,4,0.075,0.784093,11.526377
0,mse,4,0.1,1.117395,10.351817
0,mse,4,0.15,3.176787,8.003469
0,mae,5,0.05,1.729584,13.167503
0,mae,5,0.075,2.821982,12.25972
0,mae,5,0.1,5.801132,11.914204
0,mae,5,0.15,8.754251,11.210182
0,mse,5,0.05,0.28525,11.301895
0,mse,5,0.075,0.666071,9.970428
0,mse,5,0.1,3.253791,9.665009
0,mse,5,0.15,5.401783,8.488577
0,mae,6,0.05,2.232765,13.4125
