batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.142209,10.860371
0,mae,0,0.075,6.602025,10.317461
0,mae,0,0.1,6.951138,9.395235
0,mae,0,0.15,9.477075,7.949986
0,mse,0,0.05,2.558992,7.682902
0,mse,0,0.075,3.287597,6.840746
0,mse,0,0.1,3.587085,6.151775
0,mse,0,0.15,6.010924,4.406827
0,mae,1,0.05,5.414349,10.6
0,mae,1,0.075,6.420172,10.353289
0,mae,1,0.1,8.785078,8.957278
0,mae,1,0.15,8.455915,8.461892
0,mse,1,0.05,2.872016,7.234685
0,mse,1,0.075,3.477104,6.950764
0,mse,1,0.1,5.697385,5.46452
0,mse,1,0.15,5.081995,4.974314
0,mae,2,0.05,5.102875,10.707302
0,mae,2,0.075,6.182147,10.454842
0,mae,2,0.1,8.691015,9.566149
0,mae,2,0.15,8.673428,8.619467
0,mse,2,0.05,2.680086,7.401356
0,mse,2,0.075,3.226452,7.074804
0,mse,2,0.1,5.80864,6.120442
0,mse,2,0.15,5.280767,5.305098
0,mae,3,0.05,4.765429,10.295317
0,mae,3,0.075,5.882392,10.242943
0,mae,3,0.1,6.826621,9.559546
0,mae,3,0.15,8.996037,8.544382
0,mse,3,0.05,2.368052,6.969071
0,mse,3,0.075,2.766042,6.918632
0,mse,3,0.1,3.325769,6.13545
0,mse,3,0.15,5.505998,5.214792
0,mae,4,0.05,5.386332,10.424242
0,mae,4,0.075,5.987231,9.574255
0,mae,4,0.1,6.760851,9.718548
0,mae,4,0.15,9.200946,8.384255
0,mse,4,0.05,2.598705,7.191174
0,mse,4,0.075,2.816169,6.391262
0,mse,4,0.1,3.295857,6.41299
0,mse,4,0.15,5.833618,4.66153
0,mae,5,0.05,4.854742,10.537575
0,mae,5,0.075,5.830169,9.846048
0,mae,5,0.1,8.305904,8.990252
0,mae,5,0.15,9.163313,8.322435
0,mse,5,0.05,2.270402,7.27223
0,mse,5,0.075,2.880101,6.551135
0,mse,5,0.1,5.602577,5.631142
0,mse,5,0.15,5.649319,4.693836
0,mae,6,0.05,3.465613,11.653742
0,mae,6,0.075,6.293701,9.718989
0,mae,6,0.1,7.67596,8.979157
0,mae,6,0.15,9.345124,8.265526
0,mse,6,0.05,0.887913,8.923679
0,mse,6,0.075,3.464089,6.649662
0,mse,6,0.1,4.24581,5.536979
0,mse,6,0.15,5.909103,4.72186
0,mae,7,0.05,6.983204,11.679621
0,mae,7,0.075,6.932108,9.774035
0,mae,7,0.1,7.148118,9.087423
0,mae,7,0.15,9.172998,8.121096
0,mse,7,0.05,4.505646,9.057041
0,mse,7,0.075,4.3113,6.468224
0,mse,7,0.1,3.867393,5.630358
0,mse,7,0.15,5.733034,4.526993
0,mae,8,0.05,4.393615,11.428674
0,mae,8,0.075,5.424424,11.233717
0,mae,8,0.1,5.773207,10.879784
0,mae,8,0.15,8.93816,8.271156
0,mse,8,0.05,2.020651,8.547548
0,mse,8,0.075,2.37657,8.178564
0,mse,8,0.1,2.465286,7.704328
0,mse,8,0.15,5.579024,4.577483
0,mae,9,0.05,4.648847,10.945262
0,mae,9,0.075,5.317915,11.000128
0,mae,9,0.1,7.452629,10.342846
0,mae,9,0.15,8.097857,8.289167
0,mse,9,0.05,2.136096,7.554468
0,mse,9,0.075,2.165122,7.901582
0,mse,9,0.1,4.341809,6.999287
0,mse,9,0.15,4.599598,4.669787
0,mae,10,0.05,4.509855,11.760735
0,mae,10,0.075,5.409087,11.352248
0,mae,10,0.1,7.52171,10.684638
0,mae,10,0.15,8.295351,8.651299
0,mse,10,0.05,2.080409,8.969315
0,mse,10,0.075,2.492795,8.220829
0,mse,10,0.1,4.407797,7.395687
0,mse,10,0.15,4.78111,5.098156
0,mae,11,0.05,3.73986,11.171938
0,mae,11,0.075,5.295815,10.883636
0,mae,11,0.1,5.893168,10.018188
0,mae,11,0.15,8.109426,8.467773
0,mse,11,0.05,1.165121,7.979854
0,mse,11,0.075,2.10394,7.394706
0,mse,11,0.1,2.573565,6.623143
0,mse,11,0.15,4.538073,4.957997
0,mae,12,0.05,4.988499,10.969043
0,mae,12,0.075,5.44296,10.914151
0,mae,12,0.1,6.051135,10.955873
0,mae,12,0.15,9.100149,8.586401
0,mse,12,0.05,2.214102,7.463588
0,mse,12,0.075,2.267529,7.687289
0,mse,12,0.1,2.728425,7.613541
0,mse,12,0.15,5.664522,5.011301
0,mae,13,0.05,3.934729,11.431646
0,mae,13,0.075,5.039151,10.988354
0,mae,13,0.1,7.610446,9.547338
0,mae,13,0.15,9.194269,8.609345
0,mse,13,0.05,1.157406,8.082279
0,mse,13,0.075,1.837964,7.682412
0,mse,13,0.1,4.088802,5.817938
0,mse,13,0.15,5.654672,4.976611
0,mae,14,0.05,4.196521,11.468555
0,mae,14,0.075,7.15967,10.629365
0,mae,14,0.1,7.451875,9.70956
0,mae,14,0.15,9.342974,8.442825
0,mse,14,0.05,1.254664,8.439622
