batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.618277,13.7222
0,mae,0,0.075,3.257435,13.785434
0,mae,0,0.1,4.043332,13.974174
0,mae,0,0.15,5.748381,13.925951
0,mse,0,0.05,0.547515,12.59498
0,mse,0,0.075,0.737755,12.767807
0,mse,0,0.1,1.204784,12.903955
0,mse,0,0.15,2.502825,12.902643
0,mae,1,0.05,2.81909,13.948561
0,mae,1,0.075,3.838781,13.966784
0,mae,1,0.1,4.388976,13.971188
0,mae,1,0.15,5.579942,13.88138
0,mse,1,0.05,0.681839,13.057808
0,mse,1,0.075,1.213814,12.92887
0,mse,1,0.1,1.581577,13.074683
0,mse,1,0.15,2.32739,12.846741
0,mae,2,0.05,2.901602,14.143378
0,mae,2,0.075,4.128445,13.898269
0,mae,2,0.1,4.317656,13.998581
0,mae,2,0.15,5.067502,13.849592
0,mse,2,0.05,0.717173,13.351542
0,mse,2,0.075,1.499834,12.942597
0,mse,2,0.1,1.519871,13.008926
0,mse,2,0.15,2.119325,12.627684
0,mae,3,0.05,2.895058,13.623512
0,mae,3,0.075,3.748682,13.874321
0,mae,3,0.1,4.093687,14.156238
0,mae,3,0.15,5.20781,14.025076
0,mse,3,0.05,0.721529,12.443804
0,mse,3,0.075,1.193494,12.686872
0,mse,3,0.1,1.445397,13.11346
0,mse,3,0.15,2.242917,12.962773
0,mae,4,0.05,2.514275,14.147245
0,mae,4,0.075,3.750711,14.200218
0,mae,4,0.1,3.709459,14.08811
0,mae,4,0.15,5.274503,14.052164
0,mse,4,0.05,0.590277,13.242744
0,mse,4,0.075,1.280315,13.319155
0,mse,4,0.1,1.319738,13.120846
0,mse,4,0.15,2.302272,12.945109
0,mae,5,0.05,3.22977,13.939699
0,mae,5,0.075,4.207366,14.018408
0,mae,5,0.1,4.365496,13.977215
0,mae,5,0.15,5.512923,13.960184
0,mse,5,0.05,0.977842,12.763225
0,mse,5,0.075,1.71018,13.044479
0,mse,5,0.1,1.813654,13.133909
0,mse,5,0.15,2.496149,12.714556
0,mae,6,0.05,2.630271,13.848404
0,mae,6,0.075,3.640436,13.828485
0,mae,6,0.1,3.858779,13.866714
0,mae,6,0.15,4.852332,13.681296
0,mse,6,0.05,0.529603,12.672722
0,mse,6,0.075,1.211583,12.677709
