batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,4.352506,22.620077
0,mae,0,0.075,6.649922,22.981882
0,mae,0,0.1,8.575304,23.05323
0,mae,0,0.15,10.741591,21.137352
0,mse,0,0.05,1.90981,30.574905
0,mse,0,0.075,4.000027,31.480703
0,mse,0,0.1,5.898013,31.586369
0,mse,0,0.15,8.887591,26.702646
0,mae,1,0.05,4.743656,22.965969
0,mae,1,0.075,6.513929,23.311024
0,mae,1,0.1,9.331002,22.952065
0,mae,1,0.15,10.651739,20.065712
0,mse,1,0.05,2.104349,32.089916
0,mse,1,0.075,3.406938,32.735344
0,mse,1,0.1,6.617516,31.338869
0,mse,1,0.15,8.649161,24.177143
0,mae,2,0.05,4.137348,22.824623
0,mae,2,0.075,5.192307,22.756983
0,mae,2,0.1,8.921675,22.549881
0,mae,2,0.15,10.582306,20.171841
0,mse,2,0.05,1.759728,32.019474
0,mse,2,0.075,2.473129,31.036522
0,mse,2,0.1,6.186042,30.409893
0,mse,2,0.15,8.483682,24.179581
0,mae,3,0.05,4.553823,21.889111
0,mae,3,0.075,6.258492,21.898014
0,mae,3,0.1,7.89629,22.049536
0,mae,3,0.15,11.491683,18.474106
0,mse,3,0.05,1.99202,29.319727
0,mse,3,0.075,3.312614,29.204906
0,mse,3,0.1,5.265366,30.101274
0,mse,3,0.15,10.030696,20.605175
0,mae,4,0.05,5.431806,21.652817
0,mae,4,0.075,6.059539,21.847355
0,mae,4,0.1,9.388878,20.552876
0,mae,4,0.15,10.48111,19.314266
0,mse,4,0.05,2.765172,29.183176
0,mse,4,0.075,3.315104,29.235212
0,mse,4,0.1,6.759399,25.650652
0,mse,4,0.15,8.649991,22.997593
0,mae,5,0.05,4.418222,22.189287
0,mae,5,0.075,5.199411,22.527533
0,mae,5,0.1,8.130878,22.661404
0,mae,5,0.15,10.844513,19.414379
0,mse,5,0.05,2.070773,30.463467
0,mse,5,0.075,2.658491,31.421597
0,mse,5,0.1,5.345726,32.111847
0,mse,5,0.15,9.113941,23.210945
0,mae,6,0.05,4.48746,21.937788
0,mae,6,0.075,5.496442,22.186689
0,mae,6,0.1,8.269445,19.852692
0,mae,6,0.15,12.60102,18.370586
0,mse,6,0.05,2.107738,30.508554
0,mse,6,0.075,2.796473,31.21693
0,mse,6,0.1,6.867805,23.997551
0,mse,6,0.15,12.649627,20.34581
0,mae,7,0.05,4.434423,22.299873
0,mae,7,0.075,6.607626,22.073196
0,mae,7,0.1,11.291489,20.017925
0,mae,7,0.15,13.213396,18.413389
0,mse,7,0.05,2.021173,30.839724
0,mse,7,0.075,4.041328,30.596512
0,mse,7,0.1,10.885323,24.394026
0,mse,7,0.15,13.59285,20.504305
0,mae,8,0.05,4.749397,21.278042
0,mae,8,0.075,8.578807,20.801334
0,mae,8,0.1,10.158373,20.619606
0,mae,8,0.15,13.546331,19.607468
0,mse,8,0.05,2.086345,27.799347
0,mse,8,0.075,6.00601,26.301126
0,mse,8,0.1,7.951634,25.735256
0,mse,8,0.15,13.989998,23.276321
0,mae,9,0.05,4.788974,22.620125
0,mae,9,0.075,7.251676,22.46216
0,mae,9,0.1,11.506889,20.743637
0,mae,9,0.15,13.272476,19.108809
0,mse,9,0.05,2.151643,31.711605
0,mse,9,0.075,5.820138,31.919418
0,mse,9,0.1,10.476822,26.10088
0,mse,9,0.15,13.454329,21.738903
0,mae,10,0.05,4.328179,22.604687
0,mae,10,0.075,5.281238,21.166817
0,mae,10,0.1,9.913055,21.127941
0,mae,10,0.15,13.100416,18.256699
0,mse,10,0.05,1.917719,31.821766
0,mse,10,0.075,2.567609,27.893269
0,mse,10,0.1,8.746127,27.634895
0,mse,10,0.15,12.920694,20.440186
0,mae,11,0.05,4.723008,21.046595
0,mae,11,0.075,6.786466,20.582378
0,mae,11,0.1,8.488368,20.036839
0,mae,11,0.15,12.952137,17.773829
0,mse,11,0.05,2.093136,27.430304
0,mse,11,0.075,3.99861,26.98801
0,mse,11,0.1,6.115223,25.436905
0,mse,11,0.15,12.562494,19.425024
0,mae,12,0.05,6.224716,20.892323
0,mae,12,0.075,6.676783,20.560835
0,mae,12,0.1,10.933695,19.021433
0,mae,12,0.15,12.704895,17.640869
0,mse,12,0.05,3.479617,26.998573
0,mse,12,0.075,4.01165,26.449621
0,mse,12,0.1,9.388611,22.6339
