batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.747763,22.583548
0,mae,0,0.075,10.343042,22.365433
0,mae,0,0.1,12.799733,21.557987
0,mae,0,0.15,15.38659,21.390839
0,mse,0,0.05,6.434273,33.636303
0,mse,0,0.075,7.523644,32.998726
0,mse,0,0.1,11.362525,30.969372
0,mse,0,0.15,17.743202,30.555187
0,mae,1,0.05,8.747763,24.06456
0,mae,1,0.075,10.343042,23.848661
0,mae,1,0.1,11.375998,22.337967
0,mae,1,0.15,15.388103,22.041386
0,mse,1,0.05,6.434273,37.964745
0,mse,1,0.075,7.523644,37.089497
0,mse,1,0.1,9.548629,33.179741
0,mse,1,0.15,17.859869,32.438232
0,mae,2,0.05,11.320309,23.551588
0,mae,2,0.075,12.295486,23.26609
0,mae,2,0.1,13.067814,22.497545
0,mae,2,0.15,15.597795,19.953892
0,mse,2,0.05,11.790658,37.198338
0,mse,2,0.075,10.592006,36.280586
0,mse,2,0.1,12.09078,34.11599
0,mse,2,0.15,18.293446,26.672337
0,mae,3,0.05,8.785946,24.07658
0,mae,3,0.075,10.41044,23.885429
0,mae,3,0.1,11.396905,21.340237
0,mae,3,0.15,15.158639,19.749426
0,mse,3,0.05,6.300462,38.264454
0,mse,3,0.075,7.529624,37.394096
0,mse,3,0.1,9.462469,29.851067
0,mse,3,0.15,17.027428,24.893471
0,mae,4,0.05,11.831738,21.886211
0,mae,4,0.075,12.734531,21.64023
0,mae,4,0.1,12.896408,21.575991
0,mae,4,0.15,14.846067,21.704136
0,mse,4,0.05,14.262486,30.852835
0,mse,4,0.075,13.814701,30.102554
0,mse,4,0.1,13.691217,30.403645
0,mse,4,0.15,16.628254,30.473885
0,mae,5,0.05,11.831738,21.840837
0,mae,5,0.075,12.734531,21.605061
0,mae,5,0.1,12.896408,22.267706
0,mae,5,0.15,14.800621,22.336388
0,mse,5,0.05,14.262486,30.712513
0,mse,5,0.075,13.814701,29.966751
0,mse,5,0.1,13.691217,31.81065
0,mse,5,0.15,16.568161,31.858921
0,mae,6,0.05,12.154617,21.425182
0,mae,6,0.075,13.029385,21.147476
0,mae,6,0.1,13.086826,21.448563
0,mae,6,0.15,14.544738,22.713593
0,mse,6,0.05,14.505219,29.605963
0,mse,6,0.075,14.128479,28.686359
0,mse,6,0.1,13.372095,30.214489
0,mse,6,0.15,14.923327,33.095718
0,mae,7,0.05,10.845442,23.050911
0,mae,7,0.075,11.604399,22.657719
0,mae,7,0.1,13.560408,22.272755
0,mae,7,0.15,14.935048,22.532644
0,mse,7,0.05,13.190792,33.623463
0,mse,7,0.075,12.610744,32.528961
0,mse,7,0.1,14.478091,31.88176
0,mse,7,0.15,15.920315,32.618008
0,mae,8,0.05,10.774869,22.977905
0,mae,8,0.075,11.678245,22.547165
0,mae,8,0.1,13.612124,22.019896
0,mae,8,0.15,14.737234,20.909939
0,mse,8,0.05,13.068514,33.30151
0,mse,8,0.075,12.622072,32.173691
0,mse,8,0.1,14.701698,31.216454
0,mse,8,0.15,15.657934,28.645676
0,mae,9,0.05,10.774869,22.405964
0,mae,9,0.075,11.678245,21.98583
0,mae,9,0.1,12.699191,21.973515
0,mae,9,0.15,15.467071,21.996136
0,mse,9,0.05,13.068514,31.640984
0,mse,9,0.075,12.622072,30.755745
0,mse,9,0.1,13.964664,31.270714
0,mse,9,0.15,18.380711,31.22168
0,mae,10,0.05,12.073988,22.966089
0,mae,10,0.075,13.361308,22.628288
0,mae,10,0.1,13.669607,22.281509
0,mae,10,0.15,15.23012,21.051193
0,mse,10,0.05,14.305286,33.741066
0,mse,10,0.075,14.467884,32.970634
0,mse,10,0.1,14.925218,31.95315
0,mse,10,0.15,17.792646,29.276493
0,mae,11,0.05,11.03366,22.561756
0,mae,11,0.075,12.096363,22.124149
0,mae,11,0.1,12.671516,20.840227
0,mae,11,0.15,14.387326,20.825529
0,mse,11,0.05,13.138548,32.048859
0,mse,11,0.075,13.139977,31.133728
0,mse,11,0.1,13.906466,27.866638
0,mse,11,0.15,16.54077,27.594288
0,mae,12,0.05,11.820965,20.884747
0,mae,12,0.075,12.737012,20.614153
0,mae,12,0.1,12.746969,20.719337
0,mae,12,0.15,14.610999,21.247152
0,mse,12,0.05,14.365576,27.823116
0,mse,12,0.075,14.337042,27.333858
0,mse,12,0.1,13.780401,27.383709
0,mse,12,0.15,16.810177,29.049366
0,mae,13,0.05,11.820965,21.244556
0,mae,13,0.075,12.737012,20.942747
0,mae,13,0.1,12.746969,21.278463
0,mae,13,0.15,14.59473,21.422932
0,mse,13,0.05,14.365576,28.653543
0,mse,13,0.075,14.337042,28.09771
0,mse,13,0.1,13.780401,29.17606
0,mse,13,0.15,16.821741,29.826633
0,mae,14,0.05,12.752312,21.71442
0,mae,14,0.075,13.399234,21.400543
0,mae,14,0.1,13.235559,21.250658
0,mae,14,0.15,15.13362,21.552822
0,mse,14,0.05,15.52961,29.766376
0,mse,14,0.075,15.163763,29.18924
0,mse,14,0.1,14.113689,29.112103
0,mse,14,0.15,17.155142,30.341579
0,mae,15,0.05,8.80891,22.178514
0,mae,15,0.075,10.313906,21.977407
0,mae,15,0.1,12.868857,21.621914
0,mae,15,0.15,14.604055,21.776346
0,mse,15,0.05,6.44108,30.536255
0,mse,15,0.075,7.838582,30.28591
0,mse,15,0.1,13.589588,29.378498
0,mse,15,0.15,16.623447,30.166948
0,mae,16,0.05,8.79981,21.787884
0,mae,16,0.075,10.39781,21.57616
0,mae,16,0.1,12.959423,21.537218
0,mae,16,0.15,14.544196,21.774292
0,mse,16,0.05,6.483462,30.021141
0,mse,16,0.075,7.987145,29.650618
0,mse,16,0.1,13.738056,29.612322
0,mse,16,0.15,16.289852,30.986731
0,mae,17,0.05,8.79981,23.786701
0,mae,17,0.075,10.39781,23.752653
0,mae,17,0.1,11.23168,21.688789
0,mae,17,0.15,15.377717,21.198082
0,mse,17,0.05,6.483462,34.909595
0,mse,17,0.075,7.987145,34.736591
0,mse,17,0.1,9.352606,29.849121
0,mse,17,0.15,18.084375,28.659199
0,mae,18,0.05,12.134744,22.497629
0,mae,18,0.075,13.115768,22.252453
0,mae,18,0.1,13.667303,21.985527
0,mae,18,0.15,15.245418,20.170788
0,mse,18,0.05,14.65069,31.319616
0,mse,18,0.075,14.799381,30.768051
0,mse,18,0.1,15.798489,30.444555
0,mse,18,0.15,18.672871,26.668781
0,mae,19,0.05,9.192072,24.323292
0,mae,19,0.075,10.664291,24.142624
0,mae,19,0.1,11.237068,22.32021
0,mae,19,0.15,14.385152,21.649586
