batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,0.96875
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.109088,0.228653
0,cross_entropy,0,0.075,0.111863,0.216496
0,cross_entropy,0,0.1,0.114821,0.22317
0,cross_entropy,0,0.15,0.109945,0.211756
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,0.96875
0,accuracy,1,0.1,1.0,0.96875
0,accuracy,1,0.15,1.0,0.9375
0,cross_entropy,1,0.05,0.09756,0.209058
0,cross_entropy,1,0.075,0.099159,0.208798
0,cross_entropy,1,0.1,0.098495,0.198959
0,cross_entropy,1,0.15,0.097474,0.224031
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.060926,0.151966
1,cross_entropy,0,0.075,0.062526,0.147918
1,cross_entropy,0,0.1,0.063614,0.148887
1,cross_entropy,0,0.15,0.067125,0.164042
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.067427,0.149843
1,cross_entropy,1,0.075,0.068235,0.16207
1,cross_entropy,1,0.1,0.071518,0.168403
1,cross_entropy,1,0.15,0.078687,0.165951
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,0.96875
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,1.0
2,cross_entropy,0,0.05,0.062838,0.183989
2,cross_entropy,0,0.075,0.065484,0.184795
