batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.085223,0.191355
0,cross_entropy,0,0.075,0.084955,0.191362
0,cross_entropy,0,0.1,0.080916,0.187121
0,cross_entropy,0,0.15,0.074626,0.206778
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.085457,0.192594
0,cross_entropy,1,0.075,0.085929,0.192014
0,cross_entropy,1,0.1,0.076127,0.20001
0,cross_entropy,1,0.15,0.078031,0.198446
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.058316,0.175095
1,cross_entropy,0,0.075,0.058925,0.172879
1,cross_entropy,0,0.1,0.061772,0.156209
1,cross_entropy,0,0.15,0.057395,0.158878
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.056195,0.173835
1,cross_entropy,1,0.075,0.059587,0.17471
1,cross_entropy,1,0.1,0.061415,0.15947
1,cross_entropy,1,0.15,0.057229,0.166187
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,0.96875
2,cross_entropy,0,0.05,0.06345,0.197128
2,cross_entropy,0,0.075,0.064611,0.206085
