batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,0.96875,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.152594,0.088552
0,cross_entropy,0,0.075,0.16372,0.091142
0,cross_entropy,0,0.1,0.195137,0.079277
0,cross_entropy,0,0.15,0.174187,0.073868
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,0.96875,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.156944,0.08655
0,cross_entropy,1,0.075,0.16618,0.085405
0,cross_entropy,1,0.1,0.189481,0.078131
0,cross_entropy,1,0.15,0.182444,0.072882
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.9375,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,0.96875,1.0
1,accuracy,0,0.15,0.96875,1.0
1,cross_entropy,0,0.05,0.182215,0.114251
1,cross_entropy,0,0.075,0.183023,0.093782
1,cross_entropy,0,0.1,0.193261,0.085966
1,cross_entropy,0,0.15,0.188342,0.082186
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,0.9375,1.0
1,accuracy,1,0.075,0.90625,1.0
1,accuracy,1,0.1,0.96875,1.0
1,accuracy,1,0.15,0.96875,1.0
1,cross_entropy,1,0.05,0.184315,0.107371
1,cross_entropy,1,0.075,0.200904,0.097801
1,cross_entropy,1,0.1,0.194636,0.08619
1,cross_entropy,1,0.15,0.178811,0.072397
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,0.96875,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,1.0
2,cross_entropy,0,0.05,0.144483,0.112533
2,cross_entropy,0,0.075,0.145317,0.107491
