batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.935484
0,auc,0,0.075,1.0,0.935484
0,auc,0,0.1,0.935484,1.0
0,auc,0,0.15,0.967742,1.0
0,accuracy,0,0.05,0.96875,0.96875
0,accuracy,0,0.075,0.96875,0.96875
0,accuracy,0,0.1,0.96875,0.96875
0,accuracy,0,0.15,0.96875,0.96875
0,cross_entropy,0,0.05,0.127147,0.144489
0,cross_entropy,0,0.075,0.13488,0.143358
0,cross_entropy,0,0.1,0.147324,0.125548
0,cross_entropy,0,0.15,0.140771,0.136718
0,auc,1,0.05,0.967742,1.0
0,auc,1,0.075,1.0,1.0
0,auc,1,0.1,1.0,1.0
0,auc,1,0.15,1.0,0.967742
0,accuracy,1,0.05,0.96875,0.96875
0,accuracy,1,0.075,0.96875,0.96875
0,accuracy,1,0.1,0.96875,0.96875
0,accuracy,1,0.15,0.96875,0.96875
0,cross_entropy,1,0.05,0.127518,0.119891
0,cross_entropy,1,0.075,0.125335,0.124103
0,cross_entropy,1,0.1,0.126812,0.129145
0,cross_entropy,1,0.15,0.121374,0.13882
1,auc,0,0.05,1.0,1.0
1,auc,0,0.075,0.967742,1.0
1,auc,0,0.1,0.903226,1.0
1,auc,0,0.15,0.83871,1.0
1,accuracy,0,0.05,0.96875,0.96875
1,accuracy,0,0.075,0.96875,0.96875
1,accuracy,0,0.1,0.96875,0.96875
1,accuracy,0,0.15,0.96875,1.0
1,cross_entropy,0,0.05,0.140301,0.122162
1,cross_entropy,0,0.075,0.153906,0.113319
1,cross_entropy,0,0.1,0.154748,0.11544
1,cross_entropy,0,0.15,0.161083,0.111901
1,auc,1,0.05,1.0,0.935484
1,auc,1,0.075,1.0,0.967742
1,auc,1,0.1,1.0,0.967742
1,auc,1,0.15,1.0,0.967742
1,accuracy,1,0.05,0.96875,0.96875
1,accuracy,1,0.075,0.96875,0.96875
1,accuracy,1,0.1,0.96875,0.96875
1,accuracy,1,0.15,0.96875,0.96875
1,cross_entropy,1,0.05,0.116968,0.151261
1,cross_entropy,1,0.075,0.127564,0.140105
1,cross_entropy,1,0.1,0.133702,0.138284
1,cross_entropy,1,0.15,0.14747,0.127635
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
