batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.75,1.0
0,accuracy,0,0.075,0.75,1.0
0,accuracy,0,0.1,0.6875,1.0
0,accuracy,0,0.15,0.6875,1.0
0,cross_entropy,0,0.05,0.430592,0.045688
0,cross_entropy,0,0.075,0.483733,0.03996
0,cross_entropy,0,0.1,0.536465,0.035553
0,cross_entropy,0,0.15,0.591658,0.030214
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,0.9375
0,accuracy,1,0.1,1.0,0.875
0,accuracy,1,0.15,1.0,0.75
0,cross_entropy,1,0.05,0.064445,0.249928
0,cross_entropy,1,0.075,0.050001,0.319199
0,cross_entropy,1,0.1,0.041011,0.389358
0,cross_entropy,1,0.15,0.033457,0.477937
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.092017,0.036505
1,cross_entropy,0,0.075,0.106442,0.030584
1,cross_entropy,0,0.1,0.114218,0.028452
1,cross_entropy,0,0.15,0.128729,0.025361
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.023167,0.150912
1,cross_entropy,1,0.075,0.020713,0.167819
1,cross_entropy,1,0.1,0.019542,0.178454
1,cross_entropy,1,0.15,0.018629,0.189326
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,0.9375,1.0
2,cross_entropy,0,0.05,0.195451,0.045364
2,cross_entropy,0,0.075,0.215254,0.038494
