batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,1.0
0,auc,0,0.075,1.0,1.0
0,auc,0,0.1,1.0,1.0
0,auc,0,0.15,1.0,1.0
0,accuracy,0,0.05,0.9375,0.9375
0,accuracy,0,0.075,0.9375,0.9375
0,accuracy,0,0.1,0.9375,0.9375
0,accuracy,0,0.15,0.9375,0.9375
0,cross_entropy,0,0.05,0.151394,0.166841
0,cross_entropy,0,0.075,0.171992,0.159318
0,cross_entropy,0,0.1,0.169915,0.159981
0,cross_entropy,0,0.15,0.180938,0.158867
0,auc,1,0.05,1.0,1.0
0,auc,1,0.075,1.0,1.0
0,auc,1,0.1,1.0,1.0
0,auc,1,0.15,1.0,1.0
0,accuracy,1,0.05,0.9375,0.9375
0,accuracy,1,0.075,0.9375,0.9375
0,accuracy,1,0.1,0.9375,0.9375
0,accuracy,1,0.15,0.9375,0.9375
0,cross_entropy,1,0.05,0.156924,0.165457
0,cross_entropy,1,0.075,0.171959,0.159309
0,cross_entropy,1,0.1,0.172148,0.162838
0,cross_entropy,1,0.15,0.173532,0.163101
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.091446,0.092855
1,cross_entropy,0,0.075,0.087762,0.094228
1,cross_entropy,0,0.1,0.084231,0.099384
1,cross_entropy,0,0.15,0.080274,0.114795
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.085802,0.098128
1,cross_entropy,1,0.075,0.082459,0.101781
1,cross_entropy,1,0.1,0.079938,0.106319
1,cross_entropy,1,0.15,0.076684,0.119015
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,1.0
2,cross_entropy,0,0.05,0.080882,0.098705
2,cross_entropy,0,0.075,0.080268,0.099161
2,cross_entropy,0,0.1,0.085533,0.091559
2,cross_entropy,0,0.15,0.090934,0.087287
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,1.0,1.0
2,accuracy,1,0.075,1.0,1.0
2,accuracy,1,0.1,1.0,1.0
2,accuracy,1,0.15,1.0,1.0
2,cross_entropy,1,0.05,0.070735,0.106461
2,cross_entropy,1,0.075,0.072051,0.105999
2,cross_entropy,1,0.1,0.071819,0.106169
2,cross_entropy,1,0.15,0.073501,0.101731
3,auc,0,0.05,0.0,0.0
3,auc,0,0.075,0.0,0.0
3,auc,0,0.1,0.0,0.0
3,auc,0,0.15,0.0,0.0
3,accuracy,0,0.05,1.0,1.0
3,accuracy,0,0.075,1.0,1.0
3,accuracy,0,0.1,1.0,1.0
3,accuracy,0,0.15,1.0,1.0
3,cross_entropy,0,0.05,0.104439,0.097395
3,cross_entropy,0,0.075,0.099079,0.102684
3,cross_entropy,0,0.1,0.101182,0.10242
3,cross_entropy,0,0.15,0.103589,0.103148
3,auc,1,0.05,0.0,0.0
3,auc,1,0.075,0.0,0.0
3,auc,1,0.1,0.0,0.0
3,auc,1,0.15,0.0,0.0
3,accuracy,1,0.05,1.0,1.0
3,accuracy,1,0.075,1.0,1.0
3,accuracy,1,0.1,1.0,1.0
3,accuracy,1,0.15,1.0,1.0
3,cross_entropy,1,0.05,0.086279,0.11366
3,cross_entropy,1,0.075,0.084954,0.115386
3,cross_entropy,1,0.1,0.085396,0.116134
