batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,0.9375,1.0
0,accuracy,0,0.1,0.8125,1.0
0,accuracy,0,0.15,0.75,1.0
0,cross_entropy,0,0.05,0.294434,0.03148
0,cross_entropy,0,0.075,0.375168,0.024656
0,cross_entropy,0,0.1,0.435257,0.020989
0,cross_entropy,0,0.15,0.516968,0.016899
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.875
0,accuracy,1,0.075,1.0,0.8125
0,accuracy,1,0.1,1.0,0.8125
0,accuracy,1,0.15,1.0,0.8125
0,cross_entropy,1,0.05,0.031029,0.350978
0,cross_entropy,1,0.075,0.025975,0.410895
0,cross_entropy,1,0.1,0.022264,0.472351
0,cross_entropy,1,0.15,0.019191,0.530498
1,auc,0,0.05,1.0,0.2
1,auc,0,0.075,1.0,0.2
1,auc,0,0.1,1.0,0.2
1,auc,0,0.15,1.0,0.2
1,accuracy,0,0.05,0.875,0.9375
1,accuracy,0,0.075,0.875,0.9375
1,accuracy,0,0.1,0.875,0.9375
1,accuracy,0,0.15,0.875,0.9375
1,cross_entropy,0,0.05,0.261471,0.277869
1,cross_entropy,0,0.075,0.307101,0.277812
1,cross_entropy,0,0.1,0.340225,0.286253
1,cross_entropy,0,0.15,0.407329,0.29939
1,auc,1,0.05,1.0,1.0
1,auc,1,0.075,1.0,1.0
1,auc,1,0.1,1.0,1.0
1,auc,1,0.15,1.0,1.0
1,accuracy,1,0.05,0.9375,0.9375
1,accuracy,1,0.075,0.9375,0.875
1,accuracy,1,0.1,0.9375,0.875
1,accuracy,1,0.15,0.9375,0.8125
1,cross_entropy,1,0.05,0.200561,0.292837
1,cross_entropy,1,0.075,0.192983,0.348602
1,cross_entropy,1,0.1,0.203193,0.393798
1,cross_entropy,1,0.15,0.213486,0.449947
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,0.875,1.0
2,accuracy,0,0.15,0.875,1.0
2,cross_entropy,0,0.05,0.239908,0.02972
