batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,0.5625,1.0
0,accuracy,0,0.075,0.4375,1.0
0,accuracy,0,0.1,0.1875,1.0
0,accuracy,0,0.15,0.0,1.0
0,cross_entropy,0,0.05,1.060221,0.003871
0,cross_entropy,0,0.075,1.483937,0.0019
0,cross_entropy,0,0.1,1.879591,0.001116
0,cross_entropy,0,0.15,2.525465,0.000563
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.4375
0,accuracy,1,0.075,1.0,0.125
0,accuracy,1,0.1,1.0,0.0
0,accuracy,1,0.15,1.0,0.0
0,cross_entropy,1,0.05,0.005917,1.166983
0,cross_entropy,1,0.075,0.00287,1.685669
0,cross_entropy,1,0.1,0.001799,2.120173
0,cross_entropy,1,0.15,0.000814,2.693281
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,0.5625,1.0
1,accuracy,0,0.075,0.5,1.0
1,accuracy,0,0.1,0.1875,1.0
1,accuracy,0,0.15,0.0,1.0
1,cross_entropy,0,0.05,0.789278,0.004461
1,cross_entropy,0,0.075,1.197689,0.002271
1,cross_entropy,0,0.1,1.589889,0.001324
1,cross_entropy,0,0.15,2.278275,0.000618
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.4375
1,accuracy,1,0.075,1.0,0.1875
1,accuracy,1,0.1,1.0,0.0625
1,accuracy,1,0.15,1.0,0.0
1,cross_entropy,1,0.05,0.005597,1.116319
1,cross_entropy,1,0.075,0.002568,1.680246
1,cross_entropy,1,0.1,0.001526,2.136401
1,cross_entropy,1,0.15,0.000701,2.690249
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,0.75,1.0
2,accuracy,0,0.075,0.3125,1.0
2,accuracy,0,0.1,0.1875,1.0
2,accuracy,0,0.15,0.0625,1.0
2,cross_entropy,0,0.05,0.678455,0.004396
