batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.077575,0.122508
0,cross_entropy,0,0.075,0.074323,0.126592
0,cross_entropy,0,0.1,0.073543,0.125471
0,cross_entropy,0,0.15,0.080671,0.114803
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,1.0
0,accuracy,1,0.075,1.0,1.0
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.089196,0.108406
0,cross_entropy,1,0.075,0.085428,0.112974
0,cross_entropy,1,0.1,0.084121,0.112283
0,cross_entropy,1,0.15,0.087569,0.11311
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,0.96875
1,accuracy,0,0.075,1.0,0.96875
1,accuracy,0,0.1,1.0,0.96875
1,accuracy,0,0.15,1.0,0.96875
1,cross_entropy,0,0.05,0.065385,0.125385
1,cross_entropy,0,0.075,0.06585,0.127371
1,cross_entropy,0,0.1,0.069659,0.122324
1,cross_entropy,0,0.15,0.075143,0.122056
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.066991,0.11768
1,cross_entropy,1,0.075,0.064441,0.11949
1,cross_entropy,1,0.1,0.067812,0.119046
1,cross_entropy,1,0.15,0.067366,0.115291
2,auc,0,0.05,1.0,0.741935
2,auc,0,0.075,1.0,0.83871
2,auc,0,0.1,1.0,0.903226
2,auc,0,0.15,1.0,1.0
2,accuracy,0,0.05,1.0,0.96875
2,accuracy,0,0.075,1.0,0.96875
2,accuracy,0,0.1,0.96875,0.96875
2,accuracy,0,0.15,0.96875,0.96875
2,cross_entropy,0,0.05,0.093513,0.185258
