batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,1.0
0,accuracy,0,0.075,1.0,1.0
0,accuracy,0,0.1,1.0,1.0
0,accuracy,0,0.15,1.0,1.0
0,cross_entropy,0,0.05,0.074735,0.193835
0,cross_entropy,0,0.075,0.07677,0.197266
0,cross_entropy,0,0.1,0.08525,0.186671
0,cross_entropy,0,0.15,0.094085,0.177309
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.96875
0,accuracy,1,0.075,1.0,0.96875
0,accuracy,1,0.1,1.0,0.96875
0,accuracy,1,0.15,1.0,1.0
0,cross_entropy,1,0.05,0.079478,0.212104
0,cross_entropy,1,0.075,0.077247,0.215526
0,cross_entropy,1,0.1,0.0795,0.209915
0,cross_entropy,1,0.15,0.081063,0.20053
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,0.96875
1,accuracy,0,0.075,1.0,0.9375
1,accuracy,0,0.1,1.0,0.90625
1,accuracy,0,0.15,1.0,0.9375
1,cross_entropy,0,0.05,0.089795,0.249649
1,cross_entropy,0,0.075,0.107912,0.228257
1,cross_entropy,0,0.1,0.111007,0.251211
1,cross_entropy,0,0.15,0.116233,0.251706
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.96875
1,accuracy,1,0.075,1.0,0.9375
1,accuracy,1,0.1,0.96875,0.9375
1,accuracy,1,0.15,1.0,0.875
1,cross_entropy,1,0.05,0.13414,0.213644
1,cross_entropy,1,0.075,0.140811,0.213025
1,cross_entropy,1,0.1,0.157898,0.202853
1,cross_entropy,1,0.15,0.141756,0.229915
2,auc,0,0.05,1.0,0.483871
2,auc,0,0.075,1.0,0.774194
2,auc,0,0.1,1.0,0.870968
2,auc,0,0.15,1.0,0.903226
2,accuracy,0,0.05,1.0,0.96875
2,accuracy,0,0.075,1.0,0.96875
2,accuracy,0,0.1,1.0,0.96875
2,accuracy,0,0.15,1.0,0.90625
2,cross_entropy,0,0.05,0.087963,0.27664
