batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,1.0,0.548387
0,auc,0,0.075,1.0,0.83871
0,auc,0,0.1,1.0,0.967742
0,auc,0,0.15,1.0,0.967742
0,accuracy,0,0.05,1.0,0.96875
0,accuracy,0,0.075,1.0,0.9375
0,accuracy,0,0.1,1.0,0.9375
0,accuracy,0,0.15,1.0,0.9375
0,cross_entropy,0,0.05,0.105025,0.207772
0,cross_entropy,0,0.075,0.112678,0.162441
0,cross_entropy,0,0.1,0.111747,0.141227
0,cross_entropy,0,0.15,0.122783,0.143667
0,auc,1,0.05,1.0,0.774194
0,auc,1,0.075,1.0,0.806452
0,auc,1,0.1,1.0,0.870968
0,auc,1,0.15,1.0,0.870968
0,accuracy,1,0.05,1.0,0.96875
0,accuracy,1,0.075,1.0,0.9375
0,accuracy,1,0.1,1.0,0.9375
0,accuracy,1,0.15,1.0,0.9375
0,cross_entropy,1,0.05,0.100225,0.179261
0,cross_entropy,1,0.075,0.106359,0.1805
0,cross_entropy,1,0.1,0.107421,0.169169
0,cross_entropy,1,0.15,0.100702,0.171504
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,0.96875
1,accuracy,0,0.075,1.0,0.96875
1,accuracy,0,0.1,1.0,0.96875
1,accuracy,0,0.15,1.0,0.96875
1,cross_entropy,0,0.05,0.111569,0.145418
1,cross_entropy,0,0.075,0.104009,0.168792
1,cross_entropy,0,0.1,0.103999,0.192644
1,cross_entropy,0,0.15,0.108201,0.192094
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,0.96875
1,accuracy,1,0.075,1.0,0.96875
1,accuracy,1,0.1,1.0,0.96875
1,accuracy,1,0.15,1.0,0.9375
1,cross_entropy,1,0.05,0.105227,0.148361
1,cross_entropy,1,0.075,0.091325,0.186421
1,cross_entropy,1,0.1,0.090883,0.189987
1,cross_entropy,1,0.15,0.089307,0.196353
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,0.96875
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,1.0,1.0
2,accuracy,0,0.15,1.0,1.0
2,cross_entropy,0,0.05,0.102923,0.105033
2,cross_entropy,0,0.075,0.103161,0.09307
2,cross_entropy,0,0.1,0.111132,0.096505
2,cross_entropy,0,0.15,0.121352,0.097758
2,auc,1,0.05,0.0,0.0
2,auc,1,0.075,0.0,0.0
2,auc,1,0.1,0.0,0.0
2,auc,1,0.15,0.0,0.0
2,accuracy,1,0.05,1.0,1.0
2,accuracy,1,0.075,1.0,1.0
2,accuracy,1,0.1,1.0,1.0
2,accuracy,1,0.15,1.0,1.0
2,cross_entropy,1,0.05,0.109853,0.106833
2,cross_entropy,1,0.075,0.120203,0.092242
2,cross_entropy,1,0.1,0.125704,0.101161
2,cross_entropy,1,0.15,0.119728,0.111045
3,auc,0,0.05,1.0,1.0
3,auc,0,0.075,1.0,1.0
3,auc,0,0.1,0.967742,1.0
3,auc,0,0.15,0.83871,1.0
3,accuracy,0,0.05,1.0,0.96875
3,accuracy,0,0.075,1.0,1.0
3,accuracy,0,0.1,0.96875,1.0
3,accuracy,0,0.15,0.96875,1.0
3,cross_entropy,0,0.05,0.11626,0.139446
3,cross_entropy,0,0.075,0.122726,0.121797
3,cross_entropy,0,0.1,0.139617,0.110154
3,cross_entropy,0,0.15,0.166921,0.114564
3,auc,1,0.05,1.0,1.0
3,auc,1,0.075,0.967742,1.0
3,auc,1,0.1,0.967742,1.0
3,auc,1,0.15,0.967742,1.0
3,accuracy,1,0.05,1.0,1.0
3,accuracy,1,0.075,0.96875,1.0
3,accuracy,1,0.1,0.96875,1.0
3,accuracy,1,0.15,0.96875,1.0
3,cross_entropy,1,0.05,0.114795,0.137647
3,cross_entropy,1,0.075,0.124011,0.125249
3,cross_entropy,1,0.1,0.122715,0.121273
3,cross_entropy,1,0.15,0.12992,0.129413
4,auc,0,0.05,1.0,0.548387
4,auc,0,0.075,0.967742,0.709677
4,auc,0,0.1,1.0,0.774194
4,auc,0,0.15,1.0,0.870968
4,accuracy,0,0.05,1.0,0.96875
4,accuracy,0,0.075,0.96875,0.9375
4,accuracy,0,0.1,0.96875,0.9375
4,accuracy,0,0.15,0.96875,0.9375
4,cross_entropy,0,0.05,0.116881,0.184355
4,cross_entropy,0,0.075,0.127659,0.17751
4,cross_entropy,0,0.1,0.116074,0.181782
4,cross_entropy,0,0.15,0.133729,0.161491
4,auc,1,0.05,1.0,0.483871
4,auc,1,0.075,1.0,0.612903
4,auc,1,0.1,1.0,0.870968
4,auc,1,0.15,1.0,0.870968
4,accuracy,1,0.05,1.0,0.96875
4,accuracy,1,0.075,1.0,0.96875
4,accuracy,1,0.1,0.96875,0.96875
4,accuracy,1,0.15,0.96875,0.9375
4,cross_entropy,1,0.05,0.13455,0.186106
4,cross_entropy,1,0.075,0.141332,0.162198
4,cross_entropy,1,0.1,0.148429,0.158734
4,cross_entropy,1,0.15,0.143035,0.16764
5,auc,0,0.05,0.0,0.0
5,auc,0,0.075,0.0,0.0
5,auc,0,0.1,0.0,0.0
5,auc,0,0.15,0.0,0.0
5,accuracy,0,0.05,1.0,0.96875
5,accuracy,0,0.075,1.0,0.96875
5,accuracy,0,0.1,1.0,0.96875
5,accuracy,0,0.15,1.0,0.96875
5,cross_entropy,0,0.05,0.087956,0.202635
5,cross_entropy,0,0.075,0.086657,0.201551
5,cross_entropy,0,0.1,0.080729,0.215361
5,cross_entropy,0,0.15,0.078566,0.205273
5,auc,1,0.05,0.0,0.0
5,auc,1,0.075,0.0,0.0
5,auc,1,0.1,0.0,0.0
5,auc,1,0.15,0.0,0.0
5,accuracy,1,0.05,1.0,1.0
5,accuracy,1,0.075,1.0,1.0
5,accuracy,1,0.1,1.0,1.0
5,accuracy,1,0.15,1.0,1.0
5,cross_entropy,1,0.05,0.104974,0.147637
5,cross_entropy,1,0.075,0.105084,0.15886
5,cross_entropy,1,0.1,0.098185,0.155493
5,cross_entropy,1,0.15,0.10667,0.159075
6,auc,0,0.05,1.0,0.896552
6,auc,0,0.075,1.0,0.908046
6,auc,0,0.1,0.965517,1.0
6,auc,0,0.15,0.896552,0.977012
6,accuracy,0,0.05,0.9375,0.9375
6,accuracy,0,0.075,0.9375,0.9375
6,accuracy,0,0.1,0.90625,0.96875
6,accuracy,0,0.15,0.90625,0.9375
6,cross_entropy,0,0.05,0.171884,0.222969
6,cross_entropy,0,0.075,0.173842,0.215405
6,cross_entropy,0,0.1,0.201168,0.176879
6,cross_entropy,0,0.15,0.238181,0.170775
6,auc,1,0.05,1.0,0.873563
6,auc,1,0.075,0.988506,0.91954
6,auc,1,0.1,0.977012,0.908046
6,auc,1,0.15,0.931034,0.965517
6,accuracy,1,0.05,1.0,0.90625
6,accuracy,1,0.075,0.9375,0.90625
6,accuracy,1,0.1,0.9375,0.9375
6,accuracy,1,0.15,0.9375,0.90625
6,cross_entropy,1,0.05,0.171347,0.237652
6,cross_entropy,1,0.075,0.183783,0.213229
6,cross_entropy,1,0.1,0.18642,0.214266
6,cross_entropy,1,0.15,0.21796,0.175742
7,auc,0,0.05,0.83871,0.903226
7,auc,0,0.075,0.903226,0.870968
7,auc,0,0.1,0.967742,0.935484
7,auc,0,0.15,0.774194,0.967742
7,accuracy,0,0.05,0.96875,0.9375
7,accuracy,0,0.075,0.96875,0.9375
7,accuracy,0,0.1,0.9375,0.90625
7,accuracy,0,0.15,0.9375,0.96875
7,cross_entropy,0,0.05,0.175097,0.174112
7,cross_entropy,0,0.075,0.16994,0.184627
7,cross_entropy,0,0.1,0.164528,0.196539
7,cross_entropy,0,0.15,0.172313,0.178941
7,auc,1,0.05,0.967742,0.419355
7,auc,1,0.075,1.0,0.612903
7,auc,1,0.1,0.935484,0.870968
7,auc,1,0.15,0.741935,0.967742
7,accuracy,1,0.05,0.96875,0.9375
7,accuracy,1,0.075,0.96875,0.9375
7,accuracy,1,0.1,0.96875,0.96875
7,accuracy,1,0.15,0.96875,0.96875
7,cross_entropy,1,0.05,0.164069,0.220466
7,cross_entropy,1,0.075,0.165677,0.19294
7,cross_entropy,1,0.1,0.179218,0.177146
7,cross_entropy,1,0.15,0.178516,0.181215
8,auc,0,0.05,1.0,0.766667
8,auc,0,0.075,1.0,0.9
8,auc,0,0.1,0.983333,0.983333
8,auc,0,0.15,0.933333,0.983333
8,accuracy,0,0.05,1.0,0.9375
8,accuracy,0,0.075,0.96875,0.90625
8,accuracy,0,0.1,0.96875,0.90625
8,accuracy,0,0.15,0.9375,0.9375
8,cross_entropy,0,0.05,0.148575,0.251693
8,cross_entropy,0,0.075,0.144927,0.208224
8,cross_entropy,0,0.1,0.149965,0.214842
8,cross_entropy,0,0.15,0.177895,0.211234
8,auc,1,0.05,0.983333,0.9
8,auc,1,0.075,0.966667,0.966667
8,auc,1,0.1,0.966667,0.983333
8,auc,1,0.15,0.9,0.966667
8,accuracy,1,0.05,0.96875,0.9375
8,accuracy,1,0.075,0.90625,0.9375
8,accuracy,1,0.1,0.9375,0.96875
8,accuracy,1,0.15,0.9375,0.9375
8,cross_entropy,1,0.05,0.163999,0.207435
8,cross_entropy,1,0.075,0.184882,0.170227
8,cross_entropy,1,0.1,0.181451,0.168406
8,cross_entropy,1,0.15,0.207653,0.202469
9,auc,0,0.05,0.0,0.0
9,auc,0,0.075,0.0,0.0
9,auc,0,0.1,0.0,0.0
9,auc,0,0.15,0.0,0.0
9,accuracy,0,0.05,1.0,0.96875
9,accuracy,0,0.075,1.0,1.0
9,accuracy,0,0.1,1.0,1.0
9,accuracy,0,0.15,1.0,0.96875
9,cross_entropy,0,0.05,0.095687,0.128818
9,cross_entropy,0,0.075,0.097977,0.127026
9,cross_entropy,0,0.1,0.090758,0.139515
9,cross_entropy,0,0.15,0.080997,0.14715
9,auc,1,0.05,0.0,0.0
9,auc,1,0.075,0.0,0.0
9,auc,1,0.1,0.0,0.0
9,auc,1,0.15,0.0,0.0
9,accuracy,1,0.05,1.0,1.0
9,accuracy,1,0.075,1.0,0.9375
9,accuracy,1,0.1,1.0,0.96875
9,accuracy,1,0.15,1.0,1.0
9,cross_entropy,1,0.05,0.102233,0.118071
9,cross_entropy,1,0.075,0.101222,0.125683
9,cross_entropy,1,0.1,0.111152,0.1178
9,cross_entropy,1,0.15,0.109465,0.127554
10,auc,0,0.05,0.0,0.0
10,auc,0,0.075,0.0,0.0
10,auc,0,0.1,0.0,0.0
10,auc,0,0.15,0.0,0.0
10,accuracy,0,0.05,1.0,1.0
10,accuracy,0,0.075,1.0,1.0
10,accuracy,0,0.1,1.0,0.96875
10,accuracy,0,0.15,1.0,0.96875
10,cross_entropy,0,0.05,0.104427,0.140854
10,cross_entropy,0,0.075,0.108009,0.136505
10,cross_entropy,0,0.1,0.114189,0.140182
10,cross_entropy,0,0.15,0.139958,0.153209
10,auc,1,0.05,0.0,0.0
10,auc,1,0.075,0.0,0.0
10,auc,1,0.1,0.0,0.0
10,auc,1,0.15,0.0,0.0
10,accuracy,1,0.05,1.0,1.0
10,accuracy,1,0.075,1.0,0.96875
10,accuracy,1,0.1,1.0,1.0
10,accuracy,1,0.15,1.0,1.0
10,cross_entropy,1,0.05,0.089535,0.146644
10,cross_entropy,1,0.075,0.09768,0.144154
10,cross_entropy,1,0.1,0.105332,0.124161
10,cross_entropy,1,0.15,0.114374,0.106522
11,auc,0,0.05,1.0,0.666667
11,auc,0,0.075,1.0,0.770115
11,auc,0,0.1,1.0,0.827586
11,auc,0,0.15,0.954023,0.91954
11,accuracy,0,0.05,0.9375,0.90625
11,accuracy,0,0.075,0.9375,0.9375
11,accuracy,0,0.1,0.9375,0.9375
11,accuracy,0,0.15,0.90625,0.9375
11,cross_entropy,0,0.05,0.149616,0.299915
11,cross_entropy,0,0.075,0.161,0.256016
11,cross_entropy,0,0.1,0.164361,0.223423
11,cross_entropy,0,0.15,0.199143,0.189746
11,auc,1,0.05,0.954023,0.735632
11,auc,1,0.075,0.931035,0.885057
11,auc,1,0.1,0.896552,0.908046
11,auc,1,0.15,0.873563,0.942529
11,accuracy,1,0.05,0.9375,0.875
11,accuracy,1,0.075,0.9375,0.9375
11,accuracy,1,0.1,0.9375,0.9375
11,accuracy,1,0.15,0.9375,0.90625
11,cross_entropy,1,0.05,0.169774,0.291017
11,cross_entropy,1,0.075,0.19318,0.226899
11,cross_entropy,1,0.1,0.21826,0.205365
11,cross_entropy,1,0.15,0.226207,0.215189
12,auc,0,0.05,0.0,0.0
12,auc,0,0.075,0.0,0.0
12,auc,0,0.1,0.0,0.0
12,auc,0,0.15,0.0,0.0
12,accuracy,0,0.05,1.0,1.0
12,accuracy,0,0.075,1.0,0.96875
12,accuracy,0,0.1,1.0,0.96875
12,accuracy,0,0.15,1.0,1.0
12,cross_entropy,0,0.05,0.105805,0.128871
12,cross_entropy,0,0.075,0.10049,0.12954
12,cross_entropy,0,0.1,0.091505,0.135719
12,cross_entropy,0,0.15,0.094022,0.138082
12,auc,1,0.05,0.0,0.0
12,auc,1,0.075,0.0,0.0
12,auc,1,0.1,0.0,0.0
12,auc,1,0.15,0.0,0.0
12,accuracy,1,0.05,1.0,1.0
12,accuracy,1,0.075,1.0,1.0
12,accuracy,1,0.1,1.0,0.96875
12,accuracy,1,0.15,1.0,0.96875
12,cross_entropy,1,0.05,0.122824,0.116826
12,cross_entropy,1,0.075,0.112419,0.117955
12,cross_entropy,1,0.1,0.092575,0.129917
12,cross_entropy,1,0.15,0.101126,0.135439
13,auc,0,0.05,0.0,0.0
13,auc,0,0.075,0.0,0.0
13,auc,0,0.1,0.0,0.0
13,auc,0,0.15,0.0,0.0
13,accuracy,0,0.05,1.0,0.96875
13,accuracy,0,0.075,1.0,0.96875
13,accuracy,0,0.1,1.0,0.96875
13,accuracy,0,0.15,1.0,0.96875
13,cross_entropy,0,0.05,0.076402,0.118318
13,cross_entropy,0,0.075,0.072906,0.122713
13,cross_entropy,0,0.1,0.074312,0.119908
13,cross_entropy,0,0.15,0.086598,0.1211
13,auc,1,0.05,0.0,0.0
13,auc,1,0.075,0.0,0.0
13,auc,1,0.1,0.0,0.0
13,auc,1,0.15,0.0,0.0
13,accuracy,1,0.05,1.0,0.96875
13,accuracy,1,0.075,1.0,0.96875
13,accuracy,1,0.1,1.0,0.96875
13,accuracy,1,0.15,1.0,0.96875
13,cross_entropy,1,0.05,0.070948,0.120933
13,cross_entropy,1,0.075,0.063898,0.138505
13,cross_entropy,1,0.1,0.064455,0.134078
13,cross_entropy,1,0.15,0.067748,0.122932
14,auc,0,0.05,1.0,0.883333
14,auc,0,0.075,1.0,0.95
14,auc,0,0.1,1.0,0.933333
14,auc,0,0.15,1.0,0.933333
14,accuracy,0,0.05,1.0,0.96875
14,accuracy,0,0.075,0.96875,0.96875
14,accuracy,0,0.1,0.96875,0.90625
14,accuracy,0,0.15,0.96875,0.90625
14,cross_entropy,0,0.05,0.112475,0.158729
14,cross_entropy,0,0.075,0.115491,0.152465
14,cross_entropy,0,0.1,0.117567,0.18847
14,cross_entropy,0,0.15,0.125913,0.165267
14,auc,1,0.05,1.0,0.716667
14,auc,1,0.075,1.0,0.85
14,auc,1,0.1,1.0,0.9
14,auc,1,0.15,1.0,0.933333
14,accuracy,1,0.05,1.0,0.9375
14,accuracy,1,0.075,0.96875,0.90625
14,accuracy,1,0.1,0.96875,0.9375
14,accuracy,1,0.15,0.96875,0.96875
14,cross_entropy,1,0.05,0.109511,0.220649
14,cross_entropy,1,0.075,0.119979,0.208379
14,cross_entropy,1,0.1,0.11857,0.18584
14,cross_entropy,1,0.15,0.130998,0.160662
15,auc,0,0.05,1.0,0.733333
15,auc,0,0.075,1.0,0.866667
15,auc,0,0.1,0.983333,0.866667
15,auc,0,0.15,0.983333,0.916667
15,accuracy,0,0.05,1.0,0.9375
15,accuracy,0,0.075,0.96875,0.9375
15,accuracy,0,0.1,0.96875,0.96875
15,accuracy,0,0.15,0.9375,0.9375
15,cross_entropy,0,0.05,0.127582,0.232684
15,cross_entropy,0,0.075,0.145503,0.193605
15,cross_entropy,0,0.1,0.152189,0.187448
15,cross_entropy,0,0.15,0.163249,0.186194
15,auc,1,0.05,1.0,0.633333
15,auc,1,0.075,1.0,0.633333
15,auc,1,0.1,1.0,0.716667
15,auc,1,0.15,0.966667,0.833333
15,accuracy,1,0.05,1.0,0.9375
15,accuracy,1,0.075,1.0,0.9375
15,accuracy,1,0.1,0.96875,0.9375
15,accuracy,1,0.15,0.96875,0.96875
15,cross_entropy,1,0.05,0.124564,0.243443
15,cross_entropy,1,0.075,0.14178,0.23872
15,cross_entropy,1,0.1,0.138136,0.228033
15,cross_entropy,1,0.15,0.165287,0.186202
16,auc,0,0.05,0.967742,0.935484
16,auc,0,0.075,0.967742,0.935484
16,auc,0,0.1,0.967742,0.967742
16,auc,0,0.15,0.870968,1.0
16,accuracy,0,0.05,0.9375,0.96875
16,accuracy,0,0.075,0.9375,0.96875
16,accuracy,0,0.1,0.9375,0.96875
16,accuracy,0,0.15,0.96875,1.0
16,cross_entropy,0,0.05,0.133632,0.146852
16,cross_entropy,0,0.075,0.121421,0.151239
16,cross_entropy,0,0.1,0.131098,0.139165
16,cross_entropy,0,0.15,0.160931,0.135381
16,auc,1,0.05,0.967742,0.903226
16,auc,1,0.075,0.903226,1.0
16,auc,1,0.1,0.774194,1.0
16,auc,1,0.15,0.612903,1.0
16,accuracy,1,0.05,0.96875,0.96875
16,accuracy,1,0.075,0.96875,1.0
16,accuracy,1,0.1,0.96875,1.0
16,accuracy,1,0.15,0.96875,0.96875
16,cross_entropy,1,0.05,0.128126,0.136834
16,cross_entropy,1,0.075,0.151157,0.107484
16,cross_entropy,1,0.1,0.168599,0.110428
16,cross_entropy,1,0.15,0.177499,0.116529
17,auc,0,0.05,1.0,0.816092
17,auc,0,0.075,1.0,0.850575
17,auc,0,0.1,1.0,0.873563
17,auc,0,0.15,1.0,0.988506
17,accuracy,0,0.05,1.0,0.90625
17,accuracy,0,0.075,1.0,0.90625
17,accuracy,0,0.1,0.96875,0.9375
17,accuracy,0,0.15,0.96875,0.9375
17,cross_entropy,0,0.05,0.100412,0.281883
17,cross_entropy,0,0.075,0.111741,0.24435
17,cross_entropy,0,0.1,0.129934,0.217271
17,cross_entropy,0,0.15,0.155012,0.170873
17,auc,1,0.05,1.0,0.793103
17,auc,1,0.075,1.0,0.908046
17,auc,1,0.1,1.0,0.931035
17,auc,1,0.15,1.0,1.0
17,accuracy,1,0.05,1.0,0.875
17,accuracy,1,0.075,1.0,0.9375
17,accuracy,1,0.1,0.96875,0.96875
17,accuracy,1,0.15,0.96875,1.0
17,cross_entropy,1,0.05,0.10499,0.284695
17,cross_entropy,1,0.075,0.119261,0.229117
17,cross_entropy,1,0.1,0.141177,0.193301
17,cross_entropy,1,0.15,0.183302,0.13871
18,auc,0,0.05,1.0,0.83871
18,auc,0,0.075,1.0,0.83871
18,auc,0,0.1,1.0,0.806452
18,auc,0,0.15,1.0,0.806452
18,accuracy,0,0.05,0.96875,0.96875
18,accuracy,0,0.075,0.96875,0.96875
18,accuracy,0,0.1,0.96875,0.96875
18,accuracy,0,0.15,0.96875,0.90625
18,cross_entropy,0,0.05,0.11546,0.172015
18,cross_entropy,0,0.075,0.109611,0.175603
18,cross_entropy,0,0.1,0.107038,0.18005
18,cross_entropy,0,0.15,0.112272,0.195102
18,auc,1,0.05,1.0,0.774194
18,auc,1,0.075,1.0,0.935484
18,auc,1,0.1,1.0,0.967742
18,auc,1,0.15,1.0,0.870968
18,accuracy,1,0.05,0.96875,0.96875
18,accuracy,1,0.075,0.96875,0.96875
18,accuracy,1,0.1,0.96875,0.96875
18,accuracy,1,0.15,0.96875,0.96875
18,cross_entropy,1,0.05,0.099383,0.179385
18,cross_entropy,1,0.075,0.110169,0.157205
18,cross_entropy,1,0.1,0.115555,0.166083
18,cross_entropy,1,0.15,0.112723,0.175143
19,auc,0,0.05,0.0,0.0
19,auc,0,0.075,0.0,0.0
19,auc,0,0.1,0.0,0.0
19,auc,0,0.15,0.0,0.0
19,accuracy,0,0.05,1.0,0.9375
19,accuracy,0,0.075,1.0,0.96875
19,accuracy,0,0.1,1.0,1.0
19,accuracy,0,0.15,1.0,0.96875
19,cross_entropy,0,0.05,0.139006,0.182092
19,cross_entropy,0,0.075,0.129732,0.191597
19,cross_entropy,0,0.1,0.134194,0.182883
19,cross_entropy,0,0.15,0.146837,0.180578
19,auc,1,0.05,0.0,0.0
19,auc,1,0.075,0.0,0.0
19,auc,1,0.1,0.0,0.0
19,auc,1,0.15,0.0,0.0
19,accuracy,1,0.05,1.0,1.0
19,accuracy,1,0.075,1.0,1.0
19,accuracy,1,0.1,1.0,0.96875
19,accuracy,1,0.15,1.0,0.96875
19,cross_entropy,1,0.05,0.146112,0.16247
19,cross_entropy,1,0.075,0.144554,0.170424
19,cross_entropy,1,0.1,0.146381,0.168924
19,cross_entropy,1,0.15,0.126479,0.168806
20,auc,0,0.05,0.0,0.0
20,auc,0,0.075,0.0,0.0
20,auc,0,0.1,0.0,0.0
20,auc,0,0.15,0.0,0.0
20,accuracy,0,0.05,1.0,1.0
20,accuracy,0,0.075,0.96875,0.96875
20,accuracy,0,0.1,0.96875,0.96875
20,accuracy,0,0.15,0.96875,0.96875
20,cross_entropy,0,0.05,0.135231,0.142575
20,cross_entropy,0,0.075,0.128214,0.157354
20,cross_entropy,0,0.1,0.12826,0.148529
20,cross_entropy,0,0.15,0.131733,0.161948
20,auc,1,0.05,0.0,0.0
20,auc,1,0.075,0.0,0.0
20,auc,1,0.1,0.0,0.0
20,auc,1,0.15,0.0,0.0
20,accuracy,1,0.05,0.96875,1.0
20,accuracy,1,0.075,0.90625,0.96875
20,accuracy,1,0.1,0.96875,1.0
20,accuracy,1,0.15,0.96875,1.0
20,cross_entropy,1,0.05,0.143708,0.138749
20,cross_entropy,1,0.075,0.154698,0.161541
20,cross_entropy,1,0.1,0.128368,0.148415
20,cross_entropy,1,0.15,0.130877,0.134358
21,auc,0,0.05,1.0,0.451613
21,auc,0,0.075,1.0,0.645161
21,auc,0,0.1,1.0,0.645161
21,auc,0,0.15,0.741935,0.935484
21,accuracy,0,0.05,0.96875,0.96875
21,accuracy,0,0.075,0.96875,0.96875
21,accuracy,0,0.1,1.0,0.96875
21,accuracy,0,0.15,0.96875,0.9375
21,cross_entropy,0,0.05,0.132951,0.188109
21,cross_entropy,0,0.075,0.139245,0.172992
21,cross_entropy,0,0.1,0.122922,0.185139
21,cross_entropy,0,0.15,0.169412,0.153583
21,auc,1,0.05,1.0,0.806452
21,auc,1,0.075,1.0,0.774194
21,auc,1,0.1,0.935484,0.83871
21,auc,1,0.15,0.903226,0.870968
21,accuracy,1,0.05,0.96875,0.96875
21,accuracy,1,0.075,0.96875,0.96875
21,accuracy,1,0.1,0.96875,0.96875
21,accuracy,1,0.15,0.96875,0.96875
21,cross_entropy,1,0.05,0.132591,0.171097
21,cross_entropy,1,0.075,0.143442,0.176685
21,cross_entropy,1,0.1,0.148239,0.173865
21,cross_entropy,1,0.15,0.152051,0.18039
22,auc,0,0.05,0.967742,1.0
22,auc,0,0.075,0.967742,1.0
22,auc,0,0.1,0.967742,1.0
22,auc,0,0.15,0.967742,1.0
