batch_index,metric,tau,area,comp,suff
0,auc,0,0.05,0.0,0.0
0,auc,0,0.075,0.0,0.0
0,auc,0,0.1,0.0,0.0
0,auc,0,0.15,0.0,0.0
0,accuracy,0,0.05,1.0,0.96875
0,accuracy,0,0.075,1.0,0.96875
0,accuracy,0,0.1,1.0,0.96875
0,accuracy,0,0.15,1.0,0.96875
0,cross_entropy,0,0.05,0.095857,0.133681
0,cross_entropy,0,0.075,0.084908,0.169577
0,cross_entropy,0,0.1,0.088585,0.179388
0,cross_entropy,0,0.15,0.074041,0.189099
0,auc,1,0.05,0.0,0.0
0,auc,1,0.075,0.0,0.0
0,auc,1,0.1,0.0,0.0
0,auc,1,0.15,0.0,0.0
0,accuracy,1,0.05,1.0,0.96875
0,accuracy,1,0.075,1.0,0.96875
0,accuracy,1,0.1,1.0,1.0
0,accuracy,1,0.15,1.0,0.96875
0,cross_entropy,1,0.05,0.088661,0.168494
0,cross_entropy,1,0.075,0.087972,0.156346
0,cross_entropy,1,0.1,0.085442,0.146397
0,cross_entropy,1,0.15,0.090834,0.140839
1,auc,0,0.05,0.0,0.0
1,auc,0,0.075,0.0,0.0
1,auc,0,0.1,0.0,0.0
1,auc,0,0.15,0.0,0.0
1,accuracy,0,0.05,1.0,1.0
1,accuracy,0,0.075,1.0,1.0
1,accuracy,0,0.1,1.0,1.0
1,accuracy,0,0.15,1.0,1.0
1,cross_entropy,0,0.05,0.05714,0.093463
1,cross_entropy,0,0.075,0.057639,0.094732
1,cross_entropy,0,0.1,0.061352,0.090695
1,cross_entropy,0,0.15,0.078634,0.088408
1,auc,1,0.05,0.0,0.0
1,auc,1,0.075,0.0,0.0
1,auc,1,0.1,0.0,0.0
1,auc,1,0.15,0.0,0.0
1,accuracy,1,0.05,1.0,1.0
1,accuracy,1,0.075,1.0,1.0
1,accuracy,1,0.1,1.0,1.0
1,accuracy,1,0.15,1.0,1.0
1,cross_entropy,1,0.05,0.062181,0.10019
1,cross_entropy,1,0.075,0.057515,0.101611
1,cross_entropy,1,0.1,0.063538,0.099626
1,cross_entropy,1,0.15,0.068605,0.096869
2,auc,0,0.05,0.0,0.0
2,auc,0,0.075,0.0,0.0
2,auc,0,0.1,0.0,0.0
2,auc,0,0.15,0.0,0.0
2,accuracy,0,0.05,1.0,1.0
2,accuracy,0,0.075,1.0,1.0
2,accuracy,0,0.1,1.0,0.96875
2,accuracy,0,0.15,1.0,0.9375
2,cross_entropy,0,0.05,0.097597,0.137521
2,cross_entropy,0,0.075,0.095458,0.142915
