dataset,attr_method,metric,model,itr_no,comp,suff
electricity,feature_ablation,mae,DLinear,1,10.86,12.558
electricity,feature_ablation,mae,DLinear,2,10.434,12.211
electricity,feature_ablation,mae,DLinear,3,10.852,12.406
electricity,feature_ablation,mae,MICN,1,11.978,11.107
electricity,feature_ablation,mae,MICN,2,11.932,10.941
electricity,feature_ablation,mae,MICN,3,11.969,11.106
electricity,feature_ablation,mae,SegRNN,1,10.992,13.626
electricity,feature_ablation,mae,SegRNN,2,11.065,13.068
electricity,feature_ablation,mae,SegRNN,3,10.841,13.451
electricity,feature_ablation,mae,iTransformer,1,10.825,16.233
electricity,feature_ablation,mae,iTransformer,2,10.579,16.163
electricity,feature_ablation,mae,iTransformer,3,10.624,16.48
electricity,augmented_occlusion,mae,DLinear,1,10.059,13.039
electricity,augmented_occlusion,mae,DLinear,2,9.736,13.062
electricity,augmented_occlusion,mae,DLinear,3,10.166,12.869
electricity,augmented_occlusion,mae,MICN,1,11.029,12.221
electricity,augmented_occlusion,mae,MICN,2,11.221,12.228
electricity,augmented_occlusion,mae,MICN,3,11.044,11.901
electricity,augmented_occlusion,mae,SegRNN,1,10.047,14.27
electricity,augmented_occlusion,mae,SegRNN,2,10.461,13.756
electricity,augmented_occlusion,mae,SegRNN,3,10.032,13.846
electricity,augmented_occlusion,mae,iTransformer,1,9.189,17.385
electricity,augmented_occlusion,mae,iTransformer,2,9.071,17.302
electricity,augmented_occlusion,mae,iTransformer,3,9.139,17.317
electricity,feature_permutation,mae,DLinear,1,7.232,16.241
electricity,feature_permutation,mae,DLinear,2,6.834,15.789
electricity,feature_permutation,mae,DLinear,3,6.905,16.071
electricity,feature_permutation,mae,MICN,1,9.458,14.193
electricity,feature_permutation,mae,MICN,2,9.489,13.899
electricity,feature_permutation,mae,MICN,3,9.239,14.219
electricity,feature_permutation,mae,SegRNN,1,7.835,16.075
electricity,feature_permutation,mae,SegRNN,2,7.926,15.413
electricity,feature_permutation,mae,SegRNN,3,7.855,15.347
electricity,feature_permutation,mae,iTransformer,1,7.084,19.338
electricity,feature_permutation,mae,iTransformer,2,6.94,19.281
electricity,feature_permutation,mae,iTransformer,3,7.04,19.424
electricity,integrated_gradients,mae,DLinear,1,10.967,19.159
electricity,integrated_gradients,mae,DLinear,2,10.387,18.963
electricity,integrated_gradients,mae,DLinear,3,10.738,18.962
electricity,integrated_gradients,mae,MICN,1,13.649,16.407
electricity,integrated_gradients,mae,MICN,2,13.859,16.13
electricity,integrated_gradients,mae,MICN,3,13.711,16.346
electricity,integrated_gradients,mae,SegRNN,1,11.974,15.482
electricity,integrated_gradients,mae,SegRNN,2,11.835,14.854
electricity,integrated_gradients,mae,SegRNN,3,11.601,14.876
electricity,integrated_gradients,mae,iTransformer,1,16.1,24.799
electricity,integrated_gradients,mae,iTransformer,2,16.478,24.685
electricity,integrated_gradients,mae,iTransformer,3,15.72,24.833
electricity,gradient_shap,mae,DLinear,1,7.926,17.562
electricity,gradient_shap,mae,DLinear,2,7.425,17.182
electricity,gradient_shap,mae,DLinear,3,7.699,17.341
electricity,gradient_shap,mae,MICN,1,10.387,14.748
electricity,gradient_shap,mae,MICN,2,10.326,14.44
electricity,gradient_shap,mae,MICN,3,10.31,14.638
electricity,gradient_shap,mae,SegRNN,1,9.078,15.602
electricity,gradient_shap,mae,SegRNN,2,9.406,15.091
electricity,gradient_shap,mae,SegRNN,3,8.823,15.131
electricity,gradient_shap,mae,iTransformer,1,8.207,20.513
electricity,gradient_shap,mae,iTransformer,2,8.315,20.231
electricity,gradient_shap,mae,iTransformer,3,8.105,20.341
electricity,dyna_mask,mae,DLinear,1,3.672,16.726
