batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,2.967219,29.630692
0,mae,0,0.075,4.567097,29.23657
0,mae,0,0.1,5.052469,28.797537
0,mae,0,0.15,6.502196,27.196829
0,mse,0,0.05,0.892984,48.935699
0,mse,0,0.075,1.91185,47.592083
0,mse,0,0.1,2.276278,46.310356
0,mse,0,0.15,3.576,42.080208
0,mae,1,0.05,1.727263,31.586416
0,mae,1,0.075,2.138161,30.721844
0,mae,1,0.1,3.176698,29.897947
0,mae,1,0.15,4.863328,27.827435
0,mse,1,0.05,0.239144,55.201378
0,mse,1,0.075,0.326785,51.952156
0,mse,1,0.1,0.806479,49.718056
0,mse,1,0.15,1.796286,44.131882
0,mae,2,0.05,2.406098,31.036648
0,mae,2,0.075,3.724216,29.897335
0,mae,2,0.1,4.020409,29.380186
0,mae,2,0.15,5.413312,27.747643
0,mse,2,0.05,0.695649,54.001549
0,mse,2,0.075,1.477538,50.571949
0,mse,2,0.1,1.564457,49.002594
0,mse,2,0.15,2.546922,44.49437
0,mae,3,0.05,2.543322,30.897295
0,mae,3,0.075,4.19008,30.059229
0,mae,3,0.1,5.261737,29.70084
0,mae,3,0.15,6.908835,27.940399
0,mse,3,0.05,0.680582,53.188435
0,mse,3,0.075,1.608332,50.630692
0,mse,3,0.1,2.450183,49.580318
0,mse,3,0.15,4.047583,44.69986
0,mae,4,0.05,2.728418,30.227283
0,mae,4,0.075,4.592824,29.321907
0,mae,4,0.1,5.937358,28.624954
0,mae,4,0.15,7.788326,27.000416
0,mse,4,0.05,0.769273,51.390091
0,mse,4,0.075,1.899886,49.075005
0,mse,4,0.1,3.147938,47.214256
0,mse,4,0.15,5.059638,42.752159
0,mae,5,0.05,3.198586,30.648224
0,mae,5,0.075,3.697943,29.743004
0,mae,5,0.1,4.734479,29.734371
0,mae,5,0.15,6.939851,29.013351
0,mse,5,0.05,1.006262,52.649883
0,mse,5,0.075,1.205564,49.806263
0,mse,5,0.1,1.984013,50.206329
0,mse,5,0.15,4.126364,48.524944
0,mae,6,0.05,2.640486,30.418884
0,mae,6,0.075,4.855129,29.165079
0,mae,6,0.1,5.33974,28.830059
0,mae,6,0.15,6.356961,26.997877
0,mse,6,0.05,0.761674,51.77549
0,mse,6,0.075,2.008606,48.150047
0,mse,6,0.1,2.225208,47.342682
0,mse,6,0.15,3.06747,42.214279
0,mae,7,0.05,3.6531,30.454285
0,mae,7,0.075,4.707273,29.398998
0,mae,7,0.1,5.317445,28.913795
0,mae,7,0.15,7.714794,26.965021
0,mse,7,0.05,1.108365,51.727005
0,mse,7,0.075,1.863903,48.524521
0,mse,7,0.1,2.309216,47.446934
0,mse,7,0.15,5.017043,42.210262
0,mae,8,0.05,3.232595,30.158577
0,mae,8,0.075,4.797252,29.354668
0,mae,8,0.1,5.194015,28.753078
0,mae,8,0.15,6.633062,26.629387
0,mse,8,0.05,0.933392,50.971947
0,mse,8,0.075,2.13492,48.478489
0,mse,8,0.1,2.423774,46.7384
0,mse,8,0.15,3.67876,40.784004
0,mae,9,0.05,1.731407,31.343313
0,mae,9,0.075,2.050382,30.803284
0,mae,9,0.1,3.452487,30.002937
0,mae,9,0.15,5.162211,28.136683
0,mse,9,0.05,0.222242,55.001228
0,mse,9,0.075,0.31288,53.160675
0,mse,9,0.1,1.051497,50.93573
0,mse,9,0.15,2.192827,45.302803
0,mae,10,0.05,1.957511,30.416164
0,mae,10,0.075,3.804847,29.211596
0,mae,10,0.1,4.059801,28.804028
0,mae,10,0.15,6.021844,26.605421
0,mse,10,0.05,0.330809,52.268356
0,mse,10,0.075,1.482001,48.673321
0,mse,10,0.1,1.648639,47.72834
0,mse,10,0.15,3.022027,41.303177
0,mae,11,0.05,2.274889,29.939941
0,mae,11,0.075,4.018595,28.582428
