batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,5.872451,28.538471
0,mae,0,0.075,9.237979,26.329927
0,mae,0,0.1,10.792576,25.440334
0,mae,0,0.15,13.190751,22.016613
0,mse,0,0.05,3.438452,46.337799
0,mse,0,0.075,6.235023,39.777271
0,mse,0,0.1,8.138188,37.552193
0,mse,0,0.15,11.9583,28.219099
0,mae,1,0.05,7.3193,28.499041
0,mae,1,0.075,9.959379,25.728506
0,mae,1,0.1,10.67711,24.119991
0,mae,1,0.15,12.593224,22.30405
0,mse,1,0.05,5.407523,46.264435
0,mse,1,0.075,8.223608,38.058952
0,mse,1,0.1,9.215408,34.042648
0,mse,1,0.15,11.355971,29.36548
0,mae,2,0.05,5.900532,29.42466
0,mae,2,0.075,8.602423,25.404409
0,mae,2,0.1,11.002407,24.304516
0,mae,2,0.15,12.949209,22.4622
0,mse,2,0.05,3.504385,48.690754
0,mse,2,0.075,6.593619,37.297791
0,mse,2,0.1,9.18153,34.353348
0,mse,2,0.15,11.572538,29.387672
0,mae,3,0.05,4.978963,29.551764
0,mae,3,0.075,7.224513,27.49509
0,mae,3,0.1,8.681134,26.871464
0,mae,3,0.15,13.301874,22.77537
0,mse,3,0.05,2.316151,49.821659
0,mse,3,0.075,4.457136,44.097565
0,mse,3,0.1,5.843751,42.260368
0,mse,3,0.15,12.136623,30.759825
0,mae,4,0.05,5.503741,29.230801
0,mae,4,0.075,8.949801,27.270599
0,mae,4,0.1,10.381567,26.860657
0,mae,4,0.15,12.933775,23.782516
0,mse,4,0.05,2.738288,48.604137
0,mse,4,0.075,5.947082,43.078369
0,mse,4,0.1,7.636435,41.932098
0,mse,4,0.15,11.745482,33.489746
0,mae,5,0.05,5.33217,29.69252
0,mae,5,0.075,8.626051,27.537119
0,mae,5,0.1,10.877937,25.692444
0,mae,5,0.15,13.348755,23.173624
0,mse,5,0.05,2.634942,49.907173
0,mse,5,0.075,5.803912,43.49369
0,mse,5,0.1,8.828346,38.470871
0,mse,5,0.15,12.298617,31.821522
0,mae,6,0.05,6.325892,29.011806
0,mae,6,0.075,9.121331,26.396441
0,mae,6,0.1,10.549947,24.964287
0,mae,6,0.15,12.770342,23.312382
0,mse,6,0.05,3.430984,47.123024
0,mse,6,0.075,6.450649,39.994171
0,mse,6,0.1,8.2043,36.005478
0,mse,6,0.15,11.479506,32.0154
0,mae,7,0.05,5.562187,28.435606
0,mae,7,0.075,8.23876,26.481747
0,mae,7,0.1,10.202702,25.35988
0,mae,7,0.15,12.030796,23.835379
0,mse,7,0.05,2.617523,45.210072
0,mse,7,0.075,5.238565,40.339813
0,mse,7,0.1,7.434857,37.238834
0,mse,7,0.15,10.095865,33.979042
0,mae,8,0.05,5.362327,29.490028
0,mae,8,0.075,8.552848,27.017778
0,mae,8,0.1,9.473299,25.946777
0,mae,8,0.15,12.026085,22.7934
0,mse,8,0.05,3.035039,48.867546
0,mse,8,0.075,5.869715,41.33704
0,mse,8,0.1,6.791715,38.334354
0,mse,8,0.15,9.90646,30.417702
0,mae,9,0.05,7.960525,29.031826
0,mae,9,0.075,10.340311,26.359989
0,mae,9,0.1,11.884403,24.226982
0,mae,9,0.15,13.519609,21.767204
0,mse,9,0.05,5.8438,48.438141
0,mse,9,0.075,8.221134,40.406086
0,mse,9,0.1,9.841329,34.113441
0,mse,9,0.15,11.867043,28.237194
0,mae,10,0.05,6.786598,29.413984
0,mae,10,0.075,9.611273,25.999189
0,mae,10,0.1,11.699377,24.96718
0,mae,10,0.15,13.413403,21.618057
0,mse,10,0.05,4.34094,49.394279
0,mse,10,0.075,7.387672,39.041996
0,mse,10,0.1,10.214738,36.056267
0,mse,10,0.15,12.483265,27.277544
0,mae,11,0.05,5.642657,29.562407
0,mae,11,0.075,7.635108,28.038445
0,mae,11,0.1,9.344689,26.803097
0,mae,11,0.15,13.794703,22.736872
0,mse,11,0.05,3.36228,49.60165
0,mse,11,0.075,5.197703,45.37159
0,mse,11,0.1,6.746743,41.510376
0,mse,11,0.15,13.076245,30.790863
0,mae,12,0.05,6.156522,29.551081
0,mae,12,0.075,9.571728,27.322895
0,mae,12,0.1,11.090183,26.723202
0,mae,12,0.15,13.441775,23.586927
0,mse,12,0.05,3.777955,49.318947
0,mse,12,0.075,7.158571,43.065552
0,mse,12,0.1,8.925817,41.541611
0,mse,12,0.15,12.744024,32.702469
0,mae,13,0.05,6.886521,28.763411
0,mae,13,0.075,9.553352,26.536594
0,mae,13,0.1,11.30941,25.277485
0,mae,13,0.15,14.018225,23.034069
0,mse,13,0.05,4.04121,46.953354
0,mse,13,0.075,6.989437,41.189926
0,mse,13,0.1,9.41753,37.590576
0,mse,13,0.15,13.56622,31.904654
0,mae,14,0.05,7.085329,27.149796
0,mae,14,0.075,10.230831,24.972683
0,mae,14,0.1,11.526955,23.700665
0,mae,14,0.15,13.442465,22.061462
0,mse,14,0.05,4.479608,42.428951
0,mse,14,0.075,8.128924,36.830566
0,mse,14,0.1,9.566671,33.220779
0,mse,14,0.15,12.692822,29.529659
0,mae,15,0.05,5.397327,27.967442
0,mae,15,0.075,9.777887,25.312796
0,mae,15,0.1,10.910526,24.074894
0,mae,15,0.15,12.955045,22.497513
0,mse,15,0.05,2.380824,43.866184
0,mse,15,0.075,7.261376,37.354401
0,mse,15,0.1,8.815237,33.868259
0,mse,15,0.15,11.946789,30.63232
0,mae,16,0.05,5.212774,28.833477
0,mae,16,0.075,8.233677,26.595819
0,mae,16,0.1,9.075141,25.584702
0,mae,16,0.15,12.221004,20.920624
0,mse,16,0.05,2.658249,46.449646
0,mse,16,0.075,5.291753,39.648979
0,mse,16,0.1,6.045096,36.976273
0,mse,16,0.15,9.824793,25.749134
0,mae,17,0.05,7.073829,29.864651
0,mae,17,0.075,9.090611,26.262173
