batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,3.222083,27.915318
0,mae,0,0.075,4.669193,25.803022
0,mae,0,0.1,6.026947,24.595259
0,mae,0,0.15,10.237073,21.346149
0,mse,0,0.05,0.909959,43.954517
0,mse,0,0.075,1.80876,38.173935
0,mse,0,0.1,2.992343,35.802959
0,mse,0,0.15,7.337329,27.916622
0,mae,1,0.05,4.041816,26.99707
0,mae,1,0.075,6.813355,24.312569
0,mae,1,0.1,8.042786,23.314898
0,mae,1,0.15,10.334617,21.500055
0,mse,1,0.05,1.309128,41.147827
0,mse,1,0.075,3.342907,34.411263
0,mse,1,0.1,4.916229,32.230679
0,mse,1,0.15,7.211535,28.30969
0,mae,2,0.05,3.909454,28.161324
0,mae,2,0.075,5.53489,25.640842
0,mae,2,0.1,8.581738,24.159409
0,mae,2,0.15,10.383417,20.891689
0,mse,2,0.05,1.277054,44.613995
0,mse,2,0.075,2.5455,38.523018
0,mse,2,0.1,5.939477,34.475697
0,mse,2,0.15,7.808733,25.957802
0,mae,3,0.05,3.672432,29.051756
0,mae,3,0.075,4.997439,26.285116
0,mae,3,0.1,7.151573,24.825119
0,mae,3,0.15,10.713449,20.782312
0,mse,3,0.05,1.147039,46.547241
0,mse,3,0.075,1.930519,39.029732
0,mse,3,0.1,4.346857,35.233696
0,mse,3,0.15,8.107986,25.631704
0,mae,4,0.05,3.542023,27.67572
0,mae,4,0.075,5.630529,25.036484
0,mae,4,0.1,7.380052,23.620377
0,mae,4,0.15,10.680777,20.440971
0,mse,4,0.05,1.111815,43.206947
0,mse,4,0.075,3.282311,36.401283
0,mse,4,0.1,4.491234,31.847794
0,mse,4,0.15,8.502753,24.824692
0,mae,5,0.05,3.206044,27.787895
0,mae,5,0.075,5.459147,24.169502
0,mae,5,0.1,7.273783,23.550333
0,mae,5,0.15,12.261147,19.474297
0,mse,5,0.05,0.875433,43.445053
0,mse,5,0.075,3.131363,33.683216
0,mse,5,0.1,4.75013,32.135151
0,mse,5,0.15,10.818676,23.151974
0,mae,6,0.05,4.191541,27.037811
0,mae,6,0.075,6.463008,24.827703
0,mae,6,0.1,7.768298,23.810036
0,mae,6,0.15,10.792305,19.963245
0,mse,6,0.05,1.630196,41.491684
0,mse,6,0.075,3.555475,35.461876
0,mse,6,0.1,4.928515,33.245182
0,mse,6,0.15,8.121246,24.618931
0,mae,7,0.05,4.612173,27.392645
0,mae,7,0.075,5.874881,24.570715
0,mae,7,0.1,7.33279,22.986694
0,mae,7,0.15,10.184022,20.273386
0,mse,7,0.05,1.967574,42.679947
0,mse,7,0.075,2.725177,34.604572
0,mse,7,0.1,4.051576,30.98078
0,mse,7,0.15,7.415653,24.823668
0,mae,8,0.05,3.220011,27.965252
0,mae,8,0.075,5.204286,26.090916
0,mae,8,0.1,6.492675,24.666969
0,mae,8,0.15,10.22901,21.093077
0,mse,8,0.05,1.008887,44.129292
0,mse,8,0.075,2.358444,38.912659
0,mse,8,0.1,3.459642,35.61195
0,mse,8,0.15,7.871195,27.28587
0,mae,9,0.05,4.243712,27.852295
0,mae,9,0.075,6.453202,25.495935
0,mae,9,0.1,8.068142,23.83963
0,mae,9,0.15,10.252834,20.994112
0,mse,9,0.05,1.822036,44.069012
0,mse,9,0.075,3.29196,37.435268
0,mse,9,0.1,4.892081,33.504898
0,mse,9,0.15,7.442621,26.820778
0,mae,10,0.05,4.051297,28.496483
0,mae,10,0.075,6.24275,26.285015
0,mae,10,0.1,9.092077,24.586029
0,mae,10,0.15,10.493382,21.905388
0,mse,10,0.05,1.37417,45.899803
0,mse,10,0.075,3.109877,39.987041
0,mse,10,0.1,6.411837,35.228115
0,mse,10,0.15,7.969748,28.75852
0,mae,11,0.05,3.673286,28.488106
0,mae,11,0.075,5.322452,26.519299
0,mae,11,0.1,6.659904,25.239182
0,mae,11,0.15,10.645914,20.86438
0,mse,11,0.05,1.106151,45.258331
0,mse,11,0.075,2.207738,39.933617
0,mse,11,0.1,3.428053,36.765808
0,mse,11,0.15,8.222841,26.199717
0,mae,12,0.05,3.205003,27.936302
0,mae,12,0.075,4.988286,25.526814
0,mae,12,0.1,6.761234,24.155254
0,mae,12,0.15,11.077396,20.708773
0,mse,12,0.05,1.024565,44.035679
0,mse,12,0.075,2.237856,37.840889
0,mse,12,0.1,3.503823,33.837898
0,mse,12,0.15,8.515378,26.220945
0,mae,13,0.05,3.065637,27.90731
0,mae,13,0.075,4.44398,24.979935
0,mae,13,0.1,7.335698,24.231892
0,mae,13,0.15,12.03725,20.311974
0,mse,13,0.05,1.091414,43.948227
0,mse,13,0.075,1.843493,36.054436
0,mse,13,0.1,4.601243,34.145767
0,mse,13,0.15,10.276651,25.532473
0,mae,14,0.05,3.874893,27.632412
0,mae,14,0.075,5.609922,25.033535
0,mae,14,0.1,6.991239,24.076817
0,mae,14,0.15,10.54096,20.694252
0,mse,14,0.05,1.514751,42.929771
0,mse,14,0.075,3.049783,35.875736
0,mse,14,0.1,3.8083,33.837597
0,mse,14,0.15,7.455527,26.696262
0,mae,15,0.05,4.616913,27.662991
0,mae,15,0.075,5.906533,24.599491
0,mae,15,0.1,7.938899,22.581539
0,mae,15,0.15,10.958148,20.043068
0,mse,15,0.05,1.848247,43.268044
