batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,10.088377,27.533651
0,mae,0,0.075,12.278367,26.08754
0,mae,0,0.1,13.766388,25.239586
0,mae,0,0.15,16.452145,24.300636
0,mse,0,0.05,7.86541,41.821472
0,mse,0,0.075,10.68462,38.169804
0,mse,0,0.1,12.717464,35.416817
0,mse,0,0.15,16.952648,33.37307
0,mae,1,0.05,11.137452,27.119852
0,mae,1,0.075,14.561144,25.537666
0,mae,1,0.1,15.336931,24.796597
0,mae,1,0.15,17.686731,23.507015
0,mse,1,0.05,8.791956,40.989742
0,mse,1,0.075,13.792087,36.689056
0,mse,1,0.1,15.112045,34.879292
0,mse,1,0.15,19.773014,31.513273
0,mae,2,0.05,11.585754,26.148468
0,mae,2,0.075,14.456937,24.882385
0,mae,2,0.1,15.723002,24.407955
0,mae,2,0.15,18.271049,23.192366
0,mse,2,0.05,9.481318,38.656487
0,mse,2,0.075,13.80616,35.613239
0,mse,2,0.1,16.106407,34.707352
0,mse,2,0.15,21.041496,31.437126
0,mae,3,0.05,11.990199,26.098972
0,mae,3,0.075,14.811363,24.152023
0,mae,3,0.1,16.160198,23.153639
0,mae,3,0.15,18.58168,22.230999
0,mse,3,0.05,9.510056,38.437035
0,mse,3,0.075,14.373451,33.706997
0,mse,3,0.1,17.094618,31.607021
0,mse,3,0.15,22.36301,29.41284
0,mae,4,0.05,11.637506,25.845131
0,mae,4,0.075,13.725844,23.808163
0,mae,4,0.1,14.913486,23.285433
0,mae,4,0.15,17.862108,21.947695
0,mse,4,0.05,9.00947,37.95433
0,mse,4,0.075,12.916586,32.767784
0,mse,4,0.1,15.158854,31.82843
0,mse,4,0.15,21.332331,28.80978
0,mae,5,0.05,12.346075,25.376511
0,mae,5,0.075,14.884145,23.153278
0,mae,5,0.1,15.841455,22.940033
0,mae,5,0.15,17.769077,21.783033
0,mse,5,0.05,10.091069,36.953789
0,mse,5,0.075,14.301052,31.336079
0,mse,5,0.1,16.191978,30.682779
0,mse,5,0.15,20.522072,28.333641
0,mae,6,0.05,11.748066,25.467728
0,mae,6,0.075,14.414596,23.429605
0,mae,6,0.1,15.90439,22.879068
0,mae,6,0.15,18.128569,21.694201
0,mse,6,0.05,9.478556,37.819321
0,mse,6,0.075,13.433667,32.615952
0,mse,6,0.1,16.115435,31.52527
0,mse,6,0.15,21.094517,28.663929
0,mae,7,0.05,11.852255,24.80303
0,mae,7,0.075,15.565372,22.753811
0,mae,7,0.1,16.76796,21.736059
0,mae,7,0.15,19.034027,21.057087
0,mse,7,0.05,9.63089,35.407341
0,mse,7,0.075,15.312881,29.871307
0,mse,7,0.1,17.303455,27.858196
0,mse,7,0.15,22.534908,26.844711
0,mae,8,0.05,12.287554,24.975946
0,mae,8,0.075,16.031765,22.862949
0,mae,8,0.1,16.989864,22.06855
0,mae,8,0.15,19.404045,20.921284
0,mse,8,0.05,10.403296,35.414894
0,mse,8,0.075,16.191994,30.31916
0,mse,8,0.1,18.010035,28.452162
0,mse,8,0.15,23.784626,26.01685
0,mae,9,0.05,12.172718,25.037373
0,mae,9,0.075,15.385984,23.408653
0,mae,9,0.1,16.52511,22.416019
0,mae,9,0.15,19.05307,20.852814
0,mse,9,0.05,10.224077,34.568611
0,mse,9,0.075,14.821993,30.95801
0,mse,9,0.1,17.117407,28.676144
0,mse,9,0.15,22.879755,25.827972
0,mae,10,0.05,11.532707,25.870955
0,mae,10,0.075,14.830127,23.942913
0,mae,10,0.1,16.506058,22.880775
0,mae,10,0.15,18.844484,21.460926
0,mse,10,0.05,8.907155,36.751839
0,mse,10,0.075,14.183315,32.714424
0,mse,10,0.1,17.362694,30.301851
0,mse,10,0.15,22.374043,27.302738
0,mae,11,0.05,11.055217,25.627613
0,mae,11,0.075,14.823002,23.559519
0,mae,11,0.1,16.144791,22.68676
0,mae,11,0.15,18.962517,21.754642
0,mse,11,0.05,8.286064,36.196514
0,mse,11,0.075,14.275236,31.796818
0,mse,11,0.1,16.781372,29.690903
0,mse,11,0.15,22.703035,27.984129
0,mae,12,0.05,11.851824,25.094284
0,mae,12,0.075,14.703195,23.387394
0,mae,12,0.1,16.619539,22.694626
0,mae,12,0.15,19.190699,21.42552
0,mse,12,0.05,9.314474,34.527077
0,mse,12,0.075,14.049673,31.15431
0,mse,12,0.1,17.493967,29.642788
0,mse,12,0.15,23.242756,27.07859
0,mae,13,0.05,12.130583,25.092903
0,mae,13,0.075,15.298184,23.614964
0,mae,13,0.1,16.982025,22.915289
0,mae,13,0.15,19.930643,21.366175
