batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.430888,27.184233
0,mae,0,0.075,9.831123,25.835571
0,mae,0,0.1,10.453814,24.399128
0,mae,0,0.15,12.168658,21.903522
0,mse,0,0.05,6.303978,42.892567
0,mse,0,0.075,7.776445,39.29348
0,mse,0,0.1,8.481054,35.685081
0,mse,0,0.15,10.91951,29.257063
0,mae,1,0.05,8.453335,26.921711
0,mae,1,0.075,10.432775,25.143978
0,mae,1,0.1,11.0576,24.116743
0,mae,1,0.15,11.960649,22.389944
0,mse,1,0.05,6.150389,42.324951
0,mse,1,0.075,8.480742,37.095917
0,mse,1,0.1,9.472857,34.64814
0,mse,1,0.15,10.439644,29.86195
0,mae,2,0.05,7.50928,27.070988
0,mae,2,0.075,10.155498,25.264893
0,mae,2,0.1,10.585319,23.979794
0,mae,2,0.15,12.539881,21.190348
0,mse,2,0.05,5.142529,42.348564
0,mse,2,0.075,8.049522,37.476757
0,mse,2,0.1,8.451671,34.116917
0,mse,2,0.15,11.063087,27.319458
0,mae,3,0.05,7.281721,26.683723
0,mae,3,0.075,10.10877,25.163263
0,mae,3,0.1,11.045967,23.725164
0,mae,3,0.15,12.598674,21.209023
0,mse,3,0.05,4.362702,41.126358
0,mse,3,0.075,7.756447,37.304371
0,mse,3,0.1,8.806734,32.983269
0,mse,3,0.15,11.232326,26.700077
0,mae,4,0.05,7.402797,26.466713
0,mae,4,0.075,9.996599,24.930779
0,mae,4,0.1,10.539248,23.696785
0,mae,4,0.15,12.684318,20.697073
0,mse,4,0.05,4.483896,40.366768
0,mse,4,0.075,7.578102,36.045643
0,mse,4,0.1,8.203458,32.50386
0,mse,4,0.15,11.049826,25.358618
0,mae,5,0.05,7.018454,26.458382
0,mae,5,0.075,9.482979,24.664658
0,mae,5,0.1,10.410236,23.073784
0,mae,5,0.15,12.861988,20.992504
0,mse,5,0.05,3.919971,40.416649
0,mse,5,0.075,7.177217,35.27359
0,mse,5,0.1,8.03167,31.158081
0,mse,5,0.15,11.305211,25.889061
0,mae,6,0.05,6.691983,27.208036
0,mae,6,0.075,8.741632,25.264463
0,mae,6,0.1,10.585978,23.975044
0,mae,6,0.15,12.837517,21.376644
0,mse,6,0.05,3.717037,42.966393
0,mse,6,0.075,5.989458,37.644226
0,mse,6,0.1,8.096761,33.815041
0,mse,6,0.15,11.11525,26.800858
0,mae,7,0.05,6.57969,27.204105
0,mae,7,0.075,9.280551,24.914896
0,mae,7,0.1,10.923687,23.633087
0,mae,7,0.15,12.1154,21.870682
0,mse,7,0.05,3.625353,43.399071
0,mse,7,0.075,6.296413,37.06086
0,mse,7,0.1,8.367702,33.375458
0,mse,7,0.15,9.947511,29.222109
0,mae,8,0.05,6.954608,27.049385
0,mae,8,0.075,8.637812,25.059107
0,mae,8,0.1,10.398594,24.198568
0,mae,8,0.15,11.905813,21.952024
0,mse,8,0.05,3.980312,43.224846
0,mse,8,0.075,5.439904,37.138222
0,mse,8,0.1,7.466547,35.291145
0,mse,8,0.15,9.642598,29.726084
0,mae,9,0.05,6.803508,27.016151
0,mae,9,0.075,9.761986,25.370363
0,mae,9,0.1,11.121095,24.468182
0,mae,9,0.15,13.083977,22.309046
