batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,8.949059,27.582937
0,mae,0,0.075,11.824926,25.690308
0,mae,0,0.1,13.37787,24.259464
0,mae,0,0.15,15.753914,20.903427
0,mse,0,0.05,6.867189,42.782814
0,mse,0,0.075,10.704857,37.564728
0,mse,0,0.1,13.111644,34.019444
0,mse,0,0.15,16.945333,25.740355
0,mae,1,0.05,9.011446,27.277142
0,mae,1,0.075,11.797666,24.648756
0,mae,1,0.1,13.511232,23.345404
0,mae,1,0.15,15.799623,20.928608
0,mse,1,0.05,6.799184,41.911472
0,mse,1,0.075,10.682205,34.653938
0,mse,1,0.1,13.541023,31.271568
0,mse,1,0.15,17.889378,25.878151
0,mae,2,0.05,8.733462,27.059391
0,mae,2,0.075,11.509218,24.449163
0,mae,2,0.1,13.27562,23.300159
0,mae,2,0.15,16.337589,19.80521
0,mse,2,0.05,6.388575,40.76757
0,mse,2,0.075,9.992835,33.734364
0,mse,2,0.1,12.715848,30.810518
0,mse,2,0.15,18.269045,23.321995
0,mae,3,0.05,8.937332,26.420883
0,mae,3,0.075,11.403529,24.332024
0,mae,3,0.1,12.843349,22.895491
0,mae,3,0.15,15.577533,19.663458
0,mse,3,0.05,6.207755,38.722183
0,mse,3,0.075,9.341124,33.4062
0,mse,3,0.1,11.691223,29.758858
0,mse,3,0.15,16.361027,22.641043
0,mae,4,0.05,8.62231,26.157383
0,mae,4,0.075,12.128242,24.161222
0,mae,4,0.1,13.706349,22.326521
0,mae,4,0.15,16.738359,19.641655
0,mse,4,0.05,5.690746,37.849854
0,mse,4,0.075,9.989565,32.877228
0,mse,4,0.1,12.46244,28.384132
0,mse,4,0.15,17.723186,22.415913
0,mae,5,0.05,8.899679,26.82523
0,mae,5,0.075,12.848814,24.239761
0,mae,5,0.1,14.503798,22.552898
0,mae,5,0.15,17.307667,20.059874
0,mse,5,0.05,5.496082,40.017647
0,mse,5,0.075,10.288452,32.814556
0,mse,5,0.1,12.774467,28.649334
0,mse,5,0.15,18.079676,23.191614
0,mae,6,0.05,8.554193,27.05463
0,mae,6,0.075,12.644926,24.288902
0,mae,6,0.1,14.668965,22.828573
0,mae,6,0.15,16.707794,20.447481
0,mse,6,0.05,5.3994,41.3451
0,mse,6,0.075,10.362109,33.248009
0,mse,6,0.1,13.42173,29.583847
0,mse,6,0.15,17.179836,24.215391
0,mae,7,0.05,9.124563,27.40028
0,mae,7,0.075,12.491414,24.295265
0,mae,7,0.1,14.831984,22.732239
0,mae,7,0.15,17.092598,20.307449
0,mse,7,0.05,6.320144,41.863792
0,mse,7,0.075,10.135161,33.41312
0,mse,7,0.1,13.651976,29.640579
0,mse,7,0.15,17.731415,23.980473
0,mae,8,0.05,9.046139,27.218084
0,mae,8,0.075,12.243391,24.983311
0,mae,8,0.1,14.544424,23.240173
0,mae,8,0.15,16.457237,20.852566
0,mse,8,0.05,5.91319,41.344955
0,mse,8,0.075,9.706588,35.808014
0,mse,8,0.1,13.320919,31.159935
0,mse,8,0.15,16.973742,25.80372
0,mae,9,0.05,9.514901,27.561371
0,mae,9,0.075,12.858275,25.139542
0,mae,9,0.1,14.539169,23.659073
0,mae,9,0.15,18.067307,20.493443
0,mse,9,0.05,6.425003,42.433495
0,mse,9,0.075,10.711923,36.125908
0,mse,9,0.1,13.374693,32.493916
0,mse,9,0.15,20.385677,24.984922
0,mae,10,0.05,10.765078,27.339247
0,mae,10,0.075,13.417439,25.056934
0,mae,10,0.1,15.328878,23.846184
0,mae,10,0.15,18.465893,20.383207
0,mse,10,0.05,8.154073,42.326214
0,mse,10,0.075,12.12241,36.245407
0,mse,10,0.1,15.317011,32.926174
0,mse,10,0.15,21.456343,25.024796
0,mae,11,0.05,10.800768,27.112747
0,mae,11,0.075,13.96977,25.205719
0,mae,11,0.1,15.771183,23.673988
0,mae,11,0.15,18.436569,21.207169
0,mse,11,0.05,8.498175,41.051483
0,mse,11,0.075,13.388703,36.427895
0,mse,11,0.1,16.774422,32.989117
0,mse,11,0.15,22.353497,27.281746
0,mae,12,0.05,11.366411,27.662428
0,mae,12,0.075,13.678749,25.510204
0,mae,12,0.1,15.389238,23.83378
0,mae,12,0.15,17.979931,21.217628
0,mse,12,0.05,9.286736,43.003418
0,mse,12,0.075,13.512652,37.095142
0,mse,12,0.1,16.916237,32.943237
0,mse,12,0.15,21.677065,27.155472
0,mae,13,0.05,11.531852,27.866047
0,mae,13,0.075,14.374739,25.486605
0,mae,13,0.1,15.690845,23.800636
0,mae,13,0.15,18.123907,20.806768
0,mse,13,0.05,9.329475,43.322498
0,mse,13,0.075,14.442921,36.787193
0,mse,13,0.1,16.78146,32.131401
0,mse,13,0.15,21.727369,25.152824
0,mae,14,0.05,11.86435,28.125469
0,mae,14,0.075,14.518856,25.541109
0,mae,14,0.1,16.026537,24.485756
0,mae,14,0.15,17.997873,20.852388
0,mse,14,0.05,9.291142,43.594711
0,mse,14,0.075,13.554898,36.537674
0,mse,14,0.1,16.439613,33.992245
0,mse,14,0.15,20.461063,25.312431
0,mae,15,0.05,12.164654,28.090052
0,mae,15,0.075,15.151548,25.583364
0,mae,15,0.1,16.45488,23.647491
0,mae,15,0.15,18.742516,20.249176
0,mse,15,0.05,10.282023,43.970131
0,mse,15,0.075,15.350106,36.989395
0,mse,15,0.1,17.84354,31.941862
0,mse,15,0.15,22.976151,24.051468
0,mae,16,0.05,12.59976,28.419033
0,mae,16,0.075,14.385967,26.411001
0,mae,16,0.1,15.759964,23.912571
0,mae,16,0.15,17.785271,20.65139
0,mse,16,0.05,11.177084,45.004501
0,mse,16,0.075,14.168652,39.412376
0,mse,16,0.1,16.509344,32.81501
0,mse,16,0.15,20.521271,25.486341
0,mae,17,0.05,12.677617,27.865553
0,mae,17,0.075,14.059189,25.249119
0,mae,17,0.1,14.905853,23.903662
0,mae,17,0.15,17.293962,19.839808
0,mse,17,0.05,10.991432,43.480164
0,mse,17,0.075,13.220224,36.498875
0,mse,17,0.1,14.77024,33.424564
0,mse,17,0.15,18.812115,23.958479
0,mae,18,0.05,11.970137,27.517311
0,mae,18,0.075,13.525656,25.048304
0,mae,18,0.1,14.287209,23.274696
0,mae,18,0.15,16.808929,19.851707
0,mse,18,0.05,9.96942,42.399406
0,mse,18,0.075,12.526493,35.646946
0,mse,18,0.1,13.544745,31.777506
0,mse,18,0.15,18.091007,24.24865
0,mae,19,0.05,11.854431,27.153616
0,mae,19,0.075,13.162688,24.738674
0,mae,19,0.1,14.069992,23.616238
0,mae,19,0.15,16.520683,20.473951
0,mse,19,0.05,9.996183,41.615685
0,mse,19,0.075,12.028498,35.642426
0,mse,19,0.1,13.220588,33.134796
0,mse,19,0.15,17.337236,25.602402
0,mae,20,0.05,11.048824,28.293129
0,mae,20,0.075,12.64772,25.629236
0,mae,20,0.1,13.565437,23.924213
0,mae,20,0.15,15.170337,21.252651
0,mse,20,0.05,9.017622,44.385246
0,mse,20,0.075,10.839983,37.296265
0,mse,20,0.1,12.036067,33.455048
0,mse,20,0.15,14.646329,27.74728
0,mae,21,0.05,11.68203,28.463898
0,mae,21,0.075,13.307596,25.829815
0,mae,21,0.1,13.843078,24.479834
0,mae,21,0.15,15.476429,21.826355
0,mse,21,0.05,9.914803,44.627747
0,mse,21,0.075,12.00977,38.069138
0,mse,21,0.1,12.873183,34.830776
0,mse,21,0.15,15.844522,29.205334
0,mae,22,0.05,11.434014,27.981426
0,mae,22,0.075,12.483036,25.801613
0,mae,22,0.1,13.117803,24.474121
0,mae,22,0.15,14.685041,21.846601
0,mse,22,0.05,9.513638,43.476196
0,mse,22,0.075,10.814846,37.64893
0,mse,22,0.1,11.758404,34.131081
0,mse,22,0.15,14.608873,28.573896
0,mae,23,0.05,11.160673,28.369465
0,mae,23,0.075,13.099775,25.554098
0,mae,23,0.1,13.59724,24.362053
0,mae,23,0.15,15.925273,21.857456
0,mse,23,0.05,9.36843,44.867607
0,mse,23,0.075,11.751604,37.329391
