batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,6.88961,28.300972
0,mae,0,0.075,9.65177,26.284565
0,mae,0,0.1,10.678313,25.481607
0,mae,0,0.15,12.332029,23.878143
0,mse,0,0.05,4.297049,44.732353
0,mse,0,0.075,7.050481,39.028263
0,mse,0,0.1,8.301779,37.580605
0,mse,0,0.15,10.581072,33.530861
0,mae,1,0.05,8.753248,26.864626
0,mae,1,0.075,10.586679,25.369993
0,mae,1,0.1,11.430019,24.288927
0,mae,1,0.15,13.345761,22.806217
0,mse,1,0.05,6.390973,39.567719
0,mse,1,0.075,8.520487,36.142822
0,mse,1,0.1,9.743305,33.475239
0,mse,1,0.15,12.465261,30.138918
0,mae,2,0.05,7.221416,27.433918
0,mae,2,0.075,9.071112,26.682785
0,mae,2,0.1,10.206595,25.861374
0,mae,2,0.15,12.249738,24.612648
0,mse,2,0.05,4.580421,42.197338
0,mse,2,0.075,6.659786,40.073395
0,mse,2,0.1,8.022682,38.186089
0,mse,2,0.15,11.066175,35.19302
0,mae,3,0.05,9.2652,25.893551
0,mae,3,0.075,12.623985,23.56245
0,mae,3,0.1,13.770385,22.84063
0,mae,3,0.15,16.341291,20.587498
0,mse,3,0.05,6.317522,36.822792
0,mse,3,0.075,10.559502,31.059261
0,mse,3,0.1,12.319027,29.323881
0,mse,3,0.15,16.760424,24.189209
0,mae,4,0.05,9.524268,26.908607
0,mae,4,0.075,12.461915,24.231457
0,mae,4,0.1,13.384584,23.34362
0,mae,4,0.15,16.162277,21.851835
0,mse,4,0.05,6.339509,40.036259
0,mse,4,0.075,10.421717,33.000175
0,mse,4,0.1,11.71204,30.407795
0,mse,4,0.15,16.281231,27.244068
0,mae,5,0.05,10.275299,26.279419
0,mae,5,0.075,13.098157,23.952896
0,mae,5,0.1,14.763334,22.68362
0,mae,5,0.15,16.833858,21.57239
0,mse,5,0.05,7.182044,38.135284
0,mse,5,0.075,10.998661,31.814983
0,mse,5,0.1,13.290124,28.643196
0,mse,5,0.15,17.30847,26.294973
0,mae,6,0.05,10.240088,25.866665
0,mae,6,0.075,13.504334,23.653057
0,mae,6,0.1,14.750422,22.912329
0,mae,6,0.15,17.144501,21.121916
0,mse,6,0.05,7.249675,37.223282
0,mse,6,0.075,11.784551,31.492865
0,mse,6,0.1,13.625602,29.690672
0,mse,6,0.15,18.061588,25.989777
0,mae,7,0.05,10.417341,26.25349
0,mae,7,0.075,12.958981,24.5996
0,mae,7,0.1,14.005164,24.067369
0,mae,7,0.15,16.19821,22.066538
0,mse,7,0.05,7.790778,37.70433
0,mse,7,0.075,10.900433,33.451817
0,mse,7,0.1,12.872359,32.351326
0,mse,7,0.15,16.563692,27.751453
0,mae,8,0.05,10.136133,27.017365
0,mae,8,0.075,12.621248,24.442375
0,mae,8,0.1,13.606554,23.605499
0,mae,8,0.15,16.709866,21.555058
0,mse,8,0.05,7.63089,40.041149
0,mse,8,0.075,11.006834,32.771721
0,mse,8,0.1,12.578487,30.659292
0,mse,8,0.15,18.27121,25.987617
0,mae,9,0.05,9.824728,25.45142
0,mae,9,0.075,13.592598,23.449993
0,mae,9,0.1,15.4244,22.603159
0,mae,9,0.15,18.558201,20.331913
0,mse,9,0.05,7.151553,35.158363
0,mse,9,0.075,11.657249,29.734369
0,mse,9,0.1,14.359989,27.996906
0,mse,9,0.15,20.399212,23.239822
0,mae,10,0.05,9.791832,26.026789
0,mae,10,0.075,12.998748,23.81493
0,mae,10,0.1,14.690506,22.98744
0,mae,10,0.15,17.736382,21.347927
