batch_index,metric,tau,area,comp,suff
0,mae,0,0.05,7.440678,26.053263
0,mae,0,0.075,8.975584,23.990158
0,mae,0,0.1,9.627703,23.03133
0,mae,0,0.15,11.489201,20.661684
0,mse,0,0.05,4.476788,40.628769
0,mse,0,0.075,5.916547,34.635124
0,mse,0,0.1,6.806328,32.1563
0,mse,0,0.15,8.969971,26.3498
0,mae,1,0.05,7.297564,26.027325
0,mae,1,0.075,9.038193,23.921215
0,mae,1,0.1,10.001972,22.486839
0,mae,1,0.15,11.823044,20.263803
0,mse,1,0.05,4.101483,40.002869
0,mse,1,0.075,5.970493,34.425987
0,mse,1,0.1,7.132927,30.753531
0,mse,1,0.15,9.418993,25.802296
0,mae,2,0.05,6.667622,25.847004
0,mae,2,0.075,9.562772,23.332783
0,mae,2,0.1,10.854978,22.306314
0,mae,2,0.15,12.701792,19.924061
0,mse,2,0.05,3.120076,39.592556
0,mse,2,0.075,6.147355,32.487572
0,mse,2,0.1,7.92438,30.100784
0,mse,2,0.15,10.526149,24.583302
0,mae,3,0.05,7.399121,25.249687
0,mae,3,0.075,9.751001,23.56045
0,mae,3,0.1,10.827877,22.747112
0,mae,3,0.15,12.85116,20.692162
0,mse,3,0.05,3.688395,38.308784
0,mse,3,0.075,6.375802,32.84301
0,mse,3,0.1,7.933721,30.769474
0,mse,3,0.15,10.726066,26.639219
0,mae,4,0.05,7.011229,25.575638
0,mae,4,0.075,10.254284,23.103056
0,mae,4,0.1,11.198193,22.298386
0,mae,4,0.15,13.246508,20.462757
0,mse,4,0.05,3.402906,38.85643
0,mse,4,0.075,6.919382,31.670687
0,mse,4,0.1,8.319728,29.649286
0,mse,4,0.15,11.431141,25.404942
0,mae,5,0.05,7.326289,24.907352
0,mae,5,0.075,10.568802,22.651464
0,mae,5,0.1,12.05934,21.515179
0,mae,5,0.15,14.200058,19.562317
0,mse,5,0.05,3.692327,37.031704
0,mse,5,0.075,7.376337,31.010538
0,mse,5,0.1,9.344756,28.251945
0,mse,5,0.15,12.547388,24.231049
0,mae,6,0.05,7.474256,25.451496
0,mae,6,0.075,10.357948,22.922153
0,mae,6,0.1,11.952955,21.283493
0,mae,6,0.15,14.52866,19.157829
0,mse,6,0.05,3.798592,39.188232
0,mse,6,0.075,7.076886,31.900976
0,mse,6,0.1,9.269964,28.238108
0,mse,6,0.15,13.607681,22.940254
0,mae,7,0.05,6.93613,26.059479
0,mae,7,0.075,10.023012,23.052437
0,mae,7,0.1,11.804594,21.673435
0,mae,7,0.15,14.295395,19.395994
0,mse,7,0.05,3.440622,40.619904
0,mse,7,0.075,6.864578,32.679131
0,mse,7,0.1,9.135197,29.16877
0,mse,7,0.15,13.663422,23.747246
0,mae,8,0.05,7.164195,25.501337
0,mae,8,0.075,10.197683,22.504128
0,mae,8,0.1,11.816689,21.623018
0,mae,8,0.15,14.526449,19.813959
0,mse,8,0.05,3.520011,38.886925
0,mse,8,0.075,6.77641,31.140907
0,mse,8,0.1,9.070183,28.608959
0,mse,8,0.15,13.5294,24.539091
0,mae,9,0.05,7.335398,25.939699
0,mae,9,0.075,10.492498,22.914955
0,mae,9,0.1,11.682558,21.723339
0,mae,9,0.15,14.591234,20.068279
0,mse,9,0.05,3.614263,39.798557
0,mse,9,0.075,7.049358,32.209858
0,mse,9,0.1,8.645275,29.071993
0,mse,9,0.15,13.150055,25.202862
